date,geography_name,geography_code,school_type_group,Institution,characteristic_type,Characteristic,Students at end of 16-18 study,Number of level 3 students,Number of A level students,Number of academic students,Number of applied general students,Number of tech level students,APS per A level entry,Average A level result,APS per academic entry,Average academic result,APS per applied general entry,Average applied general result,APS per tech level entry,Average tech level result,% achieving ≥ 2 substantial level 3 results,% achieving ≥ 2 A levels,% achieving ≥ 2 academic results,Number of students entered for ≥ 1 A level or applied A level,APS per 'Best 3' entries,APS per 'Best 3' entries (grade),% achieving 3 A* to A,% achieving ≥ AAB,Number of students entered for ≥ 1 A level,% achieving ≥ AAB for a minimum of 2 facilitating A levels,Number of students entered for any level 3 vocational (excluding applied generals),% level 3 vocational students (excluding applied generals) who entered tech levels,Number of students entered for any level 3 vocational (excluding tech levels),% level 3 vocational students (excluding tech levels) who entered applied general,Number of students with level 2 as highest entry,% level 2 students entered for technical certificate,Number of technical certificate students,APS per entry technical certificate students,Average technical certificate result
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Female,1614,1313,1095,1100,492,44,31.0058,C,31.103,C,30.3241,Dist-,33.9496,Dist,83.625,70.959,70.909,704,31.4678,C,8.665,15.909,704,11.932,202,21.782,599,82.304,66,1.515,5,5.7895,L2Merit-
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Female,700,593,553,556,138,7,31.0162,C,31.1133,C,30.4977,Dist-,20,Merit-,80.101,71.971,71.763,404,29.4224,C,6.931,12.376,396,9.848,105,6.667,220,62.727,22,72.727,16,6,L2Merit
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Female,570,504,468,470,137,14,30.0797,C,30.1521,C,28.1117,Merit+,37.3214,Dist+,83.73,73.504,73.191,299,32.6198,C+,5.017,12.04,299,8.696,30,46.667,139,98.561,17,0,0,NA,NA
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Female,1814,1536,1435,1451,282,27,31.7728,C+,31.8056,C+,28.1813,Merit+,34.2953,Dist,78.841,74.077,73.329,1063,31.1916,C,7.714,14.487,1057,10.501,196,13.776,442,63.801,24,41.667,11,6,L2Merit
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Female,1185,876,827,827,103,19,31.5034,C,31.5425,C,33.2482,Dist-,35.6098,Dist,81.05,78.476,78.476,631,30.5335,C,5.864,11.41,626,6.55,401,4.738,483,21.325,39,17.949,7,5.4545,L2Pass+
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Female,1644,1320,1072,1079,533,67,29.9884,C,30.0234,C,30.3083,Dist-,34.0605,Dist,86.288,73.787,73.494,694,30.4179,C,4.899,9.654,694,7.637,127,52.756,565,94.69,52,0,0,NA,NA
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Female,636,521,458,459,149,22,33.0397,C+,33.1073,C+,28.8506,Merit+,31.8539,Dist-,86.564,78.821,78.649,339,31.1111,C,8.555,15.339,339,11.209,37,59.459,156,95.513,20,0,0,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Female,533,461,383,383,165,8,32.5941,C+,32.6582,C+,31.4788,Dist-,34.2857,Dist,89.154,80.157,80.157,278,32.9017,C+,11.511,17.626,278,13.309,24,33.333,167,98.802,11,0,0,NA,NA
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Female,1791,1479,1381,1390,423,36,31.9843,C+,32.1408,C+,28.1834,Merit+,34.1837,Dist,86.342,77.408,76.906,975,31.5658,C,6.462,13.026,975,8.615,118,30.508,488,86.885,34,0,0,NA,NA
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Female,1102,727,685,692,36,22,34.7421,C+,34.7863,C+,29.6759,Merit+,40.878,Dist+,79.78,79.562,78.757,607,30.2636,C,6.096,12.356,607,6.755,417,5.276,430,8.372,71,0,0,NA,NA
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Female,643,481,418,427,217,0,38.9697,B,38.8876,B,35.7955,Dist,NA,NA,95.634,78.708,77.049,254,38.937,B,20.079,33.071,254,23.622,21,0,230,94.348,12,0,0,NA,NA
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Female,483,415,368,368,160,7,35.6161,B-,35.6881,B-,32.9815,Dist-,45,Dist*-,95.904,83.967,83.967,251,35.073,B-,11.952,19.522,251,14.741,21,33.333,173,92.486,7,0,0,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Female,1796,1519,1401,1416,449,32,38.4941,B,38.5062,B,31.9757,Dist-,42.7528,Dist*-,93.285,85.939,85.169,1041,37.9923,B-,18.156,29.203,1041,18.732,125,25.6,530,84.906,31,32.258,10,5,L2Pass
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Female,1097,734,669,673,99,14,39.5826,B,39.6064,B,33.1927,Dist-,46.2963,Dist*-,83.651,84.155,83.655,616,33.1169,C+,9.578,19.968,616,10.065,447,3.132,503,19.682,56,5.357,3,7.5,L2Dist*-
