date,geography_code,geography_name,ssa_t1_desc,apprenticeship_level,starts,achievements
2022/23,E07000167,Ryedale,Retail and Commercial Enterprise,Intermediate Apprenticeship,10,low
2022/23,E08000032,Bradford,"Arts, Media and Publishing",Intermediate Apprenticeship,low,low
2022/23,E07000168,Scarborough,Total,Total,240,50
2022/23,E08000035,Leeds,Social Sciences,Total,low,low
2022/23,E07000165,Harrogate,Total,Intermediate Apprenticeship,80,30
2022/23,E07000163,Craven,"Construction, Planning and the Built Environment",Intermediate Apprenticeship,low,low
2022/23,E07000163,Craven,"Arts, Media and Publishing",Advanced Apprenticeship,low,low
2022/23,E07000166,Richmondshire,Retail and Commercial Enterprise,Advanced Apprenticeship,low,low
2022/23,E07000164,Hambleton,Social Sciences,Higher Apprenticeship,low,low
2022/23,E07000169,Selby,"Arts, Media and Publishing",Total,low,low
2022/23,E08000034,Kirklees,Information and Communication Technology,Advanced Apprenticeship,30,10
2022/23,E07000164,Hambleton,"Health, Public Services and Care",Total,110,10
2022/23,E07000166,Richmondshire,"Leisure, Travel and Tourism",Total,low,low
2022/23,E07000165,Harrogate,Engineering and Manufacturing Technologies,Intermediate Apprenticeship,20,low
2022/23,E08000033,Calderdale,Information and Communication Technology,Higher Apprenticeship,20,low
2022/23,E08000033,Calderdale,Science and Mathematics,Advanced Apprenticeship,low,low
2022/23,E07000167,Ryedale,"Construction, Planning and the Built Environment",Higher Apprenticeship,low,low
2022/23,E08000033,Calderdale,Retail and Commercial Enterprise,Advanced Apprenticeship,10,low
2022/23,E07000169,Selby,"Construction, Planning and the Built Environment",Intermediate Apprenticeship,50,low
2022/23,E07000165,Harrogate,"History, Philosophy and Theology",Total,low,low
2022/23,E07000167,Ryedale,"Agriculture, Horticulture and Animal Care",Total,20,low
2022/23,E08000033,Calderdale,Science and Mathematics,Higher Apprenticeship,low,low
2022/23,E08000034,Kirklees,"Leisure, Travel and Tourism",Intermediate Apprenticeship,low,low
2022/23,E07000168,Scarborough,"Health, Public Services and Care",Higher Apprenticeship,40,low
2022/23,E06000014,York,"Agriculture, Horticulture and Animal Care",Intermediate Apprenticeship,10,low
2022/23,E07000167,Ryedale,Education and Training,Intermediate Apprenticeship,low,low
2022/23,E06000014,York,Retail and Commercial Enterprise,Total,40,20
2022/23,E07000163,Craven,Science and Mathematics,Intermediate Apprenticeship,low,low
2022/23,E08000034,Kirklees,"Arts, Media and Publishing",Intermediate Apprenticeship,low,low
