LA,Thing,Count
Bradford,2424,62496.3043478261
Bradford,5241,43277.4347826087
Bradford,5315,40682.1935483871
Bradford,1259,40268.56
Bradford,1131,38868.1538461538
Bradford,2136,38466.6
Bradford,3534,37228.9166666667
Bradford,3545,36569
Bradford,2135,36399.6363636364
Bradford,3542,33279.2222222222
Bradford,3119,33161.0476190476
Bradford,3113,33127.7222222222
Bradford,2423,32967.5
Bradford,2129,32727.6875
Bradford,3412,32451.8571428571
Bradford,2421,31356.9090909091
Bradford,8125,30826.3793103448
Bradford,2319,30733
Bradford,2137,30644.6666666667
Bradford,2231,30527.7777777778
Bradford,1132,30427.71875
Bradford,6125,29737.25
Bradford,2122,29040.5555555556
Bradford,7130,28600.5
Bradford,2462,28237.9
Bradford,8212,28173.8333333333
Bradford,9139,28080.44
Bradford,8211,27290.21875
Bradford,4161,27020.375
Bradford,5215,26848
Bradford,4134,26355.6666666667
Bradford,7220,26289.4444444444
Bradford,3563,26149.4166666667
Bradford,1121,26110.1666666667
Bradford,5323,25651.0857142857
Bradford,3541,25548
Bradford,5223,24693.3333333333
Bradford,3132,24657.2
Bradford,5434,24512.1538461538
Bradford,8129,24488
Bradford,3131,23314.0909090909
Bradford,7129,22891.9032258064
Bradford,3543,22175.4390243902
Bradford,6141,21667.0833333333
Bradford,9120,21552.8125
Bradford,4159,21469.5555555556
Bradford,6121,21446.3
Bradford,2127,21250
Bradford,3562,21098.6571428571
Bradford,6145,21035.0571428571
Bradford,9233,20726.75
Bradford,4122,20610.48
Bradford,4129,20546
Bradford,9272,20529.6
Bradford,7111,20525.5517241379
Bradford,9134,20238
Bradford,7219,19815.0487804878
Bradford,9260,19582.8421052632
Bradford,9219,18443.9375
Calderdale,3119,37689
Calderdale,1132,33465.9375
Calderdale,3113,28536.1875
Calderdale,7129,26016.5384615385
Calderdale,3543,24395.3333333333
Calderdale,7219,23518.25
Calderdale,4159,19377.15
Harrogate,2136,45984.6666666667
Harrogate,1132,37838.52
Harrogate,3113,29813.1875
Harrogate,7129,27886.4285714286
Harrogate,3543,24440.4516129032
Harrogate,4122,22825.3
Harrogate,7219,22159
Harrogate,4159,21332.8125
Harrogate,6145,21298.6086956522
