LA,Thing,Count
Bradford,Business and financial project management professionals,62496.3043478261
Bradford,Electricians and electrical fitters,43277.4347826087
Bradford,Carpenters and joiners,40682.1935483871
Bradford,Managers and proprietors in other services n.e.c.,40268.56
Bradford,Financial managers and directors,38868.1538461538
Bradford,Programmers and software development professionals,38466.6
Bradford,Finance and investment analysts and advisers,37228.9166666667
Bradford,Sales accounts and business development managers,36569
Bradford,"IT business analysts, architects and systems designers",36399.6363636364
Bradford,Business sales executives,33279.2222222222
Bradford,"Science, engineering and production technicians n.e.c.",33161.0476190476
Bradford,Engineering technicians,33127.7222222222
Bradford,Management consultants and business analysts,32967.5
Bradford,Engineering professionals n.e.c.,32727.6875
Bradford,"Authors, writers and translators",32451.8571428571
Bradford,Chartered and certified accountants,31356.9090909091
Bradford,Metal working machine operatives,30826.3793103448
Bradford,Teaching and other educational professionals n.e.c.,30733
Bradford,Web design and development professionals,30644.6666666667
Bradford,Nurses,30527.7777777778
Bradford,Marketing and sales directors,30427.71875
Bradford,Teaching assistants,29737.25
Bradford,Mechanical engineers,29040.5555555556
Bradford,Sales supervisors,28600.5
Bradford,Quality assurance and regulatory professionals,28237.9
Bradford,Van drivers,28173.8333333333
Bradford,Elementary process plant occupations n.e.c.,28080.44
Bradford,Large goods vehicle drivers,27290.21875
Bradford,Office managers,27020.375
Bradford,Welding trades,26848
Bradford,Transport and distribution clerks and assistants,26355.6666666667
Bradford,Customer service managers and supervisors,26289.4444444444
Bradford,Vocational and industrial trainers and instructors,26149.4166666667
Bradford,Production managers and directors in manufacturing,26110.1666666667
Bradford,Painters and decorators,25651.0857142857
Bradford,Buyers and procurement officers,25548
Bradford,Metal working production and maintenance fitters,24693.3333333333
Bradford,IT user support technicians,24657.2
Bradford,Chefs,24512.1538461538
Bradford,Plant and machine operatives n.e.c.,24488
Bradford,IT operations technicians,23314.0909090909
Bradford,Sales related occupations n.e.c.,22891.9032258064
Bradford,Marketing associate professionals,22175.4390243902
Bradford,Nursing auxiliaries and assistants,21667.0833333333
Bradford,Elementary construction occupations,21552.8125
