LA,Thing,Count
York,Project Management Software,48.7142857142857
York,Customer Relationship Management (CRM) Software,47.6666666666667
York,Adobe Creative Suite,42.8
York,Firewall,42.5714285714286
York,Adobe InDesign,40.8181818181818
York,Aruba (Network Management Software),37.7142857142857
York,Microsoft Office,34.4666666666667
York,Microsoft Word,34.3809523809524
York,Python (Programming Language),33.4545454545455
York,Operating Systems,33.1666666666667
York,Microsoft Outlook,32.7272727272727
York,SAP Applications,32.6428571428571
York,Microsoft Excel,32.4772727272727
York,Microsoft PowerPoint,32.1428571428571
York,Payroll Systems,31.8333333333333
York,Microsoft Office 365,31.4
York,Microsoft Azure,30.7777777777778
York,HyperText Markup Language (HTML),30.6842105263158
York,Adobe Photoshop,30.0625
York,Content Management Systems,29.875
York,Microsoft SharePoint,29.8
York,Cascading Style Sheets (CSS),29.625
York,Zoom (Video Conferencing Tool),29.2222222222222
York,Apple IOS,29
York,JavaScript (Programming Language),28.6470588235294
York,Linux,28.6363636363636
York,React.js,28.1666666666667
York,SQL (Programming Language),28
York,Microsoft 365,27.6
York,Java (Programming Language),27
York,Design Software,27
York,JSON,27
York,Windows Servers,26.4
York,Microsoft Teams,26.1538461538462
York,C# (Programming Language),26
York,Application Programming Interface (API),25
York,Microsoft Windows 10,25
York,PHP (Scripting Language),24.1428571428571
York,Adobe Illustrator,23.7777777777778
York,Active Directory,23.5
York,Information Technology Infrastructure Library,21.4444444444444
York,WordPress,21
York,Git (Version Control System),21
York,Project Management Software,48.7142857142857
York,Customer Relationship Management (CRM) Software,47.6666666666667
York,Adobe Creative Suite,42.8
York,Firewall,42.5714285714286
York,Adobe InDesign,40.8181818181818
York,Aruba (Network Management Software),37.7142857142857
York,Microsoft Office,34.4666666666667
York,Microsoft Word,34.3809523809524
York,Python (Programming Language),33.4545454545455
York,Operating Systems,33.1666666666667
York,Microsoft Outlook,32.7272727272727
York,SAP Applications,32.6428571428571
York,Microsoft Excel,32.4772727272727
York,Microsoft PowerPoint,32.1428571428571
York,Payroll Systems,31.8333333333333
York,Microsoft Office 365,31.4
York,Microsoft Azure,30.7777777777778
York,HyperText Markup Language (HTML),30.6842105263158
York,Adobe Photoshop,30.0625
York,Content Management Systems,29.875
York,Microsoft SharePoint,29.8
York,Cascading Style Sheets (CSS),29.625
York,Zoom (Video Conferencing Tool),29.2222222222222
York,Apple IOS,29
York,JavaScript (Programming Language),28.6470588235294
York,Linux,28.6363636363636
York,React.js,28.1666666666667
York,SQL (Programming Language),28
York,Microsoft 365,27.6
York,Java (Programming Language),27
York,Design Software,27
York,JSON,27
York,Windows Servers,26.4
York,Microsoft Teams,26.1538461538462
York,C# (Programming Language),26
York,Application Programming Interface (API),25
York,Microsoft Windows 10,25
York,PHP (Scripting Language),24.1428571428571
York,Adobe Illustrator,23.7777777777778
York,Active Directory,23.5
York,Information Technology Infrastructure Library,21.4444444444444
York,WordPress,21
York,Git (Version Control System),21
