Year,Count,CumulativeCount
1864,1,0
1866,1,0
1867,1,0
1869,2,0
1870,1,0
1872,1,0
1873,1,0
1874,1,0
1875,1,0
1880,1,0
1881,2,0
1882,2,0
1883,1,0
1884,3,0
1885,2,0
1886,2,0
1887,2,0
1889,3,0
1890,3,0
1891,6,0
1892,4,0
1893,6,0
1894,4,0
1895,9,0
1896,8,0
1897,7,0
1898,11,0
1899,6,0
1900,22,0
1901,6,0
1902,10,0
1903,12,0
1904,11,0
1905,13,0
1906,7,0
1907,15,0
1908,7,0
1909,8,0
1910,8,0
1911,13,0
1912,17,0
1913,21,0
1914,15,0
1915,9,0
1916,6,0
1917,7,0
1918,15,0
1919,32,0
1920,36,0
1921,22,0
1922,23,0
1923,29,0
1924,36,0
1925,25,0
1926,29,0
1927,16,0
1928,17,0
1929,13,0
1930,30,0
1931,23,0
1932,25,0
1933,33,0
1934,31,0
1935,30,0
1936,40,0
1937,37,0
1938,34,0
1939,34,0
1940,23,0
1941,17,0
1942,22,0
1943,23,0
1944,23,0
1945,46,0
1946,69,0
1947,60,0
1948,47,0
1949,38,0
1950,41,0
1951,48,0
1952,37,0
1953,47,0
1954,67,0
1955,53,0
1956,62,0
1957,78,0
1958,56,0
1959,103,0
1960,117,0
1961,127,0
1962,119,0
1963,135,0
1964,147,0
1965,120,0
1966,86,0
1967,92,0
1968,82,0
1969,94,0
1970,121,0
1971,121,0
1972,212,0
1973,217,0
1974,178,0
1975,160,0
1976,215,0
1977,212,0
1978,232,0
1979,199,0
1980,246,0
1981,255,0
1982,353,0
1983,335,0
1984,325,0
1985,389,0
1986,427,0
1987,457,0
1988,514,0
1989,507,0
1990,504,0
1991,505,0
1992,507,0
1993,491,0
1994,586,0
1995,699,0
1996,820,0
1997,968,0
1998,1046,0
1999,1149,0
2000,1470,0
2001,1575,0
2002,2423,0
2003,3475,0
2004,2665,0
2005,2715,0
2006,3055,0
2007,3384,0
2008,3243,0
2009,3583,0
2010,4157,0
2011,5010,0
2012,5822,0
2013,6327,0
2014,8288,0
2015,8633,0
2016,9202,0
2017,10650,0
2018,12652,0
2019,15276,0
2020,17988,0
2021,23991,0
2022,29561,0
