Thing,Count
Leeds Central,21761
Bradford West,10649
Elmet and Rothwell,8703
Harrogate and Knaresborough,8348
Huddersfield,8098
Wakefield,7516
York Outer,7496
Halifax,7050
Skipton and Ripon,7011
Batley and Spen,6841
Calder Valley,6715
Dewsbury,6500
Bradford East,6421
Pudsey,6302
Richmond (Yorks),6214
Leeds East,6187
Keighley,5785
Colne Valley,5750
Leeds North East,5749
Selby and Ainsty,5616
Shipley,5573
Leeds North West,5460
Morley and Outwood,5126
Thirsk and Malton,4897
York Central,4771
Leeds West,4741
Scarborough and Whitby,4690
"Normanton, Pontefract and Castleford",4259
Bradford South,4102
Hemsworth,2774
Cities of London and Westminster,45
Islington South and Finsbury,25
Hackney South and Shoreditch,25
Holborn and St Pancras,23
Warrington South,7
Sheffield Central,4
Mole Valley,4
St Albans,3
Alyn and Deeside,3
Edinburgh South West,3
Cambridge,3
South West Hertfordshire,3
Maidenhead,3
Tewkesbury,3
Bermondsey and Old Southwark,3
Leicester South,2
Edinburgh North and Leith,2
Ochil and South Perthshire,2
"Manchester, Withington",2
Westminster North,2
Ealing North,2
Poplar and Limehouse,2
Basingstoke,2
Glasgow Central,2
Wimbledon,2
Garston and Halewood,2
Altrincham and Sale West,2
Manchester Central,2
Newry and Armagh,2
Runnymede and Weybridge,1
Nottingham South,1
Hampstead and Kilburn,1
Cardiff South and Penarth,1
Maidstone and The Weald,1
Eastbourne,1
North Wiltshire,1
Bristol West,1
Saffron Walden,1
Derby South,1
Swansea West,1
Kilmarnock and Loudoun,1
Tatton,1
Kingston upon Hull West and Hessle,1
Houghton and Sunderland South,1
Rochester and Strood,1
Devizes,1
Barking,1
West Ham,1
Newport West,1
Bedford,1
Basildon and Billericay,1
Halesowen and Rowley Regis,1
Reading East,1
Angus,1
"Coatbridge, Chryston and Bellshill",1
Bournemouth East,1
Rushcliffe,1
Enfield North,1
Pendle,1
Eltham,1
North East Derbyshire,1
Darlington,1
Bath,1
"Birmingham, Edgbaston",1
North East Bedfordshire,1
Mitcham and Morden,1
Dartford,1
Livingston,1
Don Valley,1
Slough,1
Kensington,1
Old Bexley and Sidcup,1
Filton and Bradley Stoke,1
Hexham,1
Torfaen,1
Rochford and Southend East,1
Lagan Valley,1
Gravesham,1
South Cambridgeshire,1
East Surrey,1
South Staffordshire,1
Wyre Forest,1
Torbay,1
North East Hertfordshire,1
Newton Abbot,1
Northampton North,1
Bexleyheath and Crayford,1
Henley,1
Brent Central,1
Thurrock,1
Hyndburn,1
Broadland,1
West Suffolk,1
Braintree,1
Weaver Vale,1
Motherwell and Wishaw,1
Hertford and Stortford,1
Dagenham and Rainham,1
Burnley,1
Putney,1
East Devon,1
Greenwich and Woolwich,1
Rossendale and Darwen,1
Hackney North and Stoke Newington,1
Rutland and Melton,1
Colchester,1
Boston and Skegness,1
East Hampshire,1
Norwich South,1
Pontypridd,1
Mid Norfolk,1
"Brighton, Pavilion",1
Croydon South,1
Northampton South,1
Stone,1
Yeovil,1
North East Hampshire,1
"Manchester, Gorton",1
South Down,1
Chipping Barnet,1
Wyre and Preston North,1
Sheffield South East,1
Barrow and Furness,1
Walsall North,1
Chorley,1
North Tyneside,1
Caerphilly,1
Epsom and Ewell,1
Arundel and South Downs,1
Corby,1
Sevenoaks,1
East Antrim,1
Derby North,1
Croydon Central,1
"Birmingham, Perry Barr",1
Harrow East,1
Crewe and Nantwich,1
Mid Worcestershire,1
"Birmingham, Erdington",1
Richmond Park,1
Bolsover,1
Stoke-on-Trent Central,1
Sleaford and North Hykeham,1
Sedgefield,1
Mid Dorset and North Poole,1
Bromley and Chislehurst,1
Fareham,1
South West Bedfordshire,1
Sherwood,1
North Swindon,1
Haltemprice and Howden,1
Lewisham East,1
Strangford,1
Edinburgh South,1
South Dorset,1
Wythenshawe and Sale East,1
City of Durham,1
Hemel Hempstead,1
Barnsley East,1
"Liverpool, Riverside",1
