Thing,Count
UK,19920
U.S.A.,593
UNKNOWN,557
JERSEY,450
,269
GERMANY,174
LUXEMBOURG,143
AUSTRALIA,119
U.KINGDOM,108
FRANCE,103
CAYMAN ISL.,103
NETHERLANDS,86
GUERNSEY,80
SWITZERLAND,79
SWEDEN,69
VIRGIN ISL.,69
IRELAND,61
NORWAY,53
DENMARK,47
CANADA,45
ITALY,38
ISLE OF MAN,36
SOUTH AFRICA,33
JAPAN,33
ISRAEL,28
BERMUDA,26
CHINA,25
SPAIN,22
HONG KONG,21
INDIA,21
BELGIUM,20
GIBRALTAR,15
SINGAPORE,12
UNT.ARAB EM.,10
MALTA,9
AUSTRIA,9
EGYPT,8
BAHAMAS,6
CZECH REPUB,6
TURKEY,5
LIECHTENST.,4
PANAMA,4
840,4
BELIZE,3
MONACO,3
NEW ZEALAND,3
LEBANON,3
FINLAND,3
PUERTO RICO,3
TAIWAN,2
CYPRUS,2
MALAYSIA,2
FALKLAND IS.,2
PORTUGAL,2
MAURITIUS,2
SCOTLAND,2
CHANNEL ISL,2
THAILAND,1
ICELAND,1
POLAND,1
LITHUANIA,1
MONGOLIA,1
SEYCHELLES,1
KUWAIT,1
YEMEN,1
BULGARIA,1
SRI LANKA,1
ANGUILLA,1
