Thing,Count,Quotient,Latitude,Longitude
Leeds,1068509,24.76,53.8088288159581,-1.54487381191795
Bradford,319709,24.29,53.8192604357264,-1.78970658453656
Wakefield,166228,23.78,53.6795875864757,-1.44814460106494
Kirklees,119281,25.42,53.6615946131198,-1.73219659263163
Harrogate,95352,25.61,54.0193666618308,-1.51688972329684
York,92577,25.1,53.9635187460615,-1.08242362996424
Calderdale,73831,25.28,53.7148427762754,-1.88304649945836
Ryedale,32511,34.32,54.1715517475242,-0.841477252475244
Hambleton,32177,25.58,54.296281700969,-1.34324297968395
Selby,31953,25.2,53.7928201448175,-1.13754099830535
Scarborough,30210,25.67,54.3143197857532,-0.467502009908956
City of London,27127,0.22,51.5145580291079,-0.0927815507833637
Craven,24020,25.26,53.9875981349842,-2.09742669718182
Richmondshire,11866,25.64,54.3882022846254,-1.76100253688719
Islington,1161,0.03,51.531776028099,-0.0970130484010299
Westminster,1156,0.01,51.513050010751,-0.144603932441032
Horsham,1149,0.5,51.019664786138,-0.343900783746386
Cheshire East,691,0.07,53.2266530310866,-2.28762499669259
North Northamptonshire,660,0.11,52.3876783281504,-0.673285839810879
Basingstoke and Deane,558,0.12,51.2762129173303,-1.12052664857967
Leicester,370,0.07,52.6373624866096,-1.12161161304569
Eastbourne,370,0.34,50.7763029369298,0.285342230343935
Glasgow City,173,0.01,55.8588957008953,-4.26337333109786
Hackney,64,0.01,51.5357829695029,-0.0829749362986843
Manchester,45,0,53.4675404657594,-2.23401177736325
Windsor and Maidenhead,43,0,51.4890212414484,-0.678074355309581
Wyre Forest,42,0.04,52.3716562692022,-2.26195991773227
City of Edinburgh,39,0,55.9502118559609,-3.209964938508
Ealing,37,0.01,51.5190926147854,-0.317534824882395
Doncaster,34,0.01,53.5264742411146,-1.11742486663908
North Hertfordshire,20,0.01,51.9739565785452,-0.199084179362427
Wiltshire,14,0,51.3104189738938,-1.98510500814376
Birmingham,13,0,52.4830876913543,-1.88705000108815
Camden,12,0,51.5233827216008,-0.13083014240166
Tewkesbury,12,0,51.9283776227016,-2.13708570894774
Newham,12,0,51.5309642455957,0.0316330274232363
Havering,10,0,51.5690361101525,0.204156194185964
Cardiff,9,0,51.5021903004641,-3.18176176761956
Uttlesford,7,0,51.9378620651856,0.266269879182977
Sheffield,6,0,53.381712811486,-1.46651994349187
Colchester,6,0,51.8872410781162,0.888554981692394
South Norfolk,6,0,52.5208327279487,1.2173249219828
Burnley,5,0,53.7923906373827,-2.26323729381047
"Bristol, City of",4,0,51.460883772587,-2.59684752683009
West Suffolk,4,0,52.2619017032795,0.582842766104841
Flintshire,3,0,53.2026902550826,-3.07980005657841
Runnymede,3,0,51.4012630699354,-0.526595236544382
Swansea,3,0,51.6359674853098,-3.96638141492085
