LA,Thing,Count
Bradford,Communications,44888
Bradford,Sales,36574
Bradford,Multitasking,36379
Bradford,Management,26838
Bradford,Budgeting,24031
Bradford,Enthusiasm,22623
Bradford,Customer Service,21808
Bradford,Positivity,18592
Bradford,Consultative Approaches,17624
Bradford,Compassion,17482
Bradford,Detail Oriented,14947
Bradford,Coaching,14292
Bradford,People Management,12255
Bradford,Planning,11285
Bradford,Influencing Skills,10778
Bradford,Operations,8316
Bradford,Interpersonal Communications,7536
Bradford,Problem Solving,6917
Bradford,Leadership,6418
Bradford,Microsoft Excel,5567
Bradford,Collaboration,5449
Bradford,Self-Motivation,5099
Bradford,Forecasting,5061
Bradford,Research,4963
Bradford,Teamwork,4959
Bradford,Verbal Communication Skills,4935
Bradford,Microsoft Office,4844
Bradford,Innovation,4734
Bradford,Analytical Skills,4414
Bradford,Time Management,4242
Bradford,Loading And Unloading,3992
Bradford,Strong Work Ethic,3537
Bradford,Accountability,3478
Bradford,Tenacity,3300
Bradford,Negotiation,3223
Bradford,Decision Making,3199
Bradford,Mathematics,3187
Bradford,Microsoft PowerPoint,2940
Bradford,Presentations,2635
Bradford,Computer Literacy,2606
Bradford,Mentorship,2521
Bradford,Writing,2476
Bradford,Training And Development,2349
Bradford,Resilience,2157
Bradford,Relationship Building,2131
Bradford,Willingness To Learn,1990
Bradford,Proactivity,1969
Bradford,Prioritization,1906
Bradford,Administrative Functions,1814
Bradford,Coordinating,1792
Bradford,Decorating,1792
Bradford,Troubleshooting (Problem Solving),1768
Bradford,Microsoft Outlook,1662
Bradford,Retail Sales,1610
Bradford,Packaging And Labeling,1589
Bradford,Investigation,1534
Bradford,Professionalism,1470
Bradford,Lifting Ability,1444
Bradford,Microsoft Word,1405
Bradford,Governance,1400
Bradford,Ability To Meet Deadlines,1296
Bradford,Intellectual Curiosity,1293
Bradford,Persuasive Communication,1215
Bradford,Empathy,1211
Bradford,Quality Assurance,1162
Bradford,Filing,1157
Bradford,Advising,1155
Bradford,Relationship Management,1124
Bradford,Safety Assurance,1015
Bradford,Creative Thinking,995
Bradford,Team Management,936
Bradford,Spreadsheets,918
Bradford,Punctuality,885
Bradford,Teaching,866
Bradford,Social Media,854
Bradford,Honesty,801
Bradford,Editing,781
Bradford,Collections,778
Bradford,Team Performance Management,718
Bradford,Program Management,709
Bradford,Mobile Devices,689
Bradford,Team Leadership,685
Bradford,Information Technology,659
Bradford,First Aid,638
Bradford,Report Writing,622
Bradford,Energetic,616
Bradford,Timelines,614
Bradford,Scheduling,613
Bradford,Written English,567
Bradford,Literacy,561
Bradford,Resourcefulness,545
Bradford,Consulting,544
Bradford,Quality Control,542
Bradford,Record Keeping,539
Bradford,Grammar,522
Bradford,Open Mindset,488
Bradford,Team Building,467
Bradford,Cooperation,439
Bradford,Telephone Skills,436
Bradford,Calmness Under Pressure,421
Calderdale,Communications,5411
Calderdale,Management,4580
Calderdale,Sales,4468
Calderdale,Customer Service,3977
Calderdale,Literacy,1736
Calderdale,Planning,1409
Calderdale,Lifting Ability,1363
Calderdale,Leadership,1314
Calderdale,Detail Oriented,1303
Calderdale,Operations,1217
Calderdale,Innovation,1147
Calderdale,Microsoft Excel,1031
Calderdale,Self-Motivation,1010
Calderdale,Mathematics,932
Calderdale,Problem Solving,837
Calderdale,Microsoft Office,833
Calderdale,Governance,772
Calderdale,Influencing Skills,648
Calderdale,Time Management,612
Calderdale,Professionalism,597
Calderdale,Presentations,560
Calderdale,Coordinating,540
Calderdale,Interpersonal Communications,535
Calderdale,Research,527
Calderdale,Forecasting,516
Calderdale,Writing,508
Calderdale,Microsoft Outlook,491
Calderdale,Administrative Functions,487
Calderdale,Budgeting,473
Calderdale,Decision Making,466
Calderdale,Teamwork,432
Calderdale,Willingness To Learn,408
Calderdale,Computer Literacy,407
Calderdale,Analytical Skills,401
Calderdale,Enthusiasm,394
Calderdale,Troubleshooting (Problem Solving),353
Calderdale,Verbal Communication Skills,350
Calderdale,Microsoft PowerPoint,350
Calderdale,Empathy,349
Calderdale,Teaching,342
Calderdale,Mentorship,333
Calderdale,Filing,323
Calderdale,Multitasking,319
Calderdale,Coaching,315
Calderdale,Training And Development,311
Calderdale,Prioritization,306
Calderdale,Advocacy,268
Calderdale,Positivity,265
Calderdale,Accountability,254
Calderdale,English Language,248
Calderdale,Negotiation,243
Calderdale,Scheduling,241
Calderdale,Social Media,239
Calderdale,Business Administration,227
Calderdale,People Management,222
Calderdale,Resilience,219
Calderdale,Advising,213
Calderdale,Relationship Management,212
Calderdale,Ability To Meet Deadlines,192
Calderdale,Honesty,178
Calderdale,Consulting,167
Calderdale,Record Keeping,166
Calderdale,Proactivity,163
Calderdale,Delegation Skills,158
Calderdale,Motivational Skills,153
Calderdale,Strong Work Ethic,148
Calderdale,Loading And Unloading,148
Calderdale,Report Writing,147
Calderdale,Listening Skills,137
Calderdale,Curiosity,137
Calderdale,Investigation,137
Calderdale,Spreadsheets,136
Calderdale,Compassion,132
Calderdale,Safety Assurance,122
Calderdale,Information Technology,121
Calderdale,Team Leadership,119
Calderdale,Taking Messages,118
Calderdale,Quality Assurance,113
Calderdale,Cleanliness,106
Calderdale,First Aid,105
Calderdale,Written English,103
Calderdale,Collections,102
Calderdale,Program Management,100
Calderdale,Welsh Language,98
Calderdale,Creativity,98
Calderdale,Persuasive Communication,95
Calderdale,Reliability,93
Calderdale,Microsoft Word,88
Calderdale,Calmness Under Pressure,88
Calderdale,Retail Sales,84
Calderdale,Intellectual Curiosity,83
Calderdale,Patience,82
Calderdale,Composure,82
Calderdale,Organizational Skills,81
Calderdale,Spanish Language,79
Calderdale,Team Management,78
Calderdale,Confident Communicator,75
Calderdale,Word Processing,73
Calderdale,Quick Learning,73
Calderdale,Team Performance Management,71
Craven,Communications,3283
Craven,Management,2120
Craven,Sales,1186
Craven,Customer Service,1136
Craven,Detail Oriented,1073
Craven,Interpersonal Communications,825
Craven,Planning,801
Craven,Self-Motivation,786
Craven,Operations,757
Craven,Problem Solving,755
Craven,Willingness To Learn,673
Craven,Research,636
Craven,Time Management,561
Craven,Leadership,541
Craven,Honesty,530
Craven,Microsoft Excel,486
Craven,Mathematics,458
Craven,Safety Assurance,439
Craven,Writing,396
Craven,Investigation,373
Craven,Microsoft Office,363
Craven,Quality Assurance,356
Craven,Verbal Communication Skills,352
Craven,Innovation,342
Craven,Training And Development,342
Craven,Influencing Skills,325
Craven,Quality Control,313
Craven,Troubleshooting (Problem Solving),312
Craven,Strong Work Ethic,296
Craven,Analytical Skills,295
Craven,Forecasting,293
Craven,Resilience,293
Craven,Presentations,290
Craven,Enthusiasm,282
Craven,Administrative Functions,273
Craven,Negotiation,264
Craven,Scheduling,260
Craven,Computer Literacy,257
Craven,Packaging And Labeling,250
Craven,Microsoft Outlook,249
Craven,Coordinating,221
Craven,Teamwork,203
Craven,Business Administration,199
Craven,Prioritization,198
Craven,Mentorship,197
Craven,People Management,190
Craven,Decision Making,188
Craven,Budgeting,183
Craven,Report Writing,182
Craven,Ability To Meet Deadlines,175
Craven,Multitasking,166
Craven,Accountability,161
Craven,Coaching,159
Craven,Filing,158
Craven,Professionalism,157
Craven,Microsoft PowerPoint,145
Craven,Proactivity,115
Craven,Cleanliness,111
Craven,Physical Fitness,110
Craven,Timelines,108
Craven,Tenacity,105
Craven,Arithmetic,104
Craven,Microsoft Word,101
Craven,Positivity,101
Craven,Calmness Under Pressure,87
Craven,Literacy,86
Craven,Team Leadership,82
Craven,Social Media,82
Craven,Reliability,80
Craven,Motivational Skills,70
Craven,Curiosity,69
Craven,Consulting,66
Craven,Record Keeping,64
Craven,Relationship Building,63
Craven,Persuasive Communication,60
Craven,Cooperation,59
Craven,Rapport Building,56
Craven,Typing,55
Craven,Advising,51
Craven,Ideation,50
Craven,Supervision,47
Craven,Listening Skills,45
Craven,Telephone Skills,45
Craven,Creativity,45
Craven,Relationship Management,44
Craven,Quick Learning,44
Craven,Written English,43
Craven,Data Reporting,42
Craven,First Aid,42
Craven,Information Technology,42
Craven,Critical Thinking,41
Craven,Team Building,40
Craven,Compassion,40
Craven,Collections,39
Craven,Teaching,39
Craven,Team Oriented,38
Craven,English Language,37
Craven,Empathy,37
Craven,Spreadsheets,36
Craven,Governance,35
Hambleton,Communications,891
Hambleton,Detail Oriented,637
Hambleton,Mathematics,545
Hambleton,Customer Service,416
Hambleton,Management,318
Hambleton,Self-Motivation,305
Hambleton,Problem Solving,301
Hambleton,Packaging And Labeling,289
Hambleton,Operations,285
Hambleton,Enthusiasm,280
Hambleton,Sales,229
Hambleton,Planning,228
Hambleton,Computer Literacy,206
Hambleton,Microsoft Excel,201
Hambleton,Cleanliness,146
Hambleton,Scheduling,142
Hambleton,Investigation,142
Hambleton,Willingness To Learn,131
Hambleton,Coaching,130
Hambleton,Microsoft Office,127
Hambleton,Innovation,122
Hambleton,Research,102
Hambleton,Coordinating,98
Hambleton,Time Management,97
Hambleton,Self-Confidence,96
Hambleton,Decisiveness,96
Hambleton,Team Building,94
Hambleton,Verbal Communication Skills,91
Hambleton,Influencing Skills,90
Hambleton,Mentorship,86
Hambleton,Leadership,84
Hambleton,Safety Assurance,83
Hambleton,Multitasking,77
Hambleton,Presentations,75
