LA,Thing,Count
Bradford,6141,30129
Bradford,9260,27238
Bradford,6145,14460
Bradford,2136,7492
Bradford,8211,7450
Bradford,1190,7024
Bradford,7111,6994
Bradford,7129,3958
Bradford,8212,3660
Bradford,1259,2618
Bradford,9120,2614
Bradford,4159,2145
Bradford,2137,2046
Bradford,7130,1871
Bradford,1132,1580
Bradford,2231,1536
Bradford,2461,1505
Bradford,3543,1452
Bradford,2423,1303
Bradford,3541,1301
Bradford,2424,1268
Bradford,2139,1249
Bradford,3562,1244
Bradford,3534,1161
Bradford,3412,1072
Bradford,3131,1031
Bradford,3545,1031
Bradford,2135,981
Bradford,7211,935
Bradford,4122,922
Bradford,9233,851
Bradford,5319,756
Bradford,5323,715
Bradford,3113,696
Bradford,1122,686
Bradford,2434,663
Bradford,8125,645
Bradford,3116,634
Bradford,3565,624
Bradford,3544,588
Bradford,3119,583
Bradford,2129,572
Bradford,2319,562
Bradford,7219,558
Bradford,2429,555
Bradford,1121,548
Bradford,3132,544
Bradford,8222,539
Bradford,2436,520
Bradford,2421,513
Bradford,2122,509
Bradford,4134,504
Bradford,2219,498
Bradford,1133,458
Bradford,5315,454
Bradford,2134,442
Bradford,3542,427
Bradford,1131,413
Bradford,2126,411
Bradford,3563,396
Bradford,5215,388
Bradford,2413,387
Bradford,5241,386
Bradford,3239,384
Bradford,3538,382
Bradford,8229,379
Bradford,1181,373
Bradford,3115,363
Bradford,3421,353
Bradford,6146,348
Bradford,3122,343
Bradford,2123,340
Bradford,4161,339
Bradford,2442,326
Bradford,5419,307
Bradford,3567,298
Bradford,4121,292
Bradford,4151,282
Bradford,1162,282
Bradford,2472,274
Bradford,7220,273
Bradford,4133,263
Bradford,2217,260
Bradford,9139,244
Bradford,8129,243
Bradford,2127,238
Bradford,5312,223
Bradford,5223,218
Bradford,2462,216
Bradford,5321,213
Bradford,1161,213
Bradford,7114,206
Bradford,9241,197
Bradford,2121,197
Bradford,3219,196
Bradford,4215,179
Bradford,2426,176
Bradford,8239,174
Bradford,3531,171
Bradford,5434,167
Calderdale,9233,392
Calderdale,2135,378
Calderdale,2136,365
Calderdale,7129,286
Calderdale,2423,279
Calderdale,2314,268
