Thing,Count
E08000035,62811
E08000032,32530
E08000034,27189
E08000036,15767
E08000033,13765
E07000165,12947
E06000014,12267
E07000168,5049
E07000164,4892
E07000169,4456
E07000163,3572
E07000166,3192
E07000167,2668
E09000001,30
E09000012,26
E09000019,25
E09000007,24
E09000033,17
E06000007,7
S12000036,6
E08000019,5
E08000003,5
E07000240,3
W06000005,3
E07000008,3
E08000025,3
E09000024,3
E06000040,3
E07000083,3
E08000012,3
E08000009,3
E09000028,3
E07000210,3
E06000016,2
E06000054,2
E06000015,2
E06000049,2
S12000048,2
E06000055,2
S12000050,2
E09000009,2
E09000030,2
E09000011,2
E07000096,2
E06000005,2
E09000004,2
E07000084,2
N09000002,2
E06000062,2
S12000049,2
E09000008,2
N09000010,2
E07000102,2
E06000059,2
E07000212,1
E06000018,1
W06000015,1
E07000110,1
E07000061,1
E06000023,1
E07000077,1
W06000011,1
S12000008,1
E06000010,1
E08000024,1
E06000035,1
E09000002,1
E09000025,1
W06000022,1
E07000066,1
E08000028,1
E06000038,1
S12000041,1
E06000058,1
E07000176,1
E09000010,1
E07000122,1
E07000038,1
E06000022,1
E07000107,1
S12000040,1
E08000017,1
E06000039,1
E09000020,1
E06000025,1
E06000057,1
W06000020,1
E06000033,1
E07000109,1
E07000012,1
E07000215,1
E07000196,1
E07000239,1
E06000027,1
E07000099,1
E07000045,1
E07000179,1
E09000005,1
E06000034,1
E07000120,1
E07000144,1
E07000245,1
E07000067,1
E06000006,1
E07000242,1
E09000016,1
E07000117,1
E09000032,1
E07000041,1
E06000008,1
E07000131,1
E07000071,1
E07000137,1
E07000085,1
E07000148,1
W06000016,1
E07000149,1
E06000043,1
E07000197,1
E07000189,1
E07000089,1
E07000209,1
E09000003,1
E07000123,1
E07000031,1
E08000030,1
E07000118,1
E08000022,1
W06000018,1
E07000208,1
E07000227,1
E06000061,1
E07000111,1
N09000004,1
E09000015,1
E07000238,1
E09000027,1
E07000033,1
E06000021,1
E07000139,1
E09000006,1
E07000087,1
E06000056,1
E07000175,1
E06000030,1
E06000011,1
E09000023,1
N09000011,1
E06000047,1
E08000016,1
