Thing,Count,Quotient,Latitude,Longitude
Leeds,62811,25.67988,53.8088288159581,-1.54487381191795
Bradford,32530,25.67988,53.8192604357264,-1.78970658453656
Kirklees,27189,25.67988,53.6615946131198,-1.73219659263163
Wakefield,15767,25.67988,53.6795875864757,-1.44814460106494
Calderdale,13765,25.67428,53.7148427762754,-1.88304649945836
Harrogate,12947,25.67988,54.0193666618308,-1.51688972329684
York,12267,25.67988,53.9635187460615,-1.08242362996424
Scarborough,5049,25.67988,54.3143197857532,-0.467502009908956
Hambleton,4892,25.67988,54.296281700969,-1.34324297968395
Selby,4456,25.67988,53.7928201448175,-1.13754099830535
Craven,3572,25.67988,53.9875981349842,-2.09742669718182
Richmondshire,3192,25.67988,54.3882022846254,-1.76100253688719
Ryedale,2668,25.67988,54.1715517475242,-0.841477252475244
City of London,30,0.0106,51.5145580291079,-0.0927815507833637
Hackney,26,0.00655,51.5357829695029,-0.0829749362986843
Islington,25,0.00764,51.531776028099,-0.0970130484010299
Camden,24,0.00401,51.5233827216008,-0.13083014240166
Westminster,17,0.00278,51.513050010751,-0.144603932441032
Warrington,7,0.00746,53.3911071522074,-2.57806111578515
City of Edinburgh,6,0.00268,55.9502118559609,-3.209964938508
Sheffield,5,0.00387,53.381712811486,-1.46651994349187
Manchester,5,0.00198,53.4675404657594,-2.23401177736325
St Albans,3,0.00486,51.7645290500307,-0.332512355519028
Flintshire,3,0.01067,53.2026902550826,-3.07980005657841
Cambridge,3,0.00705,52.2033682137491,0.133755643346229
Birmingham,3,8.1e-4,52.4830876913543,-1.88705000108815
Merton,3,0.00277,51.4111143895329,-0.193522386300182
Windsor and Maidenhead,3,0.00468,51.4890212414484,-0.678074355309581
Tewkesbury,3,0.01096,51.9283776227016,-2.13708570894774
Liverpool,3,0.00205,53.40281385624,-2.95289379119425
Trafford,3,0.00309,53.4167579020227,-2.33538532377453
Southwark,3,0.00209,51.492099463145,-0.0835390332847613
Mole Valley,3,0.00908,51.2544336206907,-0.326810933711223
Leicester,2,0.00183,52.6373624866096,-1.12161161304569
Wiltshire,2,0.00176,51.3104189738938,-1.98510500814376
Derby,2,0.00303,52.916258405355,-1.47003826063977
Cheshire East,2,0.00159,53.2266530310866,-2.28762499669259
Perth and Kinross,2,0.00804,56.4194393258323,-3.50533931152858
Bedford,2,0.00374,52.1440183845687,-0.464523990946396
North Lanarkshire,2,0.00435,55.8565636221803,-3.99730718292552
Ealing,2,0.00139,51.5190926147854,-0.317534824882395
Tower Hamlets,2,0.0011,51.5117080522584,-0.0378453615633189
Greenwich,2,0.0022,51.4788309373429,0.049377710407244
Dacorum,2,0.00333,51.7609238323657,-0.505496534339397
Darlington,2,0.00907,54.5282620039628,-1.54868019002101
Bexley,2,0.00263,51.4576014470347,0.132613749490333
Basingstoke and Deane,2,0.0051,51.2762129173303,-1.12052664857967
"Armagh City, Banbridge and Craigavon",2,0.0067,54.3881538198423,-6.44219928481191
West Northamptonshire,2,0.00166,52.222615151816,-0.95170211022675
Glasgow City,2,0.00101,55.8588957008953,-4.26337333109786
