Thing,Count
Leeds City Region,152062
York and North Yorkshire,49043
London,150
,30
South East,12
Hertfordshire,9
Cheshire and Warrington,9
Greater Manchester,8
Sheffield City Region,7
"Derby, Derbyshire, Nottingham and Nottinghamshire",7
Coast to Capital,7
Enterprise M3,6
South East Midlands,6
Lancashire,6
Thames Valley Berkshire,5
North East,4
Greater Cambridge and Greater Peterborough,4
Greater Birmingham and Solihull,4
Heart of the South West,4
New Anglia,4
Liverpool City Region,4
Leicester and Leicestershire,3
Swindon and Wiltshire,3
West of England,3
Dorset,3
Stoke-on-Trent and Staffordshire,3
Gloucestershire,3
Hull and East Riding,2
Black Country,2
Tees Valley,2
Greater Lincolnshire,2
Oxfordshire,1
Cumbria,1
Worcestershire,1
Solent,1
