Thing,Count
TLE42,62811
TLE44,40954
TLE22,36776
TLE41,32530
TLE45,15767
TLE21,12267
TLI31,54
TLI41,27
TLI43,25
TLI32,17
TLH23,9
TLD61,7
TLM75,6
TLE32,5
TLD33,5
TLJ11,5
TLJ26,5
TLI51,4
TLH12,4
TLI44,4
TLL23,3
TLD46,3
TLG31,3
TLI63,3
TLJ37,3
TLK13,3
TLD72,3
TLD34,3
TLJ25,2
TLF21,2
TLK15,2
TLF11,2
TLD62,2
TLI52,2
TLM77,2
TLH24,2
TLM84,2
TLI73,2
TLI42,2
TLF12,2
TLC13,2
TLK12,2
TLJ43,2
TLE31,2
TLL16,2
TLN07,2
TLG24,2
TLG12,2
TLK43,2
TLF24,2
TLM82,2
TLH15,2
TLH34,2
TLF30,2
TLI62,2
TLN08,2
TLK25,2
TLF14,1
TLL22,1
TLJ45,1
TLJ22,1
TLK11,1
TLH35,1
TLL18,1
TLM93,1
TLE11,1
TLC23,1
TLJ41,1
TLL21,1
TLH37,1
TLG37,1
TLM71,1
TLK24,1
TLF16,1
TLI54,1
TLM78,1
TLI33,1
TLC21,1
TLH31,1
TLK42,1
TLJ14,1
TLI72,1
TLH32,1
TLH14,1
TLD71,1
TLI34,1
TLD41,1
TLF22,1
TLJ36,1
TLL15,1
TLH17,1
TLJ21,1
TLK23,1
TLI71,1
TLD45,1
TLD12,1
TLG38,1
TLD47,1
TLC22,1
TLJ28,1
TLF25,1
TLJ46,1
TLN12,1
TLI74,1
TLI75,1
TLG23,1
TLI61,1
TLJ35,1
TLH25,1
TLF15,1
TLK14,1
TLE12,1
TLN09,1
TLC14,1
