Thing,ID,Count,Quotient
Business Support Services,RTIC0069,1543,1.08
Life Sciences,RTIC0078,923,1.08
Net Zero,RTIC0055,638,0.84
Agency Market,RTIC0072,616,1.05
Advanced Manufacturing,RTIC0065,602,1.29
Legal Services,RTIC0076,512,1.18
Digital Creative Industries,RTIC0064,507,1.03
Research and Consulting - Physical Sciences and Engineering,RTIC0070,432,0.98
Media and Publishing,RTIC0068,369,0.86
Data Infrastructure,RTIC0007,357,0.84
Electronics Manufacturing,RTIC0067,292,1
Rehabilitation,RTIC0073,262,1.14
Software Development,RTIC0079,253,0.82
Energy Generation,RTIC0011,188,1.12
Cyber,RTIC0006,163,0.78
CleanTech,RTIC0047,163,0.87
Geospatial Economy,RTIC0008,155,1.39
FinTech,RTIC0052,148,0.7
Supply Chain Logistics,RTIC0031,130,0.89
Advanced Materials,RTIC0034,126,1.37
Telecommunications,RTIC0056,125,1.04
Energy Storage,RTIC0013,124,2.95
Land Remediation,RTIC0075,113,1.39
Food Tech,RTIC0057,101,0.96
Sensors,RTIC0030,95,2.25
Software as a Service (SaaS),RTIC0029,85,0.7
Space Economy,RTIC0066,76,0.8
E-Commerce,RTIC0074,70,0.91
Design and Modelling Technologies,RTIC0059,65,0.97
Artificial Intelligence,RTIC0004,62,0.5
Pharma,RTIC0062,61,0.68
Gaming,RTIC0016,59,1.27
Immersive Technologies,RTIC0018,54,0.67
Modular Construction,RTIC0063,51,1.57
Computer Hardware,RTIC0005,49,0.79
EdTech,RTIC0010,45,0.79
MedTech,RTIC0058,38,0.65
Photonics,RTIC0027,37,0.97
AgriTech,RTIC0003,36,0.73
Data Intermediaries,RTIC0077,34,0.73
Energy Management,RTIC0012,33,0.9
Internet of Things,RTIC0020,29,0.82
Streaming Economy,RTIC0060,24,0.99
Cryptocurrency Economy,RTIC0061,23,0.59
Omics,RTIC0026,19,0.74
Wearables and Quantified Self,RTIC0033,19,1.21
AdTech,RTIC0001,16,0.52
Quantum Economy,RTIC0051,16,0.97
