Thing,ID,Count
Advanced Manufacturing,RTIC0065,97119
Business Support Services,RTIC0069,85012
Software Development,RTIC0079,12728
Life Sciences,RTIC0078,11419
Modular Construction,RTIC0063,8259
Net Zero,RTIC0055,7811
Research and Consulting - Physical Sciences and Engineering,RTIC0070,6151
Legal Services,RTIC0076,4111
Land Remediation,RTIC0075,2657
Digital Creative Industries,RTIC0064,2194
Energy Generation,RTIC0011,1755
Energy Storage,RTIC0013,1738
Data Infrastructure,RTIC0007,1602
Agency Market,RTIC0072,1114
Cyber,RTIC0006,857
FinTech,RTIC0052,793
Rehabilitation,RTIC0073,643
MedTech,RTIC0058,585
Software as a Service (SaaS),RTIC0029,522
Geospatial Economy,RTIC0008,473
Sensors,RTIC0030,444
Pharma,RTIC0062,370
Streaming Economy,RTIC0060,320
Food Tech,RTIC0057,306
Electronics Manufacturing,RTIC0067,251
AdTech,RTIC0001,208
EdTech,RTIC0010,207
Artificial Intelligence,RTIC0004,132
Telecommunications,RTIC0056,124
Media and Publishing,RTIC0068,119
CleanTech,RTIC0047,118
Computer Hardware,RTIC0005,100
Advanced Materials,RTIC0034,94
Design and Modelling Technologies,RTIC0059,56
E-Commerce,RTIC0074,49
Space Economy,RTIC0066,39
Energy Management,RTIC0012,35
Supply Chain Logistics,RTIC0031,29
Cryptocurrency Economy,RTIC0061,25
Wearables and Quantified Self,RTIC0033,24
Immersive Technologies,RTIC0018,19
Omics,RTIC0026,18
Data Intermediaries,RTIC0077,18
Photonics,RTIC0027,15
AgriTech,RTIC0003,11
Gaming,RTIC0016,4
Internet of Things,RTIC0020,0
Quantum Economy,RTIC0051,0
