Thing,ID,Count
Business Support Services: Employment and Recruitment Services,RTIC006901,503
Life Sciences: Human Health Services,RTIC007803,463
Business Support Services: Landscaping and Cleaning Services,RTIC006902,429
Business Support Services: Office Support Services,RTIC006904,301
Net Zero: Renewable Energy Planning Database,RTIC005514,246
Business Support Services: Security Services,RTIC006905,213
Media and Publishing: Printing Services,RTIC006802,202
Data Infrastructure: Data Infrastructure Services,RTIC000704,201
Life Sciences: Life Sciences Manufacturing,RTIC007802,193
Agency Market: Creative,RTIC007203,182
Net Zero: Renewables,RTIC005515,161
Net Zero: Waste Management and Recycling,RTIC005516,158
Data Infrastructure: Data Infrastructure Hardware,RTIC000703,153
Advanced Manufacturing: Forging,RTIC006510,140
Agency Market: Branding,RTIC007202,134
Digital Creative Industries: Design,RTIC006404,131
Digital Creative Industries: Architecture,RTIC006402,129
Rehabilitation: Psychiatric Rehabilitation,RTIC007303,128
Digital Creative Industries: Advertising,RTIC006401,128
Agency Market: Performance Marketing,RTIC007207,126
Life Sciences: Environmental Sciences Products and Services,RTIC007806,123
Research and Consulting - Physical Sciences and Engineering: Achitectural Consulting,RTIC007001,115
Advanced Manufacturing: Computer Aided Manufacturing,RTIC006505,113
Energy Storage: Batteries,RTIC001301,113
Supply Chain Logistics: Service Providers,RTIC003106,108
Advanced Manufacturing: Prototyping,RTIC006514,105
Research and Consulting - Physical Sciences and Engineering: Engineering Consulting,RTIC007003,104
Legal Services: General,RTIC007607,101
Rehabilitation: Physical Rehabilitation,RTIC007302,99
Net Zero: Low Carbon Energy Generation,RTIC005511,96
Advanced Manufacturing: Forming,RTIC006511,94
Life Sciences: Research,RTIC007801,94
Cyber: Risk Management,RTIC000607,93
Legal Services: Family,RTIC007606,93
"Legal Services: Wills, trusts, probate and estate administration",RTIC007614,91
Research and Consulting - Physical Sciences and Engineering: Physical Sciences Consulting,RTIC007005,90
Net Zero: Diversion of Biodegradable Waste from Landfill,RTIC005504,89
Geospatial Economy: Data Capture,RTIC000801,86
Agency Market: E-commerce platforms,RTIC007206,86
Digital Creative Industries: Photography,RTIC006407,85
Geospatial Economy: Data Processing and Visualisation,RTIC000802,84
Advanced Manufacturing: Coating Tech,RTIC006504,81
Advanced Manufacturing: Digital Design,RTIC006508,81
Cyber: Network Security,RTIC000606,76
Agency Market: Public Relations,RTIC007208,76
Land Remediation: Remediation Services,RTIC007503,74
"CleanTech: Energy Production, Management and Storage",RTIC004703,73
Research and Consulting - Physical Sciences and Engineering: Physical Sciences Research,RTIC007006,71
Business Support Services: Machinery Rental Services,RTIC006903,70
Software Development: Security Engineering,RTIC007908,70
Data Infrastructure: Data Infrastructure Software,RTIC000705,68
Data Infrastructure: Data Storage,RTIC000706,67
Legal Services: Employment,RTIC007605,67
Agency Market: User Experience,RTIC007210,66
Research and Consulting - Physical Sciences and Engineering: Architectural Research,RTIC007002,66
Electronics Manufacturing: Communications,RTIC006701,66
Media and Publishing: Video and Motion Graphics production,RTIC006805,64
Net Zero: Heating,RTIC005509,61
Media and Publishing: Publishing Services,RTIC006803,60
Legal Services: Divorce,RTIC007604,60
Advanced Manufacturing: Cutting and Machining,RTIC006506,58
Telecommunications: Site Services,RTIC005606,58
Cyber: Incident Detection and Response,RTIC000604,58
Legal Services: Injury,RTIC007609,58
Research and Consulting - Physical Sciences and Engineering: Engineering Research,RTIC007004,56
Electronics Manufacturing: Energy generation or distribution tech,RTIC006704,55
Life Sciences: Chemical Products and Services,RTIC007805,50
Net Zero: Low Emission Vehicles,RTIC005512,50
E-Commerce: Tracking,RTIC007403,48
Net Zero: Energy Storage,RTIC005506,48
Agency Market: Social Media,RTIC007209,47
Cyber: Threat Management,RTIC000608,46
Electronics Manufacturing: Repair services,RTIC006708,46
CleanTech: Environmental Protection and Monitoring,RTIC004704,46
Software Development: Web Development,RTIC007910,45
Legal Services: Tax & Finance,RTIC007613,45
Energy Generation: Wind,RTIC001108,43
Modular Construction: Supply Chain,RTIC006303,42
Legal Services: Crime,RTIC007603,42
Pharma: Pharma and BioPharma,RTIC006206,41
Electronics Manufacturing: Measuring and metrology devices,RTIC006705,41
Gaming: Game Development Studios,RTIC001601,38
Advanced Materials: Coatings,RTIC003403,38
Energy Generation: Renewable Thermal,RTIC001106,38
