Thing,ID,Count
Business Support Services: Employment and Recruitment Services,RTIC006901,23112
Life Sciences: Human Health Services,RTIC007803,12095
Business Support Services: Landscaping and Cleaning Services,RTIC006902,11977
Supply Chain Logistics: Service Providers,RTIC003106,10584
Research and Consulting - Physical Sciences and Engineering: Physical Sciences Consulting,RTIC007005,7030
Life Sciences: Life Sciences Manufacturing,RTIC007802,6418
CleanTech: Water Processing,RTIC004706,5953
Data Infrastructure: Data Infrastructure Services,RTIC000704,5788
Net Zero: Renewable Energy Planning Database,RTIC005514,5556
Research and Consulting - Physical Sciences and Engineering: Physical Sciences Research,RTIC007006,5224
Life Sciences: Environmental Sciences Products and Services,RTIC007806,5103
Software as a Service (SaaS): Healthcare,RTIC002905,5044
Net Zero: Waste Management and Recycling,RTIC005516,4239
Energy Generation: Bioenergy,RTIC001101,4072
MedTech: Monitoring Technologies,RTIC005804,3992
Sensors: Medical,RTIC003004,3867
Digital Creative Industries: Advertising,RTIC006401,3819
Modular Construction: Off site construction,RTIC006301,3758
Business Support Services: Security Services,RTIC006905,3408
Omics: Transcriptomics,RTIC002606,3407
Data Infrastructure: Data Infrastructure Software,RTIC000705,3404
Net Zero: Diversion of Biodegradable Waste from Landfill,RTIC005504,3288
Data Infrastructure: Data Storage,RTIC000706,3265
Modular Construction: Permanent Modular Buildings,RTIC006302,3082
Research and Consulting - Physical Sciences and Engineering: Architectural Research,RTIC007002,2853
Research and Consulting - Physical Sciences and Engineering: Engineering Consulting,RTIC007003,2762
Supply Chain Logistics: Supply Chain Visibility,RTIC003107,2643
Modular Construction: Supply Chain,RTIC006303,2565
Legal Services: General,RTIC007607,2564
Advanced Manufacturing: Forging,RTIC006510,2471
Media and Publishing: Printing Services,RTIC006802,2399
Life Sciences: Research,RTIC007801,2091
Software Development: Cloud Computing,RTIC007902,1998
FinTech: Analytics,RTIC005202,1991
Legal Services: Tax & Finance,RTIC007613,1883
Food Tech: Food Processing,RTIC005703,1806
Net Zero: Renewables,RTIC005515,1704
Land Remediation: Regulatory Services,RTIC007502,1672
Pharma: Pharma and BioPharma,RTIC006206,1671
Rehabilitation: Psychiatric Rehabilitation,RTIC007303,1617
Business Support Services: Office Support Services,RTIC006904,1603
Advanced Manufacturing: Forming,RTIC006511,1573
Cyber: Network Security,RTIC000606,1571
Electronics Manufacturing: Energy generation or distribution tech,RTIC006704,1460
FinTech: Online Banking,RTIC005203,1444
"Legal Services: Wills, trusts, probate and estate administration",RTIC007614,1395
Net Zero: Pollution Control and Mitigation,RTIC005513,1376
Advanced Manufacturing: Prototyping,RTIC006514,1322
FinTech: Insurtech,RTIC005215,1293
Life Sciences: Chemical Products and Services,RTIC007805,1262
Legal Services: Injury,RTIC007609,1255
Data Infrastructure: Data Infrastructure Hardware,RTIC000703,1254
Legal Services: Family,RTIC007606,1241
Digital Creative Industries: Architecture,RTIC006402,1199
Agency Market: Creative,RTIC007203,1196
Net Zero: Low Carbon Energy Generation,RTIC005511,1194
Advanced Manufacturing: Cutting and Machining,RTIC006506,1177
Legal Services: Divorce,RTIC007604,1093
Land Remediation: Remediation Services,RTIC007503,1085
Data Infrastructure: Data Centres,RTIC000702,1074
Business Support Services: Machinery Rental Services,RTIC006903,1053
E-Commerce: Tracking,RTIC007403,1035
Agency Market: E-commerce platforms,RTIC007206,1005
Pharma: Research and Data Analytics,RTIC006204,989
