Thing,ID,Count
Advanced Manufacturing: Forging,RTIC006510,96525
Business Support Services: Employment and Recruitment Services,RTIC006901,80956
Software Development: DevOps,RTIC007904,11558
Life Sciences: Human Health Services,RTIC007803,5803
Business Support Services: Landscaping and Cleaning Services,RTIC006902,3086
Life Sciences: Environmental Sciences Products and Services,RTIC007806,3046
Modular Construction: Off site construction,RTIC006301,2789
Modular Construction: Permanent Modular Buildings,RTIC006302,2765
Modular Construction: Supply Chain,RTIC006303,2705
Research and Consulting - Physical Sciences and Engineering: Architectural Research,RTIC007002,2701
Net Zero: Renewable Energy Planning Database,RTIC005514,2640
Land Remediation: Regulatory Services,RTIC007502,2528
Life Sciences: Life Sciences Manufacturing,RTIC007802,2393
Digital Creative Industries: Advertising,RTIC006401,2087
Research and Consulting - Physical Sciences and Engineering: Engineering Consulting,RTIC007003,1769
Energy Storage: Batteries,RTIC001301,1638
Net Zero: Renewables,RTIC005515,1580
Energy Generation: Solar,RTIC001107,1555
Net Zero: Energy Storage,RTIC005506,1554
Net Zero: Energy Cooperatives,RTIC005505,1549
Research and Consulting - Physical Sciences and Engineering: Achitectural Consulting,RTIC007001,1305
Legal Services: General,RTIC007607,1280
Legal Services: Injury,RTIC007609,1123
Legal Services: Consumer or Trading issues,RTIC007602,1093
Software Development: UI/UX Development,RTIC007909,855
MedTech: Monitoring Technologies,RTIC005804,584
Business Support Services: Security Services,RTIC006905,573
FinTech: Online Banking,RTIC005203,542
Rehabilitation: Psychiatric Rehabilitation,RTIC007303,531
Data Infrastructure: Data Infrastructure Services,RTIC000704,485
Cyber: Network Security,RTIC000606,410
Sensors: Medical,RTIC003004,393
Agency Market: Performance Marketing,RTIC007207,381
Business Support Services: Office Support Services,RTIC006904,373
Streaming Economy: Immersive Tech,RTIC006002,319
Software as a Service (SaaS): Healthcare,RTIC002905,318
Data Infrastructure: Data Storage,RTIC000706,293
Geospatial Economy: Navigation Technologies,RTIC000804,276
Data Infrastructure: Data Infrastructure Software,RTIC000705,267
Cyber: Risk Management,RTIC000607,264
Agency Market: E-commerce platforms,RTIC007206,259
Legal Services: Divorce,RTIC007604,253
Legal Services: Family,RTIC007606,245
Data Infrastructure: Data Infrastructure Hardware,RTIC000703,244
Agency Market: Creative,RTIC007203,239
Data Infrastructure: Data Centres,RTIC000702,236
Net Zero: Waste Management and Recycling,RTIC005516,215
Pharma: Pharma and BioPharma,RTIC006206,210
AdTech: Data Management and Analysis,RTIC000103,208
Research and Consulting - Physical Sciences and Engineering: Physical Sciences Research,RTIC007006,199
Software Development: Games Development,RTIC007906,194
Electronics Manufacturing: Energy generation or distribution tech,RTIC006704,185
Research and Consulting - Physical Sciences and Engineering: Physical Sciences Consulting,RTIC007005,175
Energy Generation: Fossil Fuels,RTIC001102,171
Advanced Manufacturing: Forming,RTIC006511,161
Net Zero: Diversion of Biodegradable Waste from Landfill,RTIC005504,140
EdTech: Learning Management Systems,RTIC001005,137
Advanced Manufacturing: Robotics and Automation,RTIC006515,126
Food Tech: Food Processing,RTIC005703,122
Food Tech: Food Safety and Traceability,RTIC005704,119
Pharma: Targeted Therapies,RTIC006207,116
Geospatial Economy: Data Capture,RTIC000801,110
Advanced Manufacturing: Computer Aided Manufacturing,RTIC006505,108
Artificial Intelligence: Industry 4.0 and Automation,RTIC000407,103
Agency Market: Public Relations,RTIC007208,99
Advanced Manufacturing: Prototyping,RTIC006514,95
Life Sciences: Biology and Biotech,RTIC007804,92
Cyber: Incident Detection and Response,RTIC000604,90
Geospatial Economy: Data Processing and Visualisation,RTIC000802,87
Energy Storage: Uninterruptible power supply,RTIC001305,82
Land Remediation: Remediation Services,RTIC007503,79
Computer Hardware: Embedded Systems,RTIC000502,75
FinTech: Regtech,RTIC005221,72
Telecommunications: Site Services,RTIC005606,67
Digital Creative Industries: Photography,RTIC006407,65
Software as a Service (SaaS): Development,RTIC002903,64
Life Sciences: Research,RTIC007801,60
Data Infrastructure: Trusted Execution Environments,RTIC000707,60
Software as a Service (SaaS): Human Resources,RTIC002906,58
Media and Publishing: Printing Services,RTIC006802,57
Software as a Service (SaaS): Finance and Accounting,RTIC002904,57
Software Development: Security Engineering,RTIC007908,53
"Legal Services: Wills, trusts, probate and estate administration",RTIC007614,52
Land Remediation: Brownfield Regeneration,RTIC007501,50
Cyber: Threat Management,RTIC000608,49
Rehabilitation: Physical Rehabilitation,RTIC007302,45
Agency Market: Analytics,RTIC007201,43
FinTech: Peer-to-peer lending,RTIC005216,43
Design and Modelling Technologies: 3D Modelling and Scanning,RTIC005901,42
EdTech: Devices,RTIC001002,42
CleanTech: Environmental Protection and Monitoring,RTIC004704,41
FinTech: Software-as-a-service,RTIC005222,41
FinTech: Professional Services,RTIC005219,41
Net Zero: Low Carbon Energy Generation,RTIC005511,39
E-Commerce: Tracking,RTIC007403,38
Media and Publishing: Video and Motion Graphics production,RTIC006805,36
Agency Market: Social Media,RTIC007209,36
Advanced Manufacturing: Cutting and Machining,RTIC006506,35
Advanced Materials: Emergent,RTIC003406,32
Cyber: Endpoint Security,RTIC000602,32
Software Development: Mobile Development,RTIC007907,31
Advanced Manufacturing: Coating Tech,RTIC006504,30
