Thing,ID,Count
Energy Generation: Bioenergy,RTIC001101,9923243362
Net Zero: Renewable Energy Planning Database,RTIC005514,7067618295
Net Zero: Low Carbon Energy Generation,RTIC005511,5017241704
Net Zero: Renewables,RTIC005515,4950135281
Net Zero: Grid,RTIC005508,4820434000
CleanTech: Water Processing,RTIC004706,2524333335
Energy Management: Smart Meter,RTIC001204,1723200852
Life Sciences: Human Health Services,RTIC007803,1264238573
Advanced Manufacturing: Forging,RTIC006510,1069437454
Supply Chain Logistics: Service Providers,RTIC003106,920018158
Life Sciences: Life Sciences Manufacturing,RTIC007802,915190892
Business Support Services: Employment and Recruitment Services,RTIC006901,911034797
Data Infrastructure: Data Infrastructure Services,RTIC000704,832982963
Net Zero: Waste Management and Recycling,RTIC005516,718793142
Research and Consulting - Physical Sciences and Engineering: Physical Sciences Consulting,RTIC007005,683703997
Research and Consulting - Physical Sciences and Engineering: Architectural Research,RTIC007002,581227854
Data Infrastructure: Data Storage,RTIC000706,559058030
Data Infrastructure: Data Infrastructure Software,RTIC000705,555693692
Modular Construction: Off site construction,RTIC006301,540941569
Software as a Service (SaaS): Healthcare,RTIC002905,516891162
Net Zero: Diversion of Biodegradable Waste from Landfill,RTIC005504,502919008
Modular Construction: Supply Chain,RTIC006303,501321626
Research and Consulting - Physical Sciences and Engineering: Physical Sciences Research,RTIC007006,491280189
Agency Market: E-commerce platforms,RTIC007206,489953810
Electronics Manufacturing: Measuring and metrology devices,RTIC006705,489044755
Electronics Manufacturing: Electronic components and boards,RTIC006703,486454747
MedTech: Monitoring Technologies,RTIC005804,469459514
Modular Construction: Permanent Modular Buildings,RTIC006302,461268626
FinTech: Online Banking,RTIC005203,437885527
Life Sciences: Environmental Sciences Products and Services,RTIC007806,429972657
Photonics: Remote Sensing,RTIC002706,422646000
Research and Consulting - Physical Sciences and Engineering: Engineering Consulting,RTIC007003,422517000
Photonics: Optics,RTIC002703,417801000
Food Tech: Food Processing,RTIC005703,385476876
Supply Chain Logistics: Supply Chain Visibility,RTIC003107,349233000
Sensors: Medical,RTIC003004,346381265
Media and Publishing: Printing Services,RTIC006802,329820434
Digital Creative Industries: Architecture,RTIC006402,327535688
Omics: Transcriptomics,RTIC002606,308394520
Business Support Services: Security Services,RTIC006905,305424248
Digital Creative Industries: Advertising,RTIC006401,297334056
Business Support Services: Landscaping and Cleaning Services,RTIC006902,287607182
Electronics Manufacturing: Energy generation or distribution tech,RTIC006704,277207797
FinTech: Analytics,RTIC005202,273456000
Software Development: Cloud Computing,RTIC007902,268116000
Data Infrastructure: Data Infrastructure Hardware,RTIC000703,261350731
Electronics Manufacturing: Computer manufacture,RTIC006702,252201061
Cyber: Network Security,RTIC000606,250133022
Data Infrastructure: Data Centres,RTIC000702,244934117
Telecommunications: Fibre Connectivity,RTIC005603,235633484
FinTech: Insurtech,RTIC005215,216014418
Electronics Manufacturing: Communications,RTIC006701,198046720
Software Development: Games Development,RTIC007906,194670000
