Thing,Count
UK,973630
UNKNOWN,321401
,51835
U.S.A.,46688
JERSEY,40588
CAYMAN ISL.,25136
GERMANY,19543
NETHERLANDS,18432
LUXEMBOURG,14398
U.KINGDOM,11075
UNT.ARAB EM.,8934
GUERNSEY,7191
FRANCE,6538
AUSTRALIA,5878
DENMARK,4142
SWEDEN,3480
SWITZERLAND,3386
CANADA,3322
JAPAN,2862
IRELAND,2793
NORWAY,2193
VIRGIN ISL.,2174
ISLE OF MAN,1885
INDIA,1637
SPAIN,1368
ISRAEL,1263
ICELAND,946
ITALY,909
EGYPT,828
BERMUDA,685
HONG KONG,684
SINGAPORE,673
AUSTRIA,668
MALTA,600
CYPRUS,578
LIECHTENST.,425
BELGIUM,379
SOUTH AFRICA,255
CHINA,215
TURKEY,206
FINLAND,183
GIBRALTAR,156
BAHAMAS,123
MALAYSIA,82
PANAMA,79
LEBANON,51
NEW ZEALAND,24
CZECH REPUB,19
TAIWAN,17
POLAND,14
FALKLAND IS.,13
PORTUGAL,11
SCOTLAND,11
MAURITIUS,10
BULGARIA,10
BELIZE,6
MONACO,3
LITHUANIA,2
PUERTO RICO,2
ANGUILLA,2
MONGOLIA,1
KUWAIT,1
THAILAND,0
840,0
SEYCHELLES,0
YEMEN,0
SRI LANKA,0
CHANNEL ISL,0
