Thing,Count
UK,168010497267
UNKNOWN,52681843972
JERSEY,16138379835
U.S.A.,9233139597
,5208831512
CAYMAN ISL.,4297042780
LUXEMBOURG,3969849283
NETHERLANDS,3746777809
GERMANY,2968511415
U.KINGDOM,2801905918
DENMARK,2654822671
FRANCE,2277362304
IRELAND,1746002060
CANADA,1119760689
GUERNSEY,1103304540
SWITZERLAND,1000930450
UNT.ARAB EM.,951726000
AUSTRALIA,916832399
JAPAN,742889133
SWEDEN,651027624
ISRAEL,648488157
NORWAY,535776223
CYPRUS,362370000
ITALY,298657981
VIRGIN ISL.,275431538
SPAIN,265262080
SINGAPORE,211558672
INDIA,192436414
BELGIUM,143290465
AUSTRIA,133694520
HONG KONG,127718695
MALTA,102872412
BERMUDA,93424119
SOUTH AFRICA,82939193
ICELAND,79400000
ISLE OF MAN,79088719
EGYPT,76586000
CHINA,51467243
FINLAND,35080000
MALAYSIA,33901889
LIECHTENST.,23775005
GIBRALTAR,22785000
POLAND,15936695
TURKEY,15665000
PANAMA,14247976
NEW ZEALAND,13170000
PUERTO RICO,13020000
BAHAMAS,12188820
LEBANON,10865702
PORTUGAL,7755000
CZECH REPUB,5090000
MAURITIUS,5015000
TAIWAN,4835000
SCOTLAND,4450000
LITHUANIA,3080000
FALKLAND IS.,1340000
BULGARIA,504720
BELIZE,340000
MONACO,265000
ANGUILLA,135000
MONGOLIA,120000
SEYCHELLES,95000
KUWAIT,95000
THAILAND,0
840,0
YEMEN,0
SRI LANKA,0
CHANNEL ISL,0
