date,geography_name,geography_code,subject_level,age_youth_adult,achievements,participation
2021/22,Bradford,E08000032,Basic Skills (Excluding digital skills),Adult,3890,6040
2021/22,Calderdale,E08000033,Basic Skills (Excluding digital skills),Adult,790,1370
2021/22,Craven,E07000163,Basic Skills (Excluding digital skills),Adult,110,230
2021/22,Hambleton,E07000164,Basic Skills (Excluding digital skills),Adult,160,380
2021/22,Harrogate,E07000165,Basic Skills (Excluding digital skills),Adult,240,620
2021/22,Kirklees,E08000034,Basic Skills (Excluding digital skills),Adult,1910,3250
2021/22,Leeds,E08000035,Basic Skills (Excluding digital skills),Adult,5270,7640
2021/22,Richmondshire,E07000166,Basic Skills (Excluding digital skills),Adult,1460,2230
2021/22,Ryedale,E07000167,Basic Skills (Excluding digital skills),Adult,80,160
2021/22,Scarborough,E07000168,Basic Skills (Excluding digital skills),Adult,210,590
2021/22,Selby,E07000169,Basic Skills (Excluding digital skills),Adult,160,410
2021/22,Wakefield,E08000036,Basic Skills (Excluding digital skills),Adult,1250,2350
2021/22,York,E06000014,Basic Skills (Excluding digital skills),Adult,350,810
2021/22,Bradford,E08000032,Basic Skills (Excluding digital skills),Youth,80,380
2021/22,Calderdale,E08000033,Basic Skills (Excluding digital skills),Youth,30,160
2021/22,Craven,E07000163,Basic Skills (Excluding digital skills),Youth,20,60
2021/22,Hambleton,E07000164,Basic Skills (Excluding digital skills),Youth,10,80
2021/22,Harrogate,E07000165,Basic Skills (Excluding digital skills),Youth,20,90
2021/22,Kirklees,E08000034,Basic Skills (Excluding digital skills),Youth,80,330
2021/22,Leeds,E08000035,Basic Skills (Excluding digital skills),Youth,90,380
2021/22,Richmondshire,E07000166,Basic Skills (Excluding digital skills),Youth,90,280
2021/22,Ryedale,E07000167,Basic Skills (Excluding digital skills),Youth,10,40
2021/22,Scarborough,E07000168,Basic Skills (Excluding digital skills),Youth,30,110
2021/22,Selby,E07000169,Basic Skills (Excluding digital skills),Youth,10,60
2021/22,Wakefield,E08000036,Basic Skills (Excluding digital skills),Youth,30,200
2021/22,York,E06000014,Basic Skills (Excluding digital skills),Youth,20,80
2021/22,Bradford,E08000032,Basic Skills (Including digital skills),Adult,4000,6230
2021/22,Calderdale,E08000033,Basic Skills (Including digital skills),Adult,800,1400
2021/22,Craven,E07000163,Basic Skills (Including digital skills),Adult,120,230
2021/22,Hambleton,E07000164,Basic Skills (Including digital skills),Adult,160,380
2021/22,Harrogate,E07000165,Basic Skills (Including digital skills),Adult,240,630
2021/22,Kirklees,E08000034,Basic Skills (Including digital skills),Adult,2010,3410
2021/22,Leeds,E08000035,Basic Skills (Including digital skills),Adult,5300,7700
2021/22,Richmondshire,E07000166,Basic Skills (Including digital skills),Adult,1460,2230
2021/22,Ryedale,E07000167,Basic Skills (Including digital skills),Adult,80,170
2021/22,Scarborough,E07000168,Basic Skills (Including digital skills),Adult,220,590
2021/22,Selby,E07000169,Basic Skills (Including digital skills),Adult,160,410
2021/22,Wakefield,E08000036,Basic Skills (Including digital skills),Adult,1280,2390
2021/22,York,E06000014,Basic Skills (Including digital skills),Adult,350,820
2021/22,Bradford,E08000032,Basic Skills (Including digital skills),Youth,80,380
2021/22,Calderdale,E08000033,Basic Skills (Including digital skills),Youth,30,160
2021/22,Craven,E07000163,Basic Skills (Including digital skills),Youth,20,60
2021/22,Hambleton,E07000164,Basic Skills (Including digital skills),Youth,10,80
2021/22,Harrogate,E07000165,Basic Skills (Including digital skills),Youth,20,90
2021/22,Kirklees,E08000034,Basic Skills (Including digital skills),Youth,80,330
2021/22,Leeds,E08000035,Basic Skills (Including digital skills),Youth,90,380
2021/22,Richmondshire,E07000166,Basic Skills (Including digital skills),Youth,90,280
2021/22,Ryedale,E07000167,Basic Skills (Including digital skills),Youth,10,40
2021/22,Scarborough,E07000168,Basic Skills (Including digital skills),Youth,30,110
2021/22,Selby,E07000169,Basic Skills (Including digital skills),Youth,10,60
2021/22,Wakefield,E08000036,Basic Skills (Including digital skills),Youth,30,200
2021/22,York,E06000014,Basic Skills (Including digital skills),Youth,20,80
2021/22,Bradford,E08000032,English,Adult,1540,3030
2021/22,Calderdale,E08000033,English,Adult,300,720
2021/22,Craven,E07000163,English,Adult,60,120
2021/22,Hambleton,E07000164,English,Adult,100,270
2021/22,Harrogate,E07000165,English,Adult,120,410
2021/22,Kirklees,E08000034,English,Adult,580,1400
2021/22,Leeds,E08000035,English,Adult,1650,3360
2021/22,Richmondshire,E07000166,English,Adult,1130,1830
2021/22,Ryedale,E07000167,English,Adult,40,100
2021/22,Scarborough,E07000168,English,Adult,130,400
2021/22,Selby,E07000169,English,Adult,70,250
2021/22,Wakefield,E08000036,English,Adult,510,1320
2021/22,York,E06000014,English,Adult,180,500
2021/22,Bradford,E08000032,English,Youth,40,200
2021/22,Calderdale,E08000033,English,Youth,20,90
2021/22,Craven,E07000163,English,Youth,10,40
2021/22,Hambleton,E07000164,English,Youth,10,50
2021/22,Harrogate,E07000165,English,Youth,10,60
2021/22,Kirklees,E08000034,English,Youth,60,200
2021/22,Leeds,E08000035,English,Youth,60,230
2021/22,Richmondshire,E07000166,English,Youth,50,190
2021/22,Ryedale,E07000167,English,Youth,10,30
2021/22,Scarborough,E07000168,English,Youth,20,70
2021/22,Selby,E07000169,English,Youth,10,50
2021/22,Wakefield,E08000036,English,Youth,20,110
2021/22,York,E06000014,English,Youth,10,40
2021/22,Bradford,E08000032,English Entry Level,Adult,660,820
2021/22,Calderdale,E08000033,English Entry Level,Adult,90,110
2021/22,Craven,E07000163,English Entry Level,Adult,20,30
2021/22,Hambleton,E07000164,English Entry Level,Adult,20,20
2021/22,Harrogate,E07000165,English Entry Level,Adult,10,10
2021/22,Kirklees,E08000034,English Entry Level,Adult,80,110
2021/22,Leeds,E08000035,English Entry Level,Adult,340,430
2021/22,Richmondshire,E07000166,English Entry Level,Adult,340,340
2021/22,Ryedale,E07000167,English Entry Level,Adult,10,10
2021/22,Scarborough,E07000168,English Entry Level,Adult,20,30
2021/22,Selby,E07000169,English Entry Level,Adult,low,low
2021/22,Wakefield,E08000036,English Entry Level,Adult,100,140
2021/22,York,E06000014,English Entry Level,Adult,20,30
2021/22,Bradford,E08000032,English Entry Level,Youth,0,0
2021/22,Calderdale,E08000033,English Entry Level,Youth,0,0
2021/22,Craven,E07000163,English Entry Level,Youth,0,0
2021/22,Hambleton,E07000164,English Entry Level,Youth,0,0
2021/22,Harrogate,E07000165,English Entry Level,Youth,0,0
