date,geography_code,geography_name,age_summary_with_unknowns,sex,ethnicity_group,p_total,p_bl2_ex_basic_skills,p_basic_skills,p_full_l2,p_full_l3,p_l2,p_l3,p_l4plus,p_no_lx,ach_total,ach_bl2_ex_basic_skills,ach_basic_skills,ach_full_l2,ach_full_l3,ach_l2,ach_l3,ach_l4plus,ach_no_lx
2021/22,E08000032,Bradford,50+,Female,Not Provided,10,10,low,low,low,low,low,low,low,10,low,low,low,low,low,low,low,low
2021/22,E07000168,Scarborough,50+,Male,Not Provided,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Female,Other Ethnic Group,10,low,10,low,low,low,low,low,low,10,low,10,low,low,low,low,low,low
2021/22,E08000032,Bradford,25-49,Total,Not Provided,190,40,90,low,low,50,40,low,10,140,30,80,low,low,30,10,low,10
2021/22,E07000165,Harrogate,Total,Female,Not Provided,20,low,low,low,low,10,10,low,low,10,low,low,low,low,low,low,low,low
2021/22,E08000036,Wakefield,25-49,Male,Total,730,240,220,10,20,350,80,10,low,580,230,180,10,20,280,40,low,low
2021/22,E06000014,York,19-24,Total,Other Ethnic Group,20,low,10,low,10,10,10,low,low,10,low,10,low,low,low,10,low,low
2021/22,E08000035,Leeds,19-24,Total,Not Provided,100,10,70,low,low,10,20,low,low,80,10,70,low,low,10,10,low,low
2021/22,E08000034,Kirklees,Total,Male,Mixed/ Multiple Ethnic Group,110,70,20,10,10,60,20,low,low,90,60,20,low,low,50,10,low,low
2021/22,E08000035,Leeds,25-49,Total,Total,8400,1890,3740,210,230,3850,680,140,350,6990,1680,3340,130,140,2980,420,50,350
2021/22,E07000166,Richmondshire,Total,Female,Mixed/ Multiple Ethnic Group,10,low,low,low,low,10,low,low,low,low,low,low,low,low,low,low,low,low
2021/22,E07000166,Richmondshire,19-24,Total,Asian/ Asian British,520,510,500,low,low,low,low,low,low,520,340,490,low,low,low,low,low,low
2021/22,E07000165,Harrogate,19-24,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
2021/22,E07000168,Scarborough,Total,Total,White,1090,130,180,30,130,720,240,30,10,770,110,110,20,90,510,150,low,10
2021/22,E08000032,Bradford,19-24,Total,Mixed/ Multiple Ethnic Group,130,40,40,10,20,60,30,low,20,90,30,30,low,20,50,20,low,10
2021/22,E08000033,Calderdale,Total,Male,White,680,350,90,20,40,310,90,10,30,540,290,70,20,30,240,60,low,20
2021/22,E07000166,Richmondshire,25-49,Female,Total,260,30,60,10,20,190,50,10,low,170,30,40,10,10,130,20,low,low
2021/22,E07000166,Richmondshire,19-24,Female,Total,60,10,10,low,10,30,20,low,low,50,10,10,low,10,20,10,low,low
2021/22,E07000167,Ryedale,25-49,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
2021/22,E07000166,Richmondshire,25-49,Total,Other Ethnic Group,40,10,30,low,low,10,low,low,low,30,10,30,low,low,10,low,low,low
2021/22,E07000168,Scarborough,50+,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
2021/22,E08000035,Leeds,19-24,Male,White,810,390,180,40,90,330,190,10,60,620,340,130,20,60,240,120,low,30
2021/22,E07000165,Harrogate,19-24,Total,Asian/ Asian British,10,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
