date,new_la_code,la_name,geography_code,geography_name,apprenticeships_or_further_education,level_or_type,age_group,starts,participation,achievements,starts_rate_per_100000_population,participation_rate_per_100000_population,achievements_rate_per_100000_population
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Total,Total,NA,5710,3620,NA,4289,2718
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Total,19-24,NA,1330,660,NA,4541,2231
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Total,25+,NA,4370,2960,NA,4218,2855
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Level 2,Total,NA,1710,1080,NA,1287,812
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Level 2,19-24,NA,430,220,NA,1475,763
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Level 2,25+,NA,1280,860,NA,1234,825
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Level 3,Total,NA,1210,370,NA,909,278
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Level 3,19-24,NA,560,190,NA,1901,637
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Level 3,25+,NA,650,180,NA,629,176
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),Total,NA,470,430,NA,356,319
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),19-24,NA,140,120,NA,470,416
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),25+,NA,340,300,NA,324,292
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Basic Skills,Total,NA,810,350,NA,606,261
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Basic Skills,19-24,NA,200,90,NA,678,290
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Basic Skills,25+,NA,610,260,NA,585,253
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Level 4+,Total,NA,860,150,NA,644,111
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Level 4+,19-24,NA,220,30,NA,743,89
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Level 4+,25+,NA,640,120,NA,616,118
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Full Level 2,Total,NA,390,120,NA,294,87
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Full Level 2,19-24,NA,180,50,NA,606,174
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Full Level 2,25+,NA,210,70,NA,205,63
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Full Level 3,Total,NA,1050,290,NA,787,216
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Full Level 3,19-24,NA,510,160,NA,1751,542
2021/22,,,E06000014,York,Further education and skills,Further education and skills: Full Level 3,25+,NA,530,130,NA,514,124
2021/22,,,E06000014,York,Further education and skills,Further education and skills: No Level Assigned,Total,NA,1780,1590,NA,1335,1197
2021/22,,,E06000014,York,Further education and skills,Further education and skills: No Level Assigned,19-24,NA,100,80,NA,344,269
2021/22,,,E06000014,York,Further education and skills,Further education and skills: No Level Assigned,25+,NA,1680,1510,NA,1615,1459
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Total,Total,1170,2420,430,837,1737,311
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Total,Under 19,280,440,90,4344,6822,1474
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Total,19-24,330,780,120,1134,2661,422
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Total,25+,560,1210,220,537,1163,207
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Intermediate,Total,290,540,110,208,387,76
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Intermediate,Under 19,140,220,40,2164,3435,612
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Intermediate,19-24,70,150,30,235,514,95
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Intermediate,25+,80,170,40,80,164,38
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Higher,Total,340,780,120,247,562,84
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Higher,Under 19,10,10,low,173,204,low
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Higher,19-24,90,200,20,307,671,65
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Higher,25+,240,570,90,234,553,91
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Advanced,Total,530,1110,210,382,795,151
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Advanced,Under 19,130,210,50,2008,3215,800
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Advanced,19-24,170,440,80,593,1485,262
2021/22,,,E06000014,York,Apprenticeships,Apprenticeships: Advanced,25+,230,470,80,223,451,79
2021/22,,,E06000014,York,Education and training,Education and training: Total,Total,NA,2490,1810,NA,1868,1363
2021/22,,,E06000014,York,Education and training,Education and training: Total,19-24,NA,520,370,NA,1775,1264
2021/22,,,E06000014,York,Education and training,Education and training: Total,25+,NA,1970,1440,NA,1895,1391
2021/22,,,E06000014,York,Education and training,Education and training: Level 2,Total,NA,1400,1000,NA,1048,751
2021/22,,,E06000014,York,Education and training,Education and training: Level 2,19-24,NA,280,190,NA,944,640
2021/22,,,E06000014,York,Education and training,Education and training: Level 2,25+,NA,1120,810,NA,1078,782
2021/22,,,E06000014,York,Education and training,Education and training: Level 3,Total,NA,320,170,NA,237,128
2021/22,,,E06000014,York,Education and training,Education and training: Level 3,19-24,NA,120,80,NA,422,276
2021/22,,,E06000014,York,Education and training,Education and training: Level 3,25+,NA,190,90,NA,184,86
2021/22,,,E06000014,York,Education and training,Education and training: Below Level 2 (excluding Basic Skills),Total,NA,470,420,NA,352,316
2021/22,,,E06000014,York,Education and training,Education and training: Below Level 2 (excluding Basic Skills),19-24,NA,130,120,NA,450,402
2021/22,,,E06000014,York,Education and training,Education and training: Below Level 2 (excluding Basic Skills),25+,NA,340,300,NA,324,292
2021/22,,,E06000014,York,Education and training,Education and training: Basic Skills,Total,NA,400,260,NA,297,192
2021/22,,,E06000014,York,Education and training,Education and training: Basic Skills,19-24,NA,120,70,NA,395,242
2021/22,,,E06000014,York,Education and training,Education and training: Basic Skills,25+,NA,280,180,NA,269,177
2021/22,,,E06000014,York,Education and training,Education and training: Level 4+,Total,NA,90,30,NA,68,23
2021/22,,,E06000014,York,Education and training,Education and training: Level 4+,19-24,NA,20,10,NA,75,31
2021/22,,,E06000014,York,Education and training,Education and training: Level 4+,25+,NA,70,20,NA,67,21
2021/22,,,E06000014,York,Education and training,Education and training: Full Level 2,Total,NA,70,30,NA,53,23
2021/22,,,E06000014,York,Education and training,Education and training: Full Level 2,19-24,NA,30,10,NA,92,44
2021/22,,,E06000014,York,Education and training,Education and training: Full Level 2,25+,NA,40,20,NA,42,16
2021/22,,,E06000014,York,Education and training,Education and training: Full Level 3,Total,NA,140,80,NA,107,63
2021/22,,,E06000014,York,Education and training,Education and training: Full Level 3,19-24,NA,80,50,NA,269,174
2021/22,,,E06000014,York,Education and training,Education and training: Full Level 3,25+,NA,60,30,NA,61,32
2021/22,,,E06000014,York,Education and training,Education and training: No Level Assigned,Total,NA,280,250,NA,209,185
2021/22,,,E06000014,York,Education and training,Education and training: No Level Assigned,19-24,NA,40,30,NA,119,95
2021/22,,,E06000014,York,Education and training,Education and training: No Level Assigned,25+,NA,240,220,NA,234,210
2021/22,,,E06000014,York,Community Learning,Community learning: Total,Total,NA,1740,1560,NA,1250,1120
2021/22,,,E06000014,York,Community Learning,Community learning: Total,Under 19,NA,low,low,NA,low,low
2021/22,,,E06000014,York,Community Learning,Community learning: Total,19-24,NA,70,50,NA,228,170
2021/22,,,E06000014,York,Community Learning,Community learning: Total,25+,NA,1680,1510,NA,1615,1457
2021/22,,,E06000014,York,Community Learning,Community learning: Personal and community development learning,Total,NA,1710,1540,NA,1225,1104
2021/22,,,E06000014,York,Community Learning,Community learning: Personal and community development learning,Under 19,NA,low,low,NA,low,low
2021/22,,,E06000014,York,Community Learning,Community learning: Personal and community development learning,19-24,NA,50,40,NA,184,150
2021/22,,,E06000014,York,Community Learning,Community learning: Personal and community development learning,25+,NA,1650,1500,NA,1594,1442
2021/22,,,E06000014,York,Community Learning,Community learning: Wider family learning,Total,NA,40,20,NA,27,16
2021/22,,,E06000014,York,Community Learning,Community learning: Wider family learning,19-24,NA,10,10,NA,44,20
2021/22,,,E06000014,York,Community Learning,Community learning: Wider family learning,25+,NA,30,20,NA,24,16
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Total,Total,NA,1420,930,NA,4608,3013
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Total,19-24,NA,440,250,NA,16314,9158
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Total,25+,NA,980,680,NA,3481,2422
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Level 2,Total,NA,490,320,NA,1607,1038
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Level 2,19-24,NA,110,80,NA,4227,2781
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Level 2,25+,NA,380,240,NA,1355,870
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Level 3,Total,NA,330,130,NA,1074,407
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Level 3,19-24,NA,200,80,NA,7267,2855
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Level 3,25+,NA,130,50,NA,478,171
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),Total,NA,150,150,NA,491,475
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),19-24,NA,40,30,NA,1372,1261
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),25+,NA,110,110,NA,407,400
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Basic Skills,Total,NA,230,110,NA,742,368
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Basic Skills,19-24,NA,80,50,NA,2929,1669
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Basic Skills,25+,NA,150,70,NA,531,243
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Level 4+,Total,NA,230,40,NA,758,133
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Level 4+,19-24,NA,100,20,NA,3782,742
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Level 4+,25+,NA,130,20,NA,467,75
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Full Level 2,Total,NA,130,60,NA,426,189
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Full Level 2,19-24,NA,60,30,NA,2113,1149
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Full Level 2,25+,NA,70,30,NA,264,96
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Full Level 3,Total,NA,290,100,NA,931,332
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Full Level 3,19-24,NA,180,70,NA,6637,2410
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: Full Level 3,25+,NA,110,40,NA,382,132
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: No Level Assigned,Total,NA,310,290,NA,1022,944
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: No Level Assigned,19-24,NA,20,20,NA,779,742
2021/22,,,E07000163,Craven,Further education and skills,Further education and skills: No Level Assigned,25+,NA,290,270,NA,1045,963
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Total,Total,320,760,180,993,2328,547
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Total,Under 19,110,210,90,6149,11571,4807
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Total,19-24,100,300,50,3634,11198,1928
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Total,25+,120,250,40,410,885,143
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Intermediate,Total,90,220,70,280,683,224
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Intermediate,Under 19,60,120,50,3298,6596,2571
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Intermediate,19-24,10,50,20,482,1965,556
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Intermediate,25+,20,50,10,68,182,43
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Higher,Total,90,230,30,286,692,98
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Higher,Under 19,low,10,10,low,279,279
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Higher,19-24,40,100,10,1446,3708,519
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Higher,25+,50,120,10,185,428,46
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Advanced,Total,140,320,70,427,978,224
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Advanced,Under 19,50,90,40,2739,5031,1956
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Advanced,19-24,50,150,20,1706,5525,853
2021/22,,,E07000163,Craven,Apprenticeships,Apprenticeships: Advanced,25+,40,80,20,157,282,54
2021/22,,,E07000163,Craven,Education and training,Education and training: Total,Total,NA,630,490,NA,2060,1578
2021/22,,,E07000163,Craven,Education and training,Education and training: Total,19-24,NA,140,110,NA,5006,4116
2021/22,,,E07000163,Craven,Education and training,Education and training: Total,25+,NA,500,370,NA,1776,1334
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 2,Total,NA,390,270,NA,1266,888
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 2,19-24,NA,60,40,NA,2188,1631
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 2,25+,NA,330,230,NA,1177,817
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 3,Total,NA,100,60,NA,338,202
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 3,19-24,NA,50,30,NA,1780,1149
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 3,25+,NA,60,30,NA,200,111
2021/22,,,E07000163,Craven,Education and training,Education and training: Below Level 2 (excluding Basic Skills),Total,NA,140,140,NA,469,452
2021/22,,,E07000163,Craven,Education and training,Education and training: Below Level 2 (excluding Basic Skills),19-24,NA,30,30,NA,1261,1149
2021/22,,,E07000163,Craven,Education and training,Education and training: Below Level 2 (excluding Basic Skills),25+,NA,110,110,NA,392,385
2021/22,,,E07000163,Craven,Education and training,Education and training: Basic Skills,Total,NA,110,80,NA,364,267
2021/22,,,E07000163,Craven,Education and training,Education and training: Basic Skills,19-24,NA,40,30,NA,1557,1112
2021/22,,,E07000163,Craven,Education and training,Education and training: Basic Skills,25+,NA,70,50,NA,250,185
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 4+,Total,NA,20,10,NA,59,29
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 4+,19-24,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Education and training,Education and training: Level 4+,25+,NA,10,10,NA,50,25
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 2,Total,NA,30,10,NA,88,42
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 2,19-24,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 2,25+,NA,20,10,NA,82,43
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 3,Total,NA,60,40,NA,189,117
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 3,19-24,NA,30,20,NA,1112,630
2021/22,,,E07000163,Craven,Education and training,Education and training: Full Level 3,25+,NA,30,20,NA,100,68
2021/22,,,E07000163,Craven,Education and training,Education and training: No Level Assigned,Total,NA,10,10,NA,29,29
2021/22,,,E07000163,Craven,Education and training,Education and training: No Level Assigned,19-24,NA,10,10,NA,334,334
2021/22,,,E07000163,Craven,Education and training,Education and training: No Level Assigned,25+,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Total,Total,NA,310,290,NA,956,883
2021/22,,,E07000163,Craven,Community Learning,Community learning: Total,Under 19,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Total,19-24,NA,10,10,NA,482,445
2021/22,,,E07000163,Craven,Community Learning,Community learning: Total,25+,NA,300,270,NA,1059,977
2021/22,,,E07000163,Craven,Community Learning,Community learning: Personal and community development learning,Total,NA,310,280,NA,941,867
2021/22,,,E07000163,Craven,Community Learning,Community learning: Personal and community development learning,Under 19,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Personal and community development learning,19-24,NA,10,10,NA,482,445
2021/22,,,E07000163,Craven,Community Learning,Community learning: Personal and community development learning,25+,NA,290,270,NA,1042,960
2021/22,,,E07000163,Craven,Community Learning,Community learning: Family english maths and language,Total,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Family english maths and language,25+,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Wider family learning,Total,NA,low,low,NA,low,low
2021/22,,,E07000163,Craven,Community Learning,Community learning: Wider family learning,25+,NA,low,low,NA,low,low
2021/22,,,E07000164,Hambleton,Further education and skills,Further education and skills: Total,Total,NA,2280,1170,NA,4558,2348
