date,geography_code,geography_name,age_detailed,sex,ethnicity_group,personal_and_community_development_learning,neighbourhood_learning_in_deprived_communities,family_english_maths_and_language,wider_family_learning,total,ach_total,ach_personal_and_community_development_learning,ach_neighbourhood_learning_in_deprived_communities,ach_family_english_maths_and_language,ach_wider_family_learning
2021/22,E07000163,Craven,19-24,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Female,Total,10,low,low,low,10,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Female,White,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Male,Total,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,19-24,Male,White,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,19-24,Total,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Total,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,19-24,Total,Total,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,19-24,Total,White,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,25-34,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Female,Other Ethnic Group,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,25-34,Female,Total,50,low,low,low,50,50,50,low,low,low
2021/22,E07000163,Craven,25-34,Female,White,40,low,low,low,40,40,40,low,low,low
2021/22,E07000163,Craven,25-34,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Male,Total,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,25-34,Male,White,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,25-34,Total,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,25-34,Total,Other Ethnic Group,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,25-34,Total,Total,60,low,low,low,60,50,50,low,low,low
2021/22,E07000163,Craven,25-34,Total,White,50,low,low,low,50,40,40,low,low,low
2021/22,E07000163,Craven,35-44,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Female,Total,60,low,low,low,60,60,60,low,low,low
2021/22,E07000163,Craven,35-44,Female,White,50,low,low,low,50,50,50,low,low,low
2021/22,E07000163,Craven,35-44,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
