date,geography_code,geography_name,ssa_t1_desc,sex,ethnicity_group,notional_nvq_level,e_and_t_aims_enrolments,e_and_t_aims_ach
2021/22,E08000035,Leeds,Science and Mathematics,Male,Asian/ Asian British,Not Assigned,low,low
2021/22,E07000169,Selby,Preparation for Life and Work,Female,Black/African/Caribbean/Black British,2,low,low
2021/22,E08000035,Leeds,"Construction, Planning and the Built Environment",Male,Other Ethnic Group,1,20,20
2021/22,E08000036,Wakefield,"Construction, Planning and the Built Environment",Total,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E08000033,Calderdale,Information and Communication Technology,Total,Asian/ Asian British,2,10,10
2021/22,E07000165,Harrogate,Education and Training,Total,Asian/ Asian British,4+,low,low
2021/22,E08000035,Leeds,Retail and Commercial Enterprise,Male,White,2,90,70
2021/22,E08000034,Kirklees,"Arts, Media and Publishing",Total,Black/African/Caribbean/Black British,3,low,low
2021/22,E07000167,Ryedale,Information and Communication Technology,Total,Black/African/Caribbean/Black British,2,low,low
2021/22,E08000033,Calderdale,Science and Mathematics,Total,Not Provided,Total,low,low
2021/22,E08000032,Bradford,Preparation for Life and Work,Male,Total,Total,3980,3110
2021/22,E07000166,Richmondshire,Information and Communication Technology,Male,Total,Total,630,460
2021/22,E07000163,Craven,"Construction, Planning and the Built Environment",Male,Not Provided,1,low,low
2021/22,E07000168,Scarborough,"Business, Administration and Law",Male,Not Provided,Total,low,low
2021/22,E08000032,Bradford,"Construction, Planning and the Built Environment",Female,Asian/ Asian British,Not Assigned,low,low
2021/22,E07000168,Scarborough,Education and Training,Total,Total,Not Assigned,low,low
2021/22,E07000168,Scarborough,Retail and Commercial Enterprise,Male,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E08000036,Wakefield,Retail and Commercial Enterprise,Male,Asian/ Asian British,2,low,low
2021/22,E08000034,Kirklees,"Business, Administration and Law",Total,Not Provided,1,low,low
2021/22,E07000163,Craven,"Health, Public Services and Care",Male,White,Not Assigned,low,low
2021/22,E07000166,Richmondshire,"Languages, Literature and Culture",Total,Asian/ Asian British,E,270,100
2021/22,E07000165,Harrogate,Total,Male,Other Ethnic Group,3,low,low
2021/22,E08000033,Calderdale,Preparation for Life and Work,Male,Not Provided,2,low,low
2021/22,E08000034,Kirklees,Total,Total,Mixed/ Multiple Ethnic Group,E,160,140
2021/22,E08000034,Kirklees,"Construction, Planning and the Built Environment",Female,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E07000169,Selby,"History, Philosophy and Theology",Female,Asian/ Asian British,Total,low,low
2021/22,E07000164,Hambleton,Retail and Commercial Enterprise,Total,Mixed/ Multiple Ethnic Group,1,low,low
2021/22,E08000032,Bradford,Total,Total,Total,E,6490,5350
2021/22,E08000035,Leeds,Engineering and Manufacturing Technologies,Total,Total,Total,650,520
2021/22,E08000034,Kirklees,"Leisure, Travel and Tourism",Female,Not Provided,2,low,low
2021/22,E08000034,Kirklees,Education and Training,Total,Other Ethnic Group,E,low,low
2021/22,E08000032,Bradford,Preparation for Life and Work,Male,Not Provided,2,low,low
2021/22,E07000163,Craven,Engineering and Manufacturing Technologies,Male,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000166,Richmondshire,Science and Mathematics,Total,Mixed/ Multiple Ethnic Group,E,low,low
2021/22,E07000164,Hambleton,"Business, Administration and Law",Female,Not Provided,Total,low,low
2021/22,E08000034,Kirklees,"Business, Administration and Law",Female,Black/African/Caribbean/Black British,3,low,low
2021/22,E07000163,Craven,Retail and Commercial Enterprise,Female,White,E,low,low
2021/22,E07000164,Hambleton,"Business, Administration and Law",Total,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E08000036,Wakefield,"Health, Public Services and Care",Female,Mixed/ Multiple Ethnic Group,4+,low,low
2021/22,E08000034,Kirklees,Science and Mathematics,Male,Asian/ Asian British,Total,50,30
2021/22,E07000164,Hambleton,"Languages, Literature and Culture",Total,White,Total,20,20
2021/22,E08000034,Kirklees,"Health, Public Services and Care",Female,Other Ethnic Group,2,40,30
2021/22,E07000167,Ryedale,Engineering and Manufacturing Technologies,Male,Not Provided,1,low,low
2021/22,E07000167,Ryedale,Total,Male,White,1,40,40
2021/22,E08000033,Calderdale,Education and Training,Female,Total,E,low,low
2021/22,E07000168,Scarborough,"History, Philosophy and Theology",Male,Asian/ Asian British,1,low,low
2021/22,E08000036,Wakefield,"History, Philosophy and Theology",Male,Black/African/Caribbean/Black British,2,low,low
2021/22,E08000034,Kirklees,"Arts, Media and Publishing",Total,Not Provided,E,low,low
2021/22,E08000033,Calderdale,Education and Training,Male,White,1,low,low
2021/22,E07000165,Harrogate,"Agriculture, Horticulture and Animal Care",Male,Other Ethnic Group,Not Assigned,low,low
2021/22,E07000166,Richmondshire,"Languages, Literature and Culture",Total,Total,2,10,10
2021/22,E07000164,Hambleton,Engineering and Manufacturing Technologies,Male,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E08000032,Bradford,Education and Training,Male,Not Provided,1,low,low
2021/22,E07000164,Hambleton,Retail and Commercial Enterprise,Total,White,2,20,20
2021/22,E07000165,Harrogate,"Health, Public Services and Care",Male,Black/African/Caribbean/Black British,1,low,low
2021/22,E07000164,Hambleton,"Health, Public Services and Care",Female,White,1,low,low
2021/22,E07000169,Selby,"Business, Administration and Law",Male,White,Total,50,40
2021/22,E07000165,Harrogate,Total,Male,Not Provided,E,low,low
2021/22,E07000168,Scarborough,"Arts, Media and Publishing",Female,Asian/ Asian British,Total,low,low
2021/22,E08000036,Wakefield,"Languages, Literature and Culture",Total,Black/African/Caribbean/Black British,1,low,low
2021/22,E07000166,Richmondshire,"Health, Public Services and Care",Male,Mixed/ Multiple Ethnic Group,Not Assigned,low,low
2021/22,E07000165,Harrogate,"History, Philosophy and Theology",Total,Mixed/ Multiple Ethnic Group,2,low,low
2021/22,E08000034,Kirklees,"Agriculture, Horticulture and Animal Care",Male,Other Ethnic Group,2,low,low
2021/22,E08000034,Kirklees,Not Applicable/ Not Known,Female,White,3,low,low
2021/22,E08000034,Kirklees,Education and Training,Total,Asian/ Asian British,Not Assigned,low,low
2021/22,E08000032,Bradford,Not Applicable/ Not Known,Male,Mixed/ Multiple Ethnic Group,3,low,low
2021/22,E08000032,Bradford,"Agriculture, Horticulture and Animal Care",Female,Not Provided,3,low,low
