date,geography_code,geography_name,start_age,prior_attainment_group,employment_status,sex,lldd,ethnicity,ssa_t1,ssa_t2,total_takeup_original_adult_offer,total_takeup_extended_adult_offer
2021/22,E08000032,Bradford,Total,Total,Total,Total,Total,Total,Total,Total,170,170
2021/22,E08000033,Calderdale,Total,Total,Total,Total,Total,Total,Total,Total,30,30
2021/22,E07000163,Craven,Total,Total,Total,Total,Total,Total,Total,Total,30,30
2021/22,E07000164,Hambleton,Total,Total,Total,Total,Total,Total,Total,Total,20,20
2021/22,E07000165,Harrogate,Total,Total,Total,Total,Total,Total,Total,Total,30,30
2021/22,E08000034,Kirklees,Total,Total,Total,Total,Total,Total,Total,Total,90,90
2021/22,E08000035,Leeds,Total,Total,Total,Total,Total,Total,Total,Total,200,200
2021/22,E07000166,Richmondshire,Total,Total,Total,Total,Total,Total,Total,Total,20,30
2021/22,E07000167,Ryedale,Total,Total,Total,Total,Total,Total,Total,Total,10,10
2021/22,E07000168,Scarborough,Total,Total,Total,Total,Total,Total,Total,Total,30,40
2021/22,E07000169,Selby,Total,Total,Total,Total,Total,Total,Total,Total,40,40
2021/22,E08000036,Wakefield,Total,Total,Total,Total,Total,Total,Total,Total,60,60
