date,geography_code,geography_name,institution_group,institution_type,cohort_level_group,cohort_level,characteristic_group,characteristic,data_type,cohort,overall,education,he,fe,fel3,fel2,fel1,other_edu,appren,appl4,appl3,appl2,all_work,all_notsust,all_unknown
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,1452,1200,727,500,227,NA,NA,NA,0,57,0,29,28,416,167,85
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,No identified LLDD,Number of pupils,1311,1086,656,453,203,NA,NA,NA,0,53,0,27,26,377,147,78
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,624,507,279,203,76,NA,NA,NA,0,29,0,19,10,199,73,44
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,Identified LLDD,Number of pupils,141,114,71,47,24,NA,NA,NA,0,4,0,2,2,39,20,7
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,1390,82.7,50.4,34.9,15.5,NA,NA,NA,0,3.7,0,2,1.7,28.6,11.3,6
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,828,693,448,297,151,NA,NA,NA,0,28,0,10,18,217,94,41
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,62,50,27,15,12,NA,NA,NA,0,5,0,1,4,18,10,2
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,No identified LLDD,Percentage,1311,82.8,50,34.6,15.5,NA,NA,NA,0,4,0,2.1,2,28.8,11.2,5.9
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Female,Percentage,828,83.7,54.1,35.9,18.2,NA,NA,NA,0,3.4,0,1.2,2.2,26.2,11.4,5
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,Identified LLDD,Percentage,141,80.9,50.4,33.3,17,NA,NA,NA,0,2.8,0,1.4,1.4,27.7,14.2,5
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,1390,1150,700,485,215,NA,NA,NA,0,52,0,28,24,398,157,83
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Total,Total,Percentage,1452,82.6,50.1,34.4,15.6,NA,NA,NA,0,3.9,0,2,1.9,28.7,11.5,5.9
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,62,80.6,43.5,24.2,19.4,NA,NA,NA,0,8.1,0,1.6,6.5,29,16.1,3.2
2010/11,E06000014,York,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Male,Percentage,624,81.3,44.7,32.5,12.2,NA,NA,NA,0,4.6,0,3,1.6,31.9,11.7,7.1
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,485,443,323,282,40,NA,NA,NA,1,13,0,5,8,107,29,13
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,11,9,6,2,4,NA,NA,NA,0,1,0,0,1,2,2,0
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,224,204,151,133,18,NA,NA,NA,0,7,0,4,3,46,13,7
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,261,239,172,149,22,NA,NA,NA,1,6,0,1,5,61,16,6
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Male,Percentage,224,91.1,67.4,59.4,8,NA,NA,NA,0,3.1,0,1.8,1.3,20.5,5.8,3.1
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,No identified SEN,Number of pupils,474,433,314,273,40,NA,NA,NA,1,13,0,5,8,106,29,12
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,474,91.6,66.9,59.1,7.6,NA,NA,NA,0.2,2.5,0,1.1,1.5,22.2,5.7,2.7
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,474,434,317,280,36,NA,NA,NA,1,12,0,5,7,105,27,13
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Female,Percentage,261,91.6,65.9,57.1,8.4,NA,NA,NA,0.4,2.3,0,0.4,1.9,23.4,6.1,2.3
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,Identified SEN,Number of pupils,11,10,9,9,0,NA,NA,NA,0,0,0,0,0,1,0,1
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,11,81.8,54.5,18.2,36.4,NA,NA,NA,0,9.1,0,0,9.1,18.2,18.2,0
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,No identified SEN,Percentage,474,91.4,66.2,57.6,8.4,NA,NA,NA,0.2,2.7,0,1.1,1.7,22.4,6.1,2.5
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,Total,Total,Percentage,485,91.3,66.6,58.1,8.2,NA,NA,NA,0.2,2.7,0,1,1.6,22.1,6,2.7
2010/11,E06000014,York,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,Identified SEN,Percentage,11,90.9,81.8,81.8,0,NA,NA,NA,0,0,0,0,0,9.1,0,9.1
2010/11,E06000014,York,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,1864,85,54.6,41,13.5,NA,NA,NA,0.1,3.4,0,1.8,1.7,27,9.9,5.2
2010/11,E06000014,York,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,1089,932,620,446,173,NA,NA,NA,1,34,0,11,23,278,110,47
