date,geography_code,geography_name,institution_group,institution_type,cohort_level_group,cohort_level,characteristic_group,characteristic,data_type,cohort,overall,education,he,fe,fel3,fel2,fel1,other_edu,appren,appl4,appl3,appl2,all_work,all_notsust,all_unknown
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,412,345,233,134,98,NA,NA,NA,1,9,0,4,5,103,54,13
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,674,82.2,55,32.6,22.3,NA,NA,NA,0.1,3.7,0,2.7,1,23.4,13.1,4.7
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,Identified LLDD,Number of pupils,64,53,38,18,20,NA,NA,NA,0,2,0,0,2,13,10,1
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,No identified LLDD,Number of pupils,791,637,453,269,182,NA,NA,NA,2,26,0,19,7,158,121,33
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,443,345,258,153,104,NA,NA,NA,1,19,0,15,4,68,77,21
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,674,554,371,220,150,NA,NA,NA,1,25,0,18,7,158,88,32
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,855,690,491,287,202,NA,NA,NA,2,28,0,19,9,171,131,34
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Female,Percentage,412,83.7,56.6,32.5,23.8,NA,NA,NA,0.2,2.2,0,1,1.2,25,13.1,3.2
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,181,75.1,66.3,37,28.7,NA,NA,NA,0.6,1.7,0,0.6,1.1,7.2,23.8,1.1
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,No identified LLDD,Percentage,791,80.5,57.3,34,23,NA,NA,NA,0.3,3.3,0,2.4,0.9,20,15.3,4.2
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,LLDD Provision,Identified LLDD,Percentage,64,82.8,59.4,28.1,31.3,NA,NA,NA,0,3.1,0,0,3.1,20.3,15.6,1.6
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Gender,Male,Percentage,443,77.9,58.2,34.5,23.5,NA,NA,NA,0.2,4.3,0,3.4,0.9,15.3,17.4,4.7
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,Total,Total,Percentage,855,80.7,57.4,33.6,23.6,NA,NA,NA,0.2,3.3,0,2.2,1.1,20,15.3,4
2010/11,E08000032,Bradford,State-funded mainstream colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,181,136,120,67,52,NA,NA,NA,1,3,0,1,2,13,43,2
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,342,292,258,214,24,NA,NA,NA,20,4,0,1,3,30,43,7
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,1114,975,814,687,84,NA,NA,NA,43,17,0,6,11,144,108,31
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,912,814,630,537,57,NA,NA,NA,36,32,0,16,16,152,79,19
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,No identified SEN,Number of pupils,1830,1626,1309,1114,125,NA,NA,NA,70,48,0,22,26,269,161,43
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,2026,1789,1444,1224,141,NA,NA,NA,79,49,0,22,27,296,187,50
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,1684,1497,1186,1010,117,NA,NA,NA,59,45,0,21,24,266,144,43
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,No identified SEN,Percentage,1830,88.9,71.5,60.9,6.8,NA,NA,NA,3.8,2.6,0,1.2,1.4,14.7,8.8,2.3
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Male,Percentage,912,89.3,69.1,58.9,6.3,NA,NA,NA,3.9,3.5,0,1.8,1.8,16.7,8.7,2.1
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Percentage,1684,88.9,70.4,60,6.9,NA,NA,NA,3.5,2.7,0,1.2,1.4,15.8,8.6,2.6
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,Gender,Female,Percentage,1114,87.5,73.1,61.7,7.5,NA,NA,NA,3.9,1.5,0,0.5,1,12.9,9.7,2.8
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,342,85.4,75.4,62.6,7,NA,NA,NA,5.8,1.2,0,0.3,0.9,8.8,12.6,2
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,Total,Total,Percentage,2026,88.3,71.3,60.4,7,NA,NA,NA,3.9,2.4,0,1.1,1.3,14.6,9.2,2.5
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,Identified SEN,Number of pupils,196,163,135,110,16,NA,NA,NA,9,1,0,0,1,27,26,7
2010/11,E08000032,Bradford,State-funded mainstream schools,Total,Level 3,Level 3 approved,SEN Provision,Identified SEN,Percentage,196,83.2,68.9,56.1,8.2,NA,NA,NA,4.6,0.5,0,0,0.5,13.8,13.3,3.6
2010/11,E08000032,Bradford,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM not eligible,Number of pupils,2358,2051,1557,1230,267,NA,NA,NA,60,70,0,39,31,424,232,75
2010/11,E08000032,Bradford,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Male,Number of pupils,1355,1159,888,690,161,NA,NA,NA,37,51,0,31,20,220,156,40
2010/11,E08000032,Bradford,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Female,Percentage,1526,86.5,68.6,53.8,11.9,NA,NA,NA,2.9,1.7,0,0.7,1,16.2,10.6,2.9
2010/11,E08000032,Bradford,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Female,Number of pupils,1526,1320,1047,821,182,NA,NA,NA,44,26,0,10,16,247,162,44
2010/11,E08000032,Bradford,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Number of pupils,523,428,378,281,76,NA,NA,NA,21,7,0,2,5,43,86,9
2010/11,E08000032,Bradford,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Total,Total,Percentage,2881,86,67.2,52.4,11.9,NA,NA,NA,2.8,2.7,0,1.4,1.2,16.2,11,2.9
2010/11,E08000032,Bradford,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Total,Total,Number of pupils,2881,2479,1935,1511,343,NA,NA,NA,81,77,0,41,36,467,318,84
2010/11,E08000032,Bradford,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,Gender,Male,Percentage,1355,85.5,65.5,50.9,11.9,NA,NA,NA,2.7,3.8,0,2.3,1.5,16.2,11.5,3
2010/11,E08000032,Bradford,State-funded mainstream schools & colleges,Total,Level 3,Level 3 approved,FSM Y11 Status,FSM eligible,Percentage,523,81.8,72.3,53.7,14.5,NA,NA,NA,4,1.3,0,0.4,1,8.2,16.4,1.7
