date,geography_name,geography_code,Total number of schools,Total number of pupils at the end of key stage 4,Total sum of pupils Attainment 8 scores,Average Attainment 8 score of all pupils,Total number of pupils entering English and Mathematics GCSEs,Percentage of pupils entering English and Mathematics GCSEs,Total number of pupils achieving grades 5 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 5 or above in English and Mathematics GCSEs,Total number of pupils achieving grades 4 or above in English and Mathematics GCSEs,Percentage of pupils achieving grades 4 or above in English and Mathematics GCSEs,Total number of pupils entering the English Baccalaureate,Percentage of pupils entering the English Baccalaureate,Total EBacc APS score of pupils,Average EBacc APS score per pupil,"Total number of pupils achieving the English Baccalaureate (grades 5 or above in English and maths, A*-C in unreformed subjects)","Percentage of pupils achieving the English Baccalaureate (grades 5 or above in English and maths, A*-C in unreformed subjects)","Total number of pupils achieving the English Baccalaureate (grades 4 or above in English and maths, A*-C in unreformed subjects)","Percentage of pupils achieving the English Baccalaureate (grades 4 or above in English and maths, A*-C in unreformed subjects)",t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
2021/22,York,E06000014,21,1790,93936.25,52.5,1748,97.7,986,55.1,1347,75.3,715,39.9,8278.58,4.62,425,23.7,547,30.6,1715,402.264,0.23,0.17,0.3
2021/22,Craven,E07000163,21,590,30141,51.1,576,97.6,322,54.6,429,72.7,216,36.6,2628.04,4.45,144,24.4,174,29.5,579,23.542,0.04,-0.07,0.16
2021/22,Hambleton,E07000164,42,782,39054.5,49.9,758,96.9,425,54.3,564,72.1,335,42.8,3496.33,4.47,192,24.6,246,31.5,760,-38.916,-0.05,-0.15,0.05
2021/22,Harrogate,E07000165,36,1653,87661.75,53,1582,95.7,985,59.6,1274,77.1,747,45.2,7866.16,4.76,511,30.9,633,38.3,1550,237.88,0.15,0.08,0.22
2021/22,Richmondshire,E07000166,17,448,22288.25,49.8,442,98.7,216,48.2,319,71.2,198,44.2,1978.53,4.42,97,21.7,136,30.4,427,77.982,0.18,0.05,0.32
2021/22,Ryedale,E07000167,20,499,24781.25,49.7,485,97.2,267,53.5,358,71.7,225,45.1,2206.96,4.42,110,22,159,31.9,482,47.905,0.1,-0.03,0.23
2021/22,Scarborough,E07000168,20,1009,43322.5,42.9,961,95.2,405,40.1,614,60.9,277,27.5,3690.52,3.66,159,15.8,208,20.6,985,-259.209,-0.26,-0.35,-0.18
2021/22,Selby,E07000169,33,919,44749.75,48.7,887,96.5,453,49.3,648,70.5,304,33.1,3900.91,4.24,156,17,198,21.5,890,65.734,0.07,-0.02,0.17
2021/22,Bradford,E08000032,91,7613,338357,44.4,7262,95.4,3266,42.9,4648,61.1,2689,35.3,29089.68,3.82,1127,14.8,1569,20.6,7270,-1342.559,-0.18,-0.22,-0.15
2021/22,Calderdale,E08000033,42,2471,115547,46.8,2393,96.8,1184,47.9,1672,67.7,582,23.6,10115.92,4.09,344,13.9,442,17.9,2393,-557.059,-0.23,-0.29,-0.18
2021/22,Kirklees,E08000034,76,5257,252620.25,48.1,5091,96.8,2639,50.2,3582,68.1,1901,36.2,21934.38,4.17,947,18,1260,24,5118,88.077,0.02,-0.02,0.06
2021/22,Leeds,E08000035,109,8516,412749.5,48.5,8172,96,4441,52.1,5865,68.9,3567,41.9,36546.23,4.29,1921,22.6,2455,28.8,8053,1178.436,0.15,0.12,0.18
2021/22,Wakefield,E08000036,69,3735,176054.5,47.1,3626,97.1,1871,50.1,2543,68.1,1097,29.4,15376.46,4.12,613,16.4,819,21.9,3625,251.793,0.07,0.02,0.12
