Local Area,JobFunction Growth Rank,JobFunction Name,Job Growth Rank,Job Name,Emergence Metric (Compound annual growth rate in % Share of Hiring by Job - 2017 to 2021),"<--This job list contains ALL jobs that have been growing in demand from 2017 to 2021, categorized into Job Functions for readability"
West Yorkshire,1,Operations,1,Supply Chain Associate,0.25927307,NA
West Yorkshire,1,Operations,2,Material Handler,0.233781912,NA
West Yorkshire,1,Operations,3,Food Service Worker,0.2182699,NA
West Yorkshire,1,Operations,4,Server Assistant,0.129158049,NA
West Yorkshire,1,Operations,5,Bartender,0.093360678,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,0.089095162,NA
West Yorkshire,1,Operations,7,Demand Planner,0.088121885,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,0.082956227,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,0.080976001,NA
West Yorkshire,1,Operations,10,Bar Staff,0.080471579,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,0.077016275,NA
West Yorkshire,1,Operations,12,Supply Chain Manager,0.07575365,NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,0.067543555,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,0.060565548,NA
West Yorkshire,1,Operations,15,Housekeeper,0.060565548,NA
West Yorkshire,1,Operations,16,Quantity Surveyor,0.060157324,NA
West Yorkshire,1,Operations,17,Food And Beverage Assistant,0.057089837,NA
West Yorkshire,1,Operations,18,Process Engineer,0.056061922,NA
West Yorkshire,1,Operations,19,Driver,0.052762468,NA
West Yorkshire,1,Operations,20,Manufacturing Operator,0.048157857,NA
West Yorkshire,1,Operations,21,Contract Manager,0.046259802,NA
West Yorkshire,1,Operations,22,Warehouse Manager,0.043722615,NA
West Yorkshire,1,Operations,23,Food and Beverage Manager,0.043025871,NA
West Yorkshire,1,Operations,24,Maintenance Engineer,0.03845102,NA
West Yorkshire,1,Operations,25,Transportation Manager,0.025546998,NA
West Yorkshire,1,Operations,26,Event Coordinator,0.008013081,NA
West Yorkshire,1,Operations,27,Hotel Manager,0.003922606,NA
West Yorkshire,1,Operations,28,Head Of Supply Chain Management,0.003922606,NA
West Yorkshire,2,Customer Success and Support,1,Customer Service Executive,0.109354746,NA
West Yorkshire,2,Customer Success and Support,2,Customer Experience Manager,0.089543089,NA
West Yorkshire,2,Customer Success and Support,3,Customer Service Representative,0.085845459,NA
West Yorkshire,2,Customer Success and Support,4,Service Representative,0.080413871,NA
West Yorkshire,2,Customer Success and Support,5,Customer Service Advisor,0.079866452,NA
West Yorkshire,2,Customer Success and Support,6,Guest Services Associate,0.073732628,NA
West Yorkshire,2,Customer Success and Support,7,Customer Support Specialist,0.060565548,NA
West Yorkshire,2,Customer Success and Support,8,Service Writer,0.053633153,NA
West Yorkshire,2,Customer Success and Support,9,Support Team Lead,0.052971218,NA
West Yorkshire,2,Customer Success and Support,10,Customer Service Team Lead,0.051941919,NA
West Yorkshire,2,Customer Success and Support,11,Customer Service Coordinator,0.03845102,NA
West Yorkshire,2,Customer Success and Support,12,Cashier,0.032516625,NA
West Yorkshire,2,Customer Success and Support,13,Customer Assistant,0.024782425,NA
West Yorkshire,2,Customer Success and Support,14,Sales Operations Assistant,0.024220284,NA
West Yorkshire,2,Customer Success and Support,15,Customer Service Manager,0.023994502,NA
West Yorkshire,2,Customer Success and Support,16,Customer Service Specialist,0.002929932,NA
West Yorkshire,3,Finance,1,Finance Specialist,0.147721763,NA
West Yorkshire,3,Finance,2,Financial Consultant,0.126170816,NA
West Yorkshire,3,Finance,3,Investment Analyst,0.114558326,NA
West Yorkshire,3,Finance,4,Finance Administrator,0.09377218,NA
West Yorkshire,3,Finance,5,Claims Handler,0.088725727,NA
West Yorkshire,3,Finance,6,Investment Administrator,0.08642396,NA
West Yorkshire,3,Finance,7,Financial Assistant,0.078153571,NA
West Yorkshire,3,Finance,8,Underwriter,0.077787226,NA
West Yorkshire,3,Finance,9,Portfolio Manager,0.06891749,NA
