Local Area,JobFunction Growth Rank,JobFunction Name,Job Growth Rank,Job Name,Skill Rank,Top 10 List of Skills Needed for the Job,Top 10 List of Skills Added by Members in Chamber Region occupied with the Job,"<--This job list contains ALL jobs that have been growing in demand from 2017 to 2021, categorized into Job Functions for readability"
West Yorkshire,1,Operations,1,Supply Chain Associate,1,Warehouse Operations,Warehouse Operations,NA
West Yorkshire,1,Operations,1,Supply Chain Associate,2,Forklift Operation,Order Picking,NA
West Yorkshire,1,Operations,1,Supply Chain Associate,3,Order Picking,Forklift Operation,NA
West Yorkshire,1,Operations,1,Supply Chain Associate,4,Packing,Problem Solving,NA
West Yorkshire,1,Operations,1,Supply Chain Associate,5,Unloading,Teamwork,NA
West Yorkshire,1,Operations,1,Supply Chain Associate,6,Shipping & Receiving,Time Management,NA
West Yorkshire,1,Operations,1,Supply Chain Associate,7,Pallet Jack,Communication,NA
West Yorkshire,1,Operations,1,Supply Chain Associate,8,Order Fulfillment,Microsoft Word,NA
West Yorkshire,1,Operations,1,Supply Chain Associate,9,Logistics Management,Organization Skills,NA
West Yorkshire,1,Operations,1,Supply Chain Associate,10,Teamwork,Microsoft Excel,NA
West Yorkshire,1,Operations,2,Material Handler,1,Warehouse Operations,Warehouse Operations,NA
West Yorkshire,1,Operations,2,Material Handler,2,Forklift Operation,Order Picking,NA
West Yorkshire,1,Operations,2,Material Handler,3,Packing,Forklift Operation,NA
West Yorkshire,1,Operations,2,Material Handler,4,Material Handling,Packing,NA
West Yorkshire,1,Operations,2,Material Handler,5,Order Picking,Teamwork,NA
West Yorkshire,1,Operations,2,Material Handler,6,Unloading,Unloading,NA
West Yorkshire,1,Operations,2,Material Handler,7,Shipping & Receiving,Problem Solving,NA
West Yorkshire,1,Operations,2,Material Handler,8,Inventory Management,Time Management,NA
West Yorkshire,1,Operations,2,Material Handler,9,Manufacturing,Manual Handling,NA
West Yorkshire,1,Operations,2,Material Handler,10,Logistics Management,Communication,NA
West Yorkshire,1,Operations,3,Food Service Worker,1,Food Service,Teamwork,NA
West Yorkshire,1,Operations,3,Food Service Worker,2,Food & Beverage,Problem Solving,NA
West Yorkshire,1,Operations,3,Food Service Worker,3,Food Safety,Time Management,NA
West Yorkshire,1,Operations,3,Food Service Worker,4,Teamwork,Communication,NA
West Yorkshire,1,Operations,3,Food Service Worker,5,Hospitality,Organization Skills,NA
West Yorkshire,1,Operations,3,Food Service Worker,6,Communication,Customer Service,NA
West Yorkshire,1,Operations,3,Food Service Worker,7,Time Management,Critical Thinking,NA
West Yorkshire,1,Operations,3,Food Service Worker,8,Organization Skills,Research,NA
West Yorkshire,1,Operations,3,Food Service Worker,9,Food Preparation,Microsoft Word,NA
West Yorkshire,1,Operations,3,Food Service Worker,10,Sanitation,Microsoft PowerPoint,NA
West Yorkshire,1,Operations,4,Server Assistant,1,Hospitality,Teamwork,NA
West Yorkshire,1,Operations,4,Server Assistant,2,Food & Beverage,Communication,NA
West Yorkshire,1,Operations,4,Server Assistant,3,Teamwork,Time Management,NA
West Yorkshire,1,Operations,4,Server Assistant,4,Time Management,Hospitality,NA
West Yorkshire,1,Operations,4,Server Assistant,5,Customer Service,Research,NA
West Yorkshire,1,Operations,4,Server Assistant,6,Communication,Customer Service,NA
West Yorkshire,1,Operations,4,Server Assistant,7,Social Media,Social Media,NA
West Yorkshire,1,Operations,4,Server Assistant,8,Organization Skills,Organization Skills,NA
West Yorkshire,1,Operations,4,Server Assistant,9,Bartending,Public Speaking,NA
West Yorkshire,1,Operations,4,Server Assistant,10,FOH,Problem Solving,NA
West Yorkshire,1,Operations,5,Bartender,1,Bartending,Bartending,NA
West Yorkshire,1,Operations,5,Bartender,2,Hospitality,Hospitality,NA
West Yorkshire,1,Operations,5,Bartender,3,Cocktails,Teamwork,NA
West Yorkshire,1,Operations,5,Bartender,4,Food & Beverage,Cocktails,NA
West Yorkshire,1,Operations,5,Bartender,5,Teamwork,Communication,NA
West Yorkshire,1,Operations,5,Bartender,6,Time Management,Time Management,NA
West Yorkshire,1,Operations,5,Bartender,7,Waiting Tables,Customer Service,NA
West Yorkshire,1,Operations,5,Bartender,8,Social Media,Social Media,NA
West Yorkshire,1,Operations,5,Bartender,9,Customer Service,Microsoft Word,NA
West Yorkshire,1,Operations,5,Bartender,10,Communication,Organization Skills,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,1,Logistics Management,Logistics Management,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,2,Supply Chain Management,Supply Chain Management,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,3,Transportation,Transportation,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,4,International Logistics,International Logistics,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,5,Warehouse Operations,Operations Management,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,6,Shipping,Warehouse Operations,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,7,Export,Inventory Management,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,8,Freight,Microsoft Excel,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,9,Freight Forwarding,Negotiation,NA
West Yorkshire,1,Operations,6,Supply Chain Coordinator,10,Transportation Management,Microsoft Word,NA
West Yorkshire,1,Operations,7,Demand Planner,1,Demand Planning,Demand Planning,NA
West Yorkshire,1,Operations,7,Demand Planner,2,Forecasting,Demand Forecasting,NA
West Yorkshire,1,Operations,7,Demand Planner,3,Demand Forecasting,Inventory Management,NA
West Yorkshire,1,Operations,7,Demand Planner,4,Supply Chain Management,Supply Chain Management,NA
West Yorkshire,1,Operations,7,Demand Planner,5,SAP APO,Fast-Moving Consumer Goods (FMCG),NA
West Yorkshire,1,Operations,7,Demand Planner,6,Inventory Management,Forecasting,NA
West Yorkshire,1,Operations,7,Demand Planner,7,Fast-Moving Consumer Goods (FMCG),Retail,NA
West Yorkshire,1,Operations,7,Demand Planner,8,Demand Supply Planning,Merchandising,NA
West Yorkshire,1,Operations,7,Demand Planner,9,Material Requirements Planning (MRP),Logistics Management,NA
West Yorkshire,1,Operations,7,Demand Planner,10,Production Planning,Purchasing,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,1,Hospitality,Teamwork,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,2,Waiting Tables,Hospitality,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,3,Barista,Communication,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,4,Food & Beverage,Time Management,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,5,Teamwork,Waiting Tables,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,6,Time Management,Customer Service,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,7,Communication,Organization Skills,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,8,Customer Service,Microsoft Word,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,9,Organization Skills,Barista,NA
West Yorkshire,1,Operations,8,Food and Beverage Server,10,Social Media,Microsoft PowerPoint,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,1,Supply Chain Management,Forecasting,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,2,Forecasting,Supply Chain Management,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,3,Demand Planning,Inventory Management,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,4,Inventory Management,Data Analysis,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,5,Supply Chain Optimization,Demand Planning,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,6,Supply Chain Operations,Supply Chain Operations,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,7,Data Analysis,Supply Chain Optimization,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,8,Logistics Management,Retail,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,9,SAP Products,Microsoft Excel,NA
West Yorkshire,1,Operations,9,Supply Chain Analyst,10,SQL,Inventory Control,NA
West Yorkshire,1,Operations,10,Bar Staff,1,Bartending,Bartending,NA
West Yorkshire,1,Operations,10,Bar Staff,2,Bar,Teamwork,NA
West Yorkshire,1,Operations,10,Bar Staff,3,Hospitality,Time Management,NA
West Yorkshire,1,Operations,10,Bar Staff,4,Teamwork,Communication,NA
West Yorkshire,1,Operations,10,Bar Staff,5,Time Management,Hospitality,NA
West Yorkshire,1,Operations,10,Bar Staff,6,Communication,Bar,NA
West Yorkshire,1,Operations,10,Bar Staff,7,Social Media,Customer Service,NA
West Yorkshire,1,Operations,10,Bar Staff,8,Customer Service,Research,NA
West Yorkshire,1,Operations,10,Bar Staff,9,Waiting Tables,Microsoft Word,NA
West Yorkshire,1,Operations,10,Bar Staff,10,Organization Skills,Microsoft PowerPoint,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,1,Business Analysis,Business Analysis,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,2,SQL,Stakeholder Management,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,3,Data Analysis,Data Analysis,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,4,Financial Services,Analytical Skills,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,5,Banking,Change Management,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,6,Financial Analysis,Microsoft Excel,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,7,Equities,Microsoft Office,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,8,Analytical Skills,Team Leadership,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,9,Derivatives,Time Management,NA
West Yorkshire,1,Operations,11,Business Operations Analyst,10,Visual Basic for Applications (VBA),Teamwork,NA
West Yorkshire,1,Operations,12,Supply Chain Manager,1,Supply Chain Management,Supply Chain Management,NA
West Yorkshire,1,Operations,12,Supply Chain Manager,2,Logistics Management,Fast-Moving Consumer Goods (FMCG),NA
West Yorkshire,1,Operations,12,Supply Chain Manager,3,Procurement,Supply Chain Operations,NA
West Yorkshire,1,Operations,12,Supply Chain Manager,4,Demand Planning,Forecasting,NA
West Yorkshire,1,Operations,12,Supply Chain Manager,5,Supply Chain Optimization,Inventory Management,NA
West Yorkshire,1,Operations,12,Supply Chain Manager,6,Inventory Management,Supply Chain Optimization,NA
West Yorkshire,1,Operations,12,Supply Chain Manager,7,Purchasing,Logistics Management,NA
West Yorkshire,1,Operations,12,Supply Chain Manager,8,Supply Chain Operations,Demand Planning,NA
West Yorkshire,1,Operations,12,Supply Chain Manager,9,Manufacturing,Inventory Control,NA
West Yorkshire,1,Operations,12,Supply Chain Manager,10,Continuous Improvement,Procurement,NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,1,Manufacturing,Manufacturing,NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,2,Lean Manufacturing,Continuous Improvement,NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,3,5S,Lean Manufacturing,NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,4,Continuous Improvement,5S,NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,5,Kaizen,Kaizen,NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,6,Production Planning,Root Cause Analysis,NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,7,Root Cause Analysis,Hazard Analysis and Critical Control Points (HACCP),NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,8,Engineering,Supervisory Skills,NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,9,Good Manufacturing Practice (GMP),Good Manufacturing Practice (GMP),NA
West Yorkshire,1,Operations,13,Manufacturing Team Lead,10,Six Sigma,Production Planning,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,1,Logistics Management,Warehouse Operations,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,2,Warehouse Operations,Logistics Management,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,3,Operations Management,Operations Management,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,4,Supply Chain Management,Transportation,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,5,Transportation,Supply Chain Management,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,6,Supervisory Skills,Team Leadership,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,7,Warehouse Management Systems,Team Building,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,8,Freight,Leadership,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,9,Transportation Management,Management,NA
West Yorkshire,1,Operations,14,Logistics Supervisor,10,Inventory Management,Negotiation,NA
West Yorkshire,1,Operations,15,Housekeeper,1,Housekeeping,Housekeeping,NA
