major_title,sub_major_title,minor_title,unit_title,count
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS,"Sales, Marketing and Related Associate Professionals",Estate agents and auctioneers,2134
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS,"Sales, Marketing and Related Associate Professionals",Sales accounts and business development managers,2070
All other postings,All other postings,All other postings,All other postings,78516
ELEMENTARY OCCUPATIONS,ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONS,Elementary Cleaning Occupations,Cleaners and domestics,1240
"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",OTHER MANAGERS AND PROPRIETORS,Managers and Proprietors in Hospitality and Leisure Services,Publicans and managers of licensed premises,1460
"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",OTHER MANAGERS AND PROPRIETORS,Managers and Proprietors in Other Services,Managers and proprietors in other services n.e.c.,2570
"PROCESS, PLANT AND MACHINE OPERATIVES",TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVES,Road Transport Drivers,Driving instructors,71916
"PROCESS, PLANT AND MACHINE OPERATIVES",TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVES,Road Transport Drivers,Large goods vehicle drivers,1819
PROFESSIONAL OCCUPATIONS,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS","Architects, Town Planners and Surveyors",Quantity surveyors,2838
PROFESSIONAL OCCUPATIONS,"BUSINESS, MEDIA AND PUBLIC SERVICE PROFESSIONALS","Business, Research and Administrative Professionals",Management consultants and business analysts,953
PROFESSIONAL OCCUPATIONS,HEALTH PROFESSIONALS,Health Professionals,Veterinarians,1318
PROFESSIONAL OCCUPATIONS,HEALTH PROFESSIONALS,Nursing and Midwifery Professionals,Nurses,9406
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Information Technology and Telecommunications Professionals,Programmers and software development professionals,2948
SALES AND CUSTOMER SERVICE OCCUPATIONS,SALES OCCUPATIONS,Sales Related Occupations,Sales related occupations n.e.c.,2482
