sub_major_full_title,Craven,Hambleton,Harrogate,Richmondshire,Ryedale,Scarborough,Selby,York,Total
"Process, Plant And Machine Operatives / Transport And Mobile Machine Drivers And Operatives",21.0,83.0,2671.0,105.0,20.0,115.0,46.0,71916.0,74977.0
Professional Occupations / Health Professionals,127.0,62.0,1707.0,1.0,42.0,22.0,6.0,12398.0,14365.0
"Professional Occupations / Science, Research, Engineering And Technology Professionals",1397.0,403.0,1319.0,75.0,148.0,88.0,214.0,9722.0,13366.0
"Professional Occupations / Business, Media And Public Service Professionals",983.0,44.0,1656.0,39.0,197.0,46.0,117.0,9046.0,12128.0
Associate Professional And Technical Occupations / Business And Public Service Associate Professionals,769.0,100.0,1650.0,33.0,163.0,63.0,94.0,8554.0,11426.0
"Managers, Directors And Senior Officials / Corporate Managers And Directors",777.0,108.0,646.0,27.0,191.0,49.0,244.0,6054.0,8096.0
"Associate Professional And Technical Occupations / Science, Engineering And Technology Associate Professionals",1233.0,436.0,1056.0,117.0,330.0,157.0,566.0,3836.0,7731.0
"Managers, Directors And Senior Officials / Other Managers And Proprietors",153.0,29.0,294.0,8.0,46.0,43.0,1817.0,4400.0,6790.0
Elementary Occupations / Elementary Administration And Service Occupations,659.0,221.0,1422.0,131.0,54.0,532.0,1314.0,1138.0,5471.0
Sales And Customer Service Occupations / Sales Occupations,226.0,50.0,1008.0,19.0,33.0,51.0,104.0,3102.0,4593.0
Administrative And Secretarial Occupations / Administrative Occupations,532.0,141.0,775.0,74.0,265.0,178.0,93.0,2456.0,4514.0
"Caring, Leisure And Other Service Occupations / Caring Personal Service Occupations",101.0,29.0,1178.0,10.0,284.0,248.0,124.0,1416.0,3390.0
"Skilled Trades Occupations / Skilled Metal, Electrical And Electronic Trades",216.0,247.0,528.0,49.0,39.0,109.0,615.0,932.0,2735.0
Sales And Customer Service Occupations / Customer Service Occupations,136.0,24.0,391.0,94.0,24.0,27.0,84.0,1188.0,1968.0
"Skilled Trades Occupations / Textiles, Printing And Other Skilled Trades",223.0,20.0,437.0,101.0,113.0,327.0,119.0,494.0,1834.0
Professional Occupations / Teaching And Educational Professionals,0.0,14.0,0.0,2.0,9.0,6.0,131.0,1592.0,1754.0
Skilled Trades Occupations / Skilled Construction And Building Trades,14.0,31.0,43.0,57.0,11.0,24.0,42.0,1070.0,1292.0
"Caring, Leisure And Other Service Occupations / Leisure, Travel And Related Personal Service Occupations",73.0,17.0,198.0,3.0,0.0,355.0,24.0,506.0,1176.0
Associate Professional And Technical Occupations / Health And Social Care Associate Professionals,15.0,7.0,0.0,4.0,13.0,24.0,26.0,826.0,915.0
"Process, Plant And Machine Operatives / Process, Plant And Machine Operatives",49.0,210.0,29.0,31.0,17.0,34.0,130.0,262.0,762.0
Elementary Occupations / Elementary Trades And Related Occupations,0.0,240.0,62.0,16.0,38.0,18.0,75.0,208.0,657.0
Administrative And Secretarial Occupations / Secretarial And Related Occupations,82.0,25.0,198.0,2.0,25.0,44.0,0.0,226.0,602.0
"Associate Professional And Technical Occupations / Culture, Media And Sports Occupations",29.0,65.0,28.0,14.0,23.0,18.0,120.0,258.0,555.0
Skilled Trades Occupations / Skilled Agricultural And Related Trades,0.0,0.0,42.0,1.0,5.0,25.0,160.0,286.0,519.0
Associate Professional And Technical Occupations / Protective Service Occupations,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.0
