unit_title,Craven,Hambleton,Harrogate,Richmondshire,Ryedale,Scarborough,Selby,York,Total
Driving instructors,0.0,0.0,723.0,0.0,0.0,0.0,0.0,71916.0,72639.0
Nurses,54.0,6.0,389.0,1.0,7.0,2.0,6.0,9406.0,9871.0
Sales related occupations n.e.c.,188.0,32.0,716.0,9.0,33.0,33.0,59.0,2482.0,3552.0
Programmers and software development professionals,222.0,42.0,245.0,27.0,8.0,11.0,29.0,2948.0,3532.0
Quantity surveyors,0.0,5.0,174.0,0.0,0.0,0.0,0.0,2838.0,3017.0
Managers and proprietors in other services n.e.c.,136.0,29.0,213.0,3.0,24.0,25.0,6.0,2570.0,3006.0
Cleaners and domestics,485.0,12.0,561.0,67.0,8.0,59.0,1240.0,236.0,2668.0
Estate agents and auctioneers,175.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.0,2309.0
Engineering technicians,294.0,83.0,475.0,15.0,163.0,40.0,264.0,934.0,2268.0
Marketing and sales directors,270.0,20.0,318.0,1.0,19.0,12.0,23.0,1566.0,2229.0
Sales accounts and business development managers,54.0,0.0,60.0,0.0,4.0,0.0,0.0,2070.0,2188.0
Other administrative occupations n.e.c.,261.0,51.0,302.0,57.0,93.0,147.0,38.0,1158.0,2107.0
Management consultants and business analysts,112.0,0.0,953.0,10.0,24.0,0.0,41.0,926.0,2066.0
Large goods vehicle drivers,21.0,17.0,1819.0,47.0,12.0,10.0,11.0,0.0,1937.0
Health services and public health managers and directors,35.0,0.0,34.0,0.0,45.0,0.0,0.0,1748.0,1862.0
"Estimators, valuers and assessors",0.0,8.0,58.0,12.0,0.0,4.0,6.0,1526.0,1614.0
Business and financial project management professionals,92.0,0.0,52.0,5.0,0.0,0.0,16.0,1446.0,1611.0
Veterinarians,0.0,0.0,1318.0,0.0,0.0,0.0,0.0,274.0,1592.0
"IT business analysts, architects and systems designers",47.0,15.0,211.0,11.0,38.0,5.0,18.0,1244.0,1589.0
Civil engineers,33.0,59.0,46.0,15.0,7.0,0.0,9.0,1362.0,1531.0
"Property, housing and estate managers",0.0,0.0,81.0,3.0,7.0,6.0,31.0,1366.0,1494.0
"Science, engineering and production technicians n.e.c.",288.0,205.0,153.0,72.0,59.0,98.0,260.0,350.0,1485.0
Medical radiographers,0.0,22.0,0.0,0.0,19.0,0.0,0.0,1436.0,1477.0
Publicans and managers of licensed premises,0.0,0.0,0.0,0.0,0.0,0.0,1460.0,0.0,1460.0
Customer service occupations n.e.c.,119.0,12.0,332.0,15.0,24.0,27.0,36.0,816.0,1381.0
Human resources and industrial relations officers,102.0,15.0,242.0,5.0,50.0,19.0,19.0,896.0,1348.0
Engineering professionals n.e.c.,33.0,82.0,160.0,0.0,55.0,8.0,86.0,918.0,1342.0
IT user support technicians,127.0,66.0,213.0,28.0,18.0,6.0,28.0,824.0,1310.0
Care workers and home carers,48.0,13.0,361.0,1.0,258.0,203.0,86.0,294.0,1264.0
