date,large_250_,medium_sized_50_to_249_,micro_0_to_9_,small_10_to_49_
2010,100.0,100.0,100.0,100.0
2011,107.14285714285714,106.50887573964498,99.51219512195122,97.2997299729973
2012,100.0,110.65088757396451,100.08608321377332,99.63996399639964
2013,114.28571428571428,111.83431952662721,100.83213773314203,101.6201620162016
2014,100.0,113.01775147928994,102.15208034433286,104.41044104410442
2015,85.71428571428571,114.79289940828403,107.63271162123387,108.55085508550854
2016,114.28571428571428,115.38461538461537,109.85652797704448,108.91089108910892
2017,114.28571428571428,117.15976331360946,111.50645624103299,107.1107110711071
2018,107.14285714285714,118.93491124260356,112.32424677187949,108.82088208820882
2019,128.57142857142858,118.93491124260356,113.11334289813486,110.26102610261026
2020,128.57142857142858,116.5680473372781,113.45767575322812,109.45094509450945
2021,150.0,114.79289940828403,112.74031563845051,107.29072907290728
2022,157.14285714285714,112.42603550295857,113.6728837876614,108.55085508550854
