geography_code,geography_code,skill,geography_name,count,duration
E07000163,E07000163,Communications,Craven,3283,30.8936170212766
E07000163,E07000163,Management,Craven,2120,27.2352941176471
E07000163,E07000163,Sales,Craven,1186,29.3666666666667
E07000163,E07000163,Customer Service,Craven,1136,29.9090909090909
E07000163,E07000163,Detail Oriented,Craven,1073,27.9642857142857
E07000163,E07000163,Interpersonal Communications,Craven,825,28.5555555555556
E07000163,E07000163,Planning,Craven,801,32.3478260869565
E07000163,E07000163,Self-Motivation,Craven,786,32.9473684210526
E07000163,E07000163,Operations,Craven,757,36.75
E07000163,E07000163,Problem Solving,Craven,755,35.2666666666667
E07000163,E07000163,Willingness To Learn,Craven,673,31.4
E07000163,E07000163,Research,Craven,636,31.9090909090909
E07000163,E07000163,Time Management,Craven,561,33.2222222222222
E07000163,E07000163,Leadership,Craven,541,30.0
E07000163,E07000163,Honesty,Craven,530,26.2857142857143
E07000163,E07000163,Microsoft Excel,Craven,486,33.8235294117647
E07000163,E07000163,Mathematics,Craven,458,34.6666666666667
E07000163,E07000163,Safety Assurance,Craven,439,39.0
E07000163,E07000163,Writing,Craven,396,28.0
E07000163,E07000163,Microsoft Office,Craven,363,25.4736842105263
E07000163,E07000163,Verbal Communication Skills,Craven,352,34.8461538461538
E07000163,E07000163,Training And Development,Craven,342,31.3333333333333
E07000163,E07000163,Innovation,Craven,342,39.5714285714286
E07000163,E07000163,Influencing Skills,Craven,325,34.2857142857143
E07000163,E07000163,Quality Control,Craven,313,32.2222222222222
E07000163,E07000163,Strong Work Ethic,Craven,296,36.5833333333333
E07000163,E07000163,Analytical Skills,Craven,295,26.25
E07000163,E07000163,Resilience,Craven,293,39.5
E07000163,E07000163,Forecasting,Craven,293,28.4
E07000163,E07000163,Presentations,Craven,290,26.8823529411765
E07000163,E07000163,Enthusiasm,Craven,282,28.125
E07000163,E07000163,Administrative Functions,Craven,273,35.5882352941176
E07000163,E07000163,Negotiation,Craven,264,36.0
E07000163,E07000163,Scheduling,Craven,260,28.2
E07000163,E07000163,Computer Literacy,Craven,257,34.4285714285714
E07000163,E07000163,Microsoft Outlook,Craven,249,39.8888888888889
