sub_major_full_title,Craven,Hambleton,Harrogate,Richmondshire,Ryedale,Scarborough,Selby,York,Total
"Professional Occupations / Science, Research, Engineering And Technology Professionals",435.0,72.0,316.0,5.0,85.0,32.0,39.0,1444.0,2428.0
Associate Professional And Technical Occupations / Business And Public Service Associate Professionals,287.0,36.0,411.0,8.0,101.0,31.0,27.0,1260.0,2161.0
"Professional Occupations / Business, Media And Public Service Professionals",336.0,18.0,197.0,21.0,109.0,30.0,27.0,1145.0,1883.0
"Associate Professional And Technical Occupations / Science, Engineering And Technology Associate Professionals",369.0,75.0,300.0,28.0,139.0,50.0,160.0,709.0,1830.0
Elementary Occupations / Elementary Administration And Service Occupations,390.0,39.0,719.0,36.0,40.0,165.0,171.0,225.0,1785.0
"Managers, Directors And Senior Officials / Corporate Managers And Directors",323.0,34.0,294.0,11.0,99.0,26.0,18.0,863.0,1668.0
Administrative And Secretarial Occupations / Administrative Occupations,221.0,45.0,363.0,25.0,160.0,62.0,38.0,524.0,1438.0
Sales And Customer Service Occupations / Sales Occupations,102.0,20.0,299.0,11.0,20.0,24.0,15.0,561.0,1052.0
"Caring, Leisure And Other Service Occupations / Caring Personal Service Occupations",62.0,32.0,280.0,8.0,180.0,54.0,27.0,345.0,988.0
"Managers, Directors And Senior Officials / Other Managers And Proprietors",75.0,16.0,80.0,7.0,34.0,18.0,0.0,628.0,858.0
"Skilled Trades Occupations / Skilled Metal, Electrical And Electronic Trades",75.0,95.0,176.0,5.0,34.0,67.0,110.0,209.0,771.0
Professional Occupations / Health Professionals,44.0,15.0,132.0,1.0,31.0,18.0,7.0,417.0,665.0
Professional Occupations / Teaching And Educational Professionals,15.0,11.0,67.0,1.0,4.0,5.0,40.0,440.0,583.0
"Skilled Trades Occupations / Textiles, Printing And Other Skilled Trades",93.0,13.0,215.0,24.0,68.0,77.0,15.0,61.0,566.0
Sales And Customer Service Occupations / Customer Service Occupations,78.0,13.0,177.0,20.0,15.0,17.0,21.0,166.0,507.0
"Process, Plant And Machine Operatives / Transport And Mobile Machine Drivers And Operatives",31.0,22.0,254.0,15.0,18.0,40.0,15.0,106.0,501.0
Skilled Trades Occupations / Skilled Construction And Building Trades,24.0,22.0,41.0,4.0,11.0,14.0,27.0,223.0,366.0
"Caring, Leisure And Other Service Occupations / Leisure, Travel And Related Personal Service Occupations",66.0,8.0,132.0,3.0,4.0,38.0,7.0,89.0,347.0
Administrative And Secretarial Occupations / Secretarial And Related Occupations,50.0,9.0,101.0,2.0,18.0,31.0,6.0,106.0,323.0
"Process, Plant And Machine Operatives / Process, Plant And Machine Operatives",40.0,44.0,34.0,9.0,16.0,12.0,10.0,115.0,280.0
"Associate Professional And Technical Occupations / Culture, Media And Sports Occupations",22.0,25.0,37.0,0.0,12.0,16.0,17.0,111.0,240.0
Associate Professional And Technical Occupations / Health And Social Care Associate Professionals,12.0,1.0,19.0,2.0,8.0,15.0,4.0,168.0,229.0
Elementary Occupations / Elementary Trades And Related Occupations,6.0,34.0,48.0,7.0,22.0,10.0,10.0,41.0,178.0
Skilled Trades Occupations / Skilled Agricultural And Related Trades,2.0,2.0,20.0,1.0,6.0,7.0,0.0,63.0,101.0
Associate Professional And Technical Occupations / Protective Service Occupations,14.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,22.0
