unit_title,Craven,Hambleton,Harrogate,Richmondshire,Ryedale,Scarborough,Selby,York,Total
Cleaners and domestics,273.0,1.0,301.0,13.0,5.0,23.0,140.0,46.0,802.0
Sales related occupations n.e.c.,66.0,12.0,146.0,3.0,17.0,16.0,8.0,488.0,756.0
Other administrative occupations n.e.c.,71.0,19.0,140.0,16.0,60.0,48.0,19.0,242.0,615.0
Marketing and sales directors,119.0,9.0,129.0,1.0,10.0,7.0,9.0,268.0,552.0
Care workers and home carers,37.0,12.0,168.0,1.0,165.0,25.0,6.0,96.0,510.0
Managers and proprietors in other services n.e.c.,56.0,12.0,44.0,3.0,15.0,9.0,0.0,333.0,472.0
Engineering technicians,69.0,12.0,84.0,7.0,36.0,28.0,60.0,127.0,423.0
Programmers and software development professionals,58.0,18.0,66.0,5.0,5.0,2.0,5.0,260.0,419.0
"Science, engineering and production technicians n.e.c.",90.0,33.0,64.0,18.0,36.0,14.0,88.0,49.0,392.0
Estate agents and auctioneers,4.0,0.0,3.0,0.0,0.0,0.0,0.0,333.0,340.0
Customer service occupations n.e.c.,56.0,7.0,127.0,7.0,13.0,16.0,21.0,90.0,337.0
Human resources and industrial relations officers,43.0,3.0,76.0,2.0,24.0,4.0,4.0,173.0,329.0
IT user support technicians,48.0,9.0,61.0,1.0,14.0,4.0,4.0,184.0,325.0
"IT business analysts, architects and systems designers",19.0,1.0,62.0,0.0,19.0,3.0,5.0,179.0,288.0
Marketing associate professionals,53.0,9.0,99.0,2.0,5.0,8.0,9.0,86.0,271.0
Chefs,23.0,0.0,161.0,1.0,5.0,43.0,0.0,36.0,269.0
Business and financial project management professionals,41.0,2.0,33.0,4.0,1.0,0.0,4.0,181.0,266.0
Engineering professionals n.e.c.,17.0,15.0,31.0,0.0,26.0,4.0,6.0,166.0,265.0
Management consultants and business analysts,54.0,0.0,35.0,2.0,12.0,1.0,0.0,156.0,260.0
Nurses,28.0,0.0,95.0,1.0,3.0,1.0,2.0,108.0,238.0
IT operations technicians,4.0,5.0,53.0,0.0,17.0,3.0,3.0,151.0,236.0
Higher education teaching professionals,3.0,0.0,18.0,0.0,0.0,0.0,7.0,203.0,231.0
Production managers and directors in manufacturing,51.0,5.0,17.0,1.0,35.0,3.0,1.0,114.0,227.0
"Book-keepers, payroll managers and wages clerks",33.0,7.0,60.0,6.0,32.0,6.0,9.0,71.0,224.0
"Property, housing and estate managers",5.0,2.0,7.0,2.0,4.0,0.0,0.0,204.0,224.0
Driving instructors,0.0,0.0,174.0,0.0,0.0,0.0,0.0,42.0,216.0
Elementary storage occupations,24.0,17.0,77.0,13.0,15.0,6.0,21.0,43.0,216.0
Kitchen and catering assistants,25.0,10.0,99.0,0.0,9.0,43.0,2.0,24.0,212.0
Sales accounts and business development managers,31.0,0.0,22.0,0.0,3.0,1.0,0.0,155.0,212.0
Buyers and procurement officers,32.0,0.0,31.0,0.0,5.0,8.0,4.0,120.0,200.0
Metal working production and maintenance fitters,4.0,14.0,41.0,0.0,3.0,3.0,85.0,47.0,197.0
Information technology and telecommunications professionals n.e.c.,19.0,5.0,31.0,0.0,2.0,1.0,1.0,136.0,195.0
Waiters and waitresses,13.0,1.0,121.0,0.0,3.0,35.0,0.0,22.0,195.0
Chartered and certified accountants,35.0,4.0,25.0,7.0,40.0,6.0,10.0,63.0,190.0
IT project and programme managers,14.0,0.0,22.0,0.0,7.0,0.0,1.0,142.0,186.0
Web design and development professionals,10.0,1.0,34.0,0.0,1.0,2.0,2.0,134.0,184.0
Civil engineers,26.0,5.0,13.0,0.0,5.0,1.0,3.0,124.0,177.0
Construction project managers and related professionals,9.0,4.0,14.0,0.0,24.0,0.0,2.0,122.0,175.0
Quality assurance and regulatory professionals,96.0,0.0,10.0,0.0,20.0,2.0,4.0,43.0,175.0
Electricians and electrical fitters,11.0,12.0,16.0,1.0,3.0,7.0,13.0,98.0,161.0
Receptionists,27.0,4.0,46.0,1.0,3.0,11.0,1.0,52.0,145.0
Teaching and other educational professionals n.e.c.,4.0,1.0,16.0,1.0,3.0,0.0,14.0,105.0,144.0
Business sales executives,55.0,7.0,33.0,3.0,1.0,0.0,1.0,43.0,143.0
Quality assurance technicians,65.0,11.0,11.0,1.0,16.0,1.0,4.0,30.0,139.0
"Estimators, valuers and assessors",5.0,3.0,6.0,0.0,0.0,2.0,0.0,121.0,137.0
Financial managers and directors,36.0,7.0,28.0,1.0,11.0,11.0,3.0,39.0,136.0
Sales and retail assistants,19.0,5.0,73.0,2.0,1.0,3.0,2.0,30.0,135.0
Caretakers,41.0,1.0,42.0,1.0,1.0,1.0,1.0,45.0,133.0
Mechanical engineers,17.0,15.0,3.0,0.0,12.0,8.0,7.0,71.0,133.0
Architects,15.0,0.0,12.0,0.0,0.0,0.0,0.0,101.0,128.0
"Vehicle technicians, mechanics and electricians",14.0,5.0,44.0,3.0,13.0,33.0,2.0,12.0,126.0
Nursing auxiliaries and assistants,12.0,3.0,29.0,1.0,3.0,14.0,2.0,61.0,125.0
Production managers and directors in construction,5.0,7.0,9.0,0.0,0.0,0.0,0.0,96.0,117.0
Health services and public health managers and directors,16.0,0.0,24.0,0.0,13.0,1.0,0.0,63.0,117.0
Office managers,26.0,3.0,34.0,0.0,5.0,1.0,2.0,46.0,117.0
Quantity surveyors,0.0,2.0,16.0,0.0,0.0,0.0,0.0,99.0,117.0
Carpenters and joiners,8.0,7.0,7.0,4.0,9.0,6.0,12.0,63.0,116.0
Elementary administration occupations n.e.c.,23.0,4.0,22.0,5.0,2.0,6.0,0.0,52.0,114.0
Customer service managers and supervisors,5.0,1.0,33.0,0.0,1.0,0.0,0.0,70.0,110.0
Biological scientists and biochemists,78.0,1.0,6.0,0.0,1.0,0.0,1.0,22.0,109.0
Health and safety officers,10.0,5.0,8.0,0.0,30.0,0.0,3.0,52.0,108.0
Teaching assistants,2.0,0.0,24.0,0.0,0.0,0.0,1.0,79.0,106.0
Draughtspersons,20.0,3.0,8.0,1.0,0.0,0.0,0.0,73.0,105.0
Financial administrative occupations n.e.c.,12.0,1.0,30.0,0.0,13.0,0.0,1.0,45.0,102.0
"Planning, process and production technicians",14.0,1.0,9.0,0.0,16.0,0.0,0.0,61.0,101.0
Van drivers,8.0,6.0,35.0,0.0,5.0,26.0,2.0,18.0,100.0
Chartered surveyors,7.0,2.0,0.0,1.0,0.0,0.0,3.0,86.0,99.0
Large goods vehicle drivers,14.0,7.0,29.0,3.0,9.0,6.0,8.0,21.0,97.0
Metal working machine operatives,19.0,19.0,7.0,4.0,6.0,6.0,4.0,30.0,95.0
Solicitors,17.0,1.0,9.0,4.0,1.0,3.0,0.0,60.0,95.0
Transport and distribution clerks and assistants,32.0,3.0,31.0,0.0,4.0,3.0,3.0,19.0,95.0
Plumbers and heating and ventilating engineers,0.0,4.0,12.0,0.0,0.0,4.0,2.0,72.0,94.0
Electrical and electronic trades n.e.c.,29.0,5.0,22.0,0.0,1.0,7.0,3.0,27.0,94.0
Veterinarians,6.0,0.0,15.0,0.0,0.0,0.0,0.0,71.0,92.0
Gardeners and landscape gardeners,2.0,2.0,20.0,1.0,1.0,3.0,0.0,63.0,92.0
Medical and dental technicians,3.0,0.0,9.0,0.0,0.0,0.0,3.0,74.0,89.0
Nursery nurses and assistants,9.0,14.0,21.0,0.0,0.0,10.0,11.0,21.0,86.0
Quality control and planning engineers,21.0,1.0,16.0,0.0,1.0,4.0,1.0,42.0,86.0
Bar staff,6.0,0.0,34.0,1.0,0.0,43.0,2.0,0.0,86.0
Design and development engineers,11.0,4.0,13.0,0.0,1.0,0.0,0.0,56.0,85.0
Purchasing managers and directors,24.0,0.0,17.0,0.0,3.0,0.0,0.0,40.0,84.0
Welding trades,0.0,42.0,10.0,1.0,7.0,14.0,1.0,8.0,83.0
Electrical engineers,4.0,1.0,11.0,0.0,4.0,11.0,4.0,47.0,82.0
Information technology and telecommunications directors,9.0,1.0,14.0,0.0,3.0,1.0,1.0,53.0,82.0
Personal assistants and other secretaries,16.0,0.0,22.0,0.0,5.0,19.0,2.0,17.0,81.0
Human resource managers and directors,8.0,0.0,22.0,0.0,6.0,0.0,2.0,42.0,80.0
Catering and bar managers,9.0,1.0,22.0,0.0,8.0,20.0,5.0,14.0,79.0
Managers and directors in storage and warehousing,16.0,0.0,9.0,7.0,2.0,1.0,0.0,41.0,76.0
Business and related associate professionals n.e.c.,6.0,1.0,20.0,0.0,0.0,0.0,0.0,48.0,75.0
Medical radiographers,2.0,6.0,0.0,0.0,14.0,0.0,0.0,52.0,74.0
Butchers,4.0,0.0,3.0,20.0,42.0,1.0,3.0,0.0,73.0
Vocational and industrial trainers and instructors,15.0,4.0,14.0,0.0,5.0,2.0,1.0,30.0,71.0
Elementary construction occupations,4.0,18.0,16.0,2.0,3.0,4.0,0.0,23.0,70.0
Senior professionals of educational establishments,3.0,2.0,13.0,0.0,1.0,0.0,1.0,49.0,69.0
Chartered architectural technologists,3.0,0.0,0.0,2.0,0.0,0.0,1.0,58.0,64.0
Laboratory technicians,48.0,0.0,6.0,0.0,0.0,0.0,1.0,9.0,64.0
Beauticians and related occupations,2.0,0.0,21.0,0.0,0.0,30.0,0.0,11.0,64.0
Conference and exhibition managers and organisers,2.0,1.0,28.0,0.0,6.0,1.0,0.0,25.0,63.0
Chemical scientists,42.0,0.0,8.0,0.0,0.0,0.0,3.0,9.0,62.0
Finance and investment analysts and advisers,15.0,2.0,21.0,0.0,10.0,0.0,2.0,12.0,62.0
Plant and machine operatives n.e.c.,9.0,5.0,10.0,0.0,0.0,1.0,2.0,35.0,62.0
Functional managers and directors n.e.c.,21.0,0.0,10.0,0.0,1.0,0.0,0.0,29.0,61.0
Stock control clerks and assistants,6.0,7.0,18.0,0.0,8.0,2.0,1.0,19.0,61.0
Other skilled trades n.e.c.,36.0,2.0,6.0,1.0,2.0,1.0,2.0,11.0,61.0
Leisure and sports managers,0.0,1.0,0.0,0.0,0.0,9.0,0.0,47.0,57.0
Company secretaries,4.0,4.0,8.0,1.0,5.0,1.0,3.0,31.0,57.0
"Sports coaches, instructors and officials",2.0,19.0,7.0,0.0,1.0,9.0,1.0,17.0,56.0
Graphic designers,14.0,0.0,15.0,0.0,3.0,0.0,2.0,21.0,55.0
Sales supervisors,6.0,2.0,28.0,1.0,2.0,2.0,1.0,13.0,55.0
Construction and building trades supervisors,5.0,1.0,3.0,0.0,0.0,0.0,0.0,45.0,54.0
Natural and social science professionals n.e.c.,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
Primary and nursery education teaching professionals,2.0,2.0,9.0,0.0,0.0,2.0,14.0,24.0,53.0
Welfare and housing associate professionals n.e.c.,6.0,0.0,5.0,0.0,7.0,3.0,1.0,31.0,53.0
Housekeepers and related occupations,6.0,0.0,41.0,1.0,0.0,2.0,2.0,0.0,52.0
