geography_code,geography_code,skill,geography_name,count,duration
E07000163,E07000163,Machinery,Craven,338,26.4545454545455
E07000163,E07000163,Marketing,Craven,179,33.5862068965517
E07000163,E07000163,Auditing,Craven,152,28.1333333333333
E07000163,E07000163,New Product Development,Craven,109,33.0
E07000163,E07000163,Business Development,Craven,103,23.5833333333333
E07000163,E07000163,Risk Analysis,Craven,102,29.1875
E07000163,E07000163,Data Analysis,Craven,100,26.1666666666667
E07000163,E07000163,Finance,Craven,89,30.8235294117647
E07000163,E07000163,Purchasing,Craven,86,31.3636363636364
E07000163,E07000163,Housekeeping,Craven,86,34.6363636363636
E07000163,E07000163,Invoicing,Craven,78,36.3846153846154
E07000163,E07000163,Numeracy,Craven,71,26.6666666666667
E07000163,E07000163,Supply Chain,Craven,62,38.0
E07000163,E07000163,Accounting,Craven,61,27.2727272727273
E07000163,E07000163,Customer Relationship Management,Craven,61,30.6666666666667
E07000163,E07000163,Account Management,Craven,60,28.8888888888889
E07000163,E07000163,Key Performance Indicators (KPIs),Craven,60,34.875
E07000163,E07000163,Administrative Support,Craven,58,30.875
E07000163,E07000163,Warehousing,Craven,53,35.5714285714286
E07000163,E07000163,Booking (Sales),Craven,51,32.4
E07000163,E07000163,Mechanical Engineering,Craven,50,28.6
E07000163,E07000163,Service Quality,Craven,50,40.8888888888889
E07000163,E07000163,Environment Health And Safety,Craven,49,26.2857142857143
E07000163,E07000163,Market Research,Craven,49,31.5
E07000163,E07000163,Stock Control,Craven,44,34.0
E07000163,E07000163,Presentation Skills,Craven,40,31.8
E07000163,E07000163,Computer-Aided Design,Craven,37,18.0
E07000163,E07000163,Construction,Craven,34,29.5
E07000163,E07000163,Information Privacy,Craven,32,29.4
E07000163,E07000163,Data Entry,Craven,32,49.125
E07000163,E07000163,Sales Process,Craven,31,31.8
E07000163,E07000163,Business Requirements,Craven,29,21.1428571428571
E07000163,E07000163,Office Management,Craven,28,19.25
E07000163,E07000163,Office Administration,Craven,28,40.3333333333333
E07000163,E07000163,Workflow Management,Craven,28,35.8888888888889
E07000163,E07000163,Bookkeeping,Craven,24,20.8
E07000163,E07000163,Change Management,Craven,22,34.4
E07000164,E07000164,Machinery,Hambleton,57,34.4545454545455
E07000164,E07000164,Food Safety And Sanitation,Hambleton,55,28.7
E07000164,E07000164,Fabrication,Hambleton,49,29.2
E07000164,E07000164,Welding,Hambleton,48,31.5
E07000164,E07000164,Auditing,Hambleton,47,28.2307692307692
E07000164,E07000164,Marketing,Hambleton,38,29.2941176470588
E07000164,E07000164,Finance,Hambleton,36,30.0
E07000164,E07000164,Warehousing,Hambleton,36,25.875
E07000164,E07000164,Key Performance Indicators (KPIs),Hambleton,34,30.6153846153846
E07000164,E07000164,Numeracy,Hambleton,32,42.2
E07000164,E07000164,Housekeeping,Hambleton,30,22.4545454545455
E07000164,E07000164,Forklift Truck,Hambleton,30,37.0
E07000164,E07000164,Invoicing,Hambleton,30,30.2307692307692
E07000164,E07000164,Production Line,Hambleton,29,35.75
E07000164,E07000164,Accounting,Hambleton,29,32.6
E07000164,E07000164,Machine Operation,Hambleton,26,40.5
