subject_area,number_at_grade_a_star,number_at_grade_a,number_at_grade_b,number_at_grade_c,number_at_grade_d,number_at_grade_e,number_at_grade_u,total_number_of_students,pct_at_grade_a_star,pct_at_grade_a,pct_at_grade_b,pct_at_grade_c,pct_at_grade_d,pct_at_grade_e,pct_at_grade_u
Maths,229.0,252.0,170.0,135.0,135.0,86.0,19.0,1026.0,22.3,24.6,16.6,13.2,13.2,8.4,1.9
Psychology,112.0,153.0,275.0,248.0,123.0,68.0,16.0,995.0,11.3,15.4,27.6,24.9,12.4,6.8,1.6
Science -Biology,115.0,199.0,170.0,165.0,105.0,55.0,12.0,821.0,14.0,24.2,20.7,20.1,12.8,6.7,1.5
English,79.0,142.0,236.0,189.0,58.0,18.0,2.0,724.0,10.9,19.6,32.6,26.1,8.0,2.5,0.3
History,86.0,171.0,223.0,132.0,52.0,15.0,2.0,681.0,12.6,25.1,32.7,19.4,7.6,2.2,0.3
Science -Chemistry,102.0,183.0,147.0,102.0,77.0,38.0,9.0,658.0,15.5,27.8,22.3,15.5,11.7,5.8,1.4
Geography,84.0,125.0,187.0,141.0,50.0,15.0,4.0,606.0,13.9,20.6,30.9,23.3,8.3,2.5,0.7
Sociology,58.0,103.0,173.0,154.0,73.0,25.0,9.0,595.0,9.7,17.3,29.1,25.9,12.3,4.2,1.5
Business Studies,36.0,97.0,166.0,133.0,65.0,20.0,4.0,521.0,6.9,18.6,31.9,25.5,12.5,3.8,0.8
Science -Physics,84.0,120.0,101.0,98.0,68.0,43.0,6.0,520.0,16.2,23.1,19.4,18.8,13.1,8.3,1.2
Art & Design,105.0,95.0,133.0,83.0,23.0,4.0,2.0,445.0,23.6,21.3,29.9,18.7,5.2,0.9,0.4
Arts,34.0,62.0,145.0,87.0,19.0,5.0,4.0,356.0,9.6,17.4,40.7,24.4,5.3,1.4,1.1
Economics,35.0,76.0,99.0,58.0,34.0,14.0,5.0,321.0,10.9,23.7,30.8,18.1,10.6,4.4,1.6
Government and politics,37.0,68.0,84.0,53.0,31.0,6.0,4.0,283.0,13.1,24.0,29.7,18.7,11.0,2.1,1.4
Religious Studies,33.0,69.0,82.0,55.0,27.0,11.0,3.0,280.0,11.8,24.6,29.3,19.6,9.6,3.9,1.1
Modern languages,48.0,74.0,60.0,43.0,18.0,9.0,1.0,253.0,19.0,29.2,23.7,17.0,7.1,3.6,0.4
Maths - Further,68.0,48.0,35.0,20.0,15.0,5.0,3.0,194.0,35.1,24.7,18.0,10.3,7.7,2.6,1.5
Computer Science,31.0,41.0,48.0,29.0,29.0,6.0,4.0,188.0,16.5,21.8,25.5,15.4,15.4,3.2,2.1
Physical Education,23.0,31.0,39.0,43.0,25.0,14.0,4.0,179.0,12.8,17.3,21.8,24.0,14.0,7.8,2.2
Design and technology,18.0,30.0,55.0,34.0,21.0,6.0,2.0,166.0,10.8,18.1,33.1,20.5,12.7,3.6,1.2
Law,16.0,24.0,30.0,37.0,34.0,13.0,2.0,156.0,10.3,15.4,19.2,23.7,21.8,8.3,1.3
Music,3.0,18.0,28.0,15.0,14.0,3.0,1.0,82.0,3.7,22.0,34.1,18.3,17.1,3.7,1.2
Classical studies,12.0,23.0,21.0,13.0,9.0,1.0,0.0,79.0,15.2,29.1,26.6,16.5,11.4,1.3,0.0
Science - other,2.0,3.0,6.0,6.0,7.0,4.0,1.0,29.0,6.9,10.3,20.7,20.7,24.1,13.8,3.4
Logic/Philosophy,2.0,5.0,1.0,3.0,4.0,2.0,1.0,18.0,11.1,27.8,5.6,16.7,22.2,11.1,5.6
Modern languages - other,3.0,4.0,2.0,0.0,0.0,1.0,0.0,10.0,30.0,40.0,20.0,0.0,0.0,10.0,0.0
Accounting and Finance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Anthropology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Home Economics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
General studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Citizenship studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Archaeology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
