ssa_t1_desc,Asian/ Asian British,Black/African/Caribbean/Black British,Mixed/ Multiple Ethnic Group,Not Provided,Other Ethnic Group,White
"Agriculture, Horticulture and Animal Care",192.0,192.0,192.0,192.0,200.0,382.0
"Arts, Media and Publishing",192.0,192.0,192.0,192.0,200.0,492.0
"Business, Administration and Law",192.0,192.0,192.0,192.0,192.0,824.0
"Construction, Planning and the Built Environment",192.0,192.0,192.0,200.0,200.0,414.0
Education and Training,192.0,192.0,192.0,192.0,192.0,356.0
Engineering and Manufacturing Technologies,192.0,192.0,192.0,192.0,200.0,398.0
"Health, Public Services and Care",200.0,192.0,200.0,200.0,226.0,2664.0
"History, Philosophy and Theology",192.0,192.0,192.0,192.0,192.0,200.0
Information and Communication Technology,628.0,192.0,192.0,192.0,200.0,598.0
"Languages, Literature and Culture",628.0,192.0,192.0,192.0,200.0,370.0
"Leisure, Travel and Tourism",192.0,192.0,192.0,192.0,200.0,604.0
Not Applicable/ Not Known,192.0,192.0,192.0,192.0,192.0,208.0
Preparation for Life and Work,1018.0,232.0,250.0,200.0,450.0,2720.0
Retail and Commercial Enterprise,192.0,192.0,192.0,192.0,200.0,576.0
Science and Mathematics,200.0,192.0,192.0,192.0,200.0,392.0
Social Sciences,192.0,192.0,192.0,192.0,192.0,216.0
