ssa_t1_desc,e_and_t_aims_enrolments,e_and_t_aims_ach
Preparation for Life and Work,10204,8056
"Health, Public Services and Care",7834,5432
Information and Communication Technology,2608,1934
"Business, Administration and Law",2192,1558
"Languages, Literature and Culture",1922,1452
"Leisure, Travel and Tourism",1370,1096
Retail and Commercial Enterprise,1288,1010
"Arts, Media and Publishing",1138,918
Science and Mathematics,928,680
"Construction, Planning and the Built Environment",868,714
"Agriculture, Horticulture and Animal Care",848,618
Engineering and Manufacturing Technologies,824,614
Education and Training,762,566
Social Sciences,244,170
Not Applicable/ Not Known,176,176
"History, Philosophy and Theology",160,136
