geography_code,apprenticeships_or_further_education,starts,participation,achievements,starts_rate_per_100000_population,participation_rate_per_100000_population,achievements_rate_per_100000_population
E06000014,Further education and skills,,5710,3620,,4289,2718
E06000014,Apprenticeships,1170,2420,430,837,1737,311
E06000014,Education and training,,2490,1810,,1868,1363
E06000014,Community Learning,,1740,1560,,1250,1120
E07000163,Further education and skills,,1420,930,,4608,3013
E07000163,Apprenticeships,320,760,180,993,2328,547
E07000163,Education and training,,630,490,,2060,1578
E07000163,Community Learning,,310,290,,956,883
E07000164,Further education and skills,,2280,1170,,4558,2348
E07000164,Apprenticeships,680,1430,230,1296,2714,434
E07000164,Education and training,,870,640,,1734,1280
E07000164,Community Learning,,370,330,,692,625
E07000165,Further education and skills,,3290,1750,,3726,1984
E07000165,Apprenticeships,900,1930,350,955,2039,367
E07000165,Education and training,,1410,1000,,1594,1135
E07000165,Community Learning,,440,410,,461,433
E07000166,Further education and skills,,5040,3020,,16022,9579
E07000166,Apprenticeships,2660,5070,1160,7976,15202,3486
E07000166,Education and training,,1230,1050,,3898,3336
E07000166,Community Learning,,170,160,,498,465
E07000167,Further education and skills,,1060,620,,3515,2064
E07000167,Apprenticeships,300,630,110,958,1991,359
E07000167,Education and training,,450,320,,1495,1055
E07000167,Community Learning,,250,220,,772,706
E07000168,Further education and skills,,2800,1550,,4817,2675
E07000168,Apprenticeships,770,1560,240,1257,2551,392
E07000168,Education and training,,1180,830,,2036,1433
E07000168,Community Learning,,610,560,,990,913
E07000169,Further education and skills,,2360,1290,,4451,2425
E07000169,Apprenticeships,650,1380,250,1155,2472,443
E07000169,Education and training,,1040,740,,1962,1388
E07000169,Community Learning,,320,300,,577,538
