major_title,sub_major_title,minor_title,unit_title,count
ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,ADMINISTRATIVE OCCUPATIONS,Other Administrative Occupations,Other administrative occupations n.e.c.,14443
ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,SECRETARIAL AND RELATED OCCUPATIONS,Secretarial and Related Occupations,Receptionists,8927
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,"CULTURE, MEDIA AND SPORTS OCCUPATIONS",Sports and Fitness Occupations,Fitness instructors,6580
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,"SCIENCE, ENGINEERING AND TECHNOLOGY ASSOCIATE PROFESSIONALS","Science, Engineering and Production Technicians",Engineering technicians,14998
All other postings,All other postings,All other postings,All other postings,300295
"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",CARING PERSONAL SERVICE OCCUPATIONS,Caring Personal Services,Care workers and home carers,354333
"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS",CARING PERSONAL SERVICE OCCUPATIONS,Caring Personal Services,Nursing auxiliaries and assistants,40807
"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS","LEISURE, TRAVEL AND RELATED PERSONAL SERVICE OCCUPATIONS",Housekeeping and Related Services,Housekeepers and related occupations,7953
"CARING, LEISURE AND OTHER SERVICE OCCUPATIONS","LEISURE, TRAVEL AND RELATED PERSONAL SERVICE OCCUPATIONS",Leisure and Travel Services,Sports and leisure assistants,16482
ELEMENTARY OCCUPATIONS,ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONS,Elementary Cleaning Occupations,Cleaners and domestics,27973
ELEMENTARY OCCUPATIONS,ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONS,Elementary Storage Occupations,Elementary storage occupations,27237
ELEMENTARY OCCUPATIONS,ELEMENTARY ADMINISTRATION AND SERVICE OCCUPATIONS,Other Elementary Services Occupations,Kitchen and catering assistants,28244
"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",CORPORATE MANAGERS AND DIRECTORS,Functional Managers and Directors,Marketing and sales directors,6513
"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",CORPORATE MANAGERS AND DIRECTORS,Health and Social Services Managers and Directors,Health services and public health managers and directors,11447
"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",CORPORATE MANAGERS AND DIRECTORS,Managers and Directors in Retail and Wholesale,Managers and directors in retail and wholesale,7024
"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",OTHER MANAGERS AND PROPRIETORS,Managers and Proprietors in Health and Care Services,"Residential, day and domiciliary  care managers and proprietors",9074
"MANAGERS, DIRECTORS AND SENIOR OFFICIALS",OTHER MANAGERS AND PROPRIETORS,Managers and Proprietors in Other Services,Managers and proprietors in other services n.e.c.,10953
"PROCESS, PLANT AND MACHINE OPERATIVES",TRANSPORT AND MOBILE MACHINE DRIVERS AND OPERATIVES,Road Transport Drivers,Large goods vehicle drivers,7450
PROFESSIONAL OCCUPATIONS,HEALTH PROFESSIONALS,Nursing and Midwifery Professionals,Nurses,200050
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Engineering Professionals,Civil engineers,11458
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Engineering Professionals,Mechanical engineers,7572
PROFESSIONAL OCCUPATIONS,"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",Information Technology and Telecommunications Professionals,Programmers and software development professionals,17272
PROFESSIONAL OCCUPATIONS,TEACHING AND EDUCATIONAL PROFESSIONALS,Teaching and Educational Professionals,Teaching and other educational professionals n.e.c.,16871
SALES AND CUSTOMER SERVICE OCCUPATIONS,SALES OCCUPATIONS,Sales Assistants and Retail Cashiers,Sales and retail assistants,6994
SALES AND CUSTOMER SERVICE OCCUPATIONS,SALES OCCUPATIONS,Sales Related Occupations,Sales related occupations n.e.c.,6483
SKILLED TRADES OCCUPATIONS,"TEXTILES, PRINTING AND OTHER SKILLED TRADES",Food Preparation and Hospitality Trades,Chefs,13199
SKILLED TRADES OCCUPATIONS,"TEXTILES, PRINTING AND OTHER SKILLED TRADES",Food Preparation and Hospitality Trades,Cooks,12243
