geography_code,geography_code,skill,geography_name,count,duration
E08000032,E08000032,WebKit,Bradford,3181,48.34375
E08000032,E08000032,Flexbox,Bradford,3181,48.34375
E08000033,E08000033,Marketing,Calderdale,1126,32.4897959183674
E08000033,E08000033,Finance,Calderdale,991,30.2142857142857
E08000033,E08000033,SAP Applications,Calderdale,626,46.0
E08000033,E08000033,Auditing,Calderdale,590,29.6666666666667
E08000033,E08000033,Accounting,Calderdale,586,37.3
E08000033,E08000033,Data Analysis,Calderdale,566,26.8888888888889
E08000033,E08000033,Key Performance Indicators (KPIs),Calderdale,503,30.85
E08000033,E08000033,Microsoft Azure,Calderdale,409,29.6
E08000033,E08000033,Invoicing,Calderdale,400,29.2424242424242
E08000033,E08000033,Automation,Calderdale,400,26.2857142857143
E08000033,E08000033,Performance Management,Calderdale,354,26.125
E08000033,E08000033,Customer Relationship Management,Calderdale,321,31.84375
E08000033,E08000033,Risk Analysis,Calderdale,318,34.1666666666667
E08000033,E08000033,Warehousing,Calderdale,317,32.7391304347826
E08000033,E08000033,Supply Chain,Calderdale,316,28.5555555555556
E08000033,E08000033,JavaScript (Programming Language),Calderdale,305,37.0
E08000033,E08000033,Software Development,Calderdale,304,31.6666666666667
E08000033,E08000033,Purchasing,Calderdale,262,28.5333333333333
E08000033,E08000033,Financial Statements,Calderdale,234,42.8888888888889
E08000033,E08000033,Root Cause Analysis,Calderdale,233,26.6666666666667
E08000033,E08000033,Reconciliation,Calderdale,230,37.4210526315789
E08000033,E08000033,Business Process,Calderdale,229,34.6666666666667
E08000033,E08000033,Workflow Management,Calderdale,228,28.2
E08000033,E08000033,Selling Techniques,Calderdale,205,30.875
E08000033,E08000033,Business Development,Calderdale,204,36.9375
E08000033,E08000033,Presentation Skills,Calderdale,198,33.5333333333333
E08000033,E08000033,Numeracy,Calderdale,182,28.969696969697
E08000033,E08000033,Internal Controls,Calderdale,166,33.0
E08000033,E08000033,Cascading Style Sheets (CSS),Calderdale,164,27.8571428571429
E08000033,E08000033,Procurement,Calderdale,160,32.25
E08000033,E08000033,HyperText Markup Language (HTML),Calderdale,160,27.8
E08000033,E08000033,Lean Manufacturing,Calderdale,156,28.9090909090909
E08000033,E08000033,External Auditing,Calderdale,148,27.8571428571429
E08000033,E08000033,Account Management,Calderdale,142,35.8
E08000033,E08000033,Operating Systems,Calderdale,141,36.2
E08000033,E08000033,Business To Business,Calderdale,124,27.625
E08000033,E08000033,Financial Management,Calderdale,119,26.25
E08000033,E08000033,Working Capital,Calderdale,118,50.1
E08000033,E08000033,Manual Handling,Calderdale,117,26.5
E08000034,E08000034,Cold Calling,Kirklees,5386,43.7142857142857
E08000034,E08000034,Business To Business,Kirklees,750,38.7777777777778
E08000034,E08000034,Telemarketing,Kirklees,667,41.3333333333333
E08000034,E08000034,Food Manufacturing,Kirklees,634,41.125
E08000034,E08000034,Product Knowledge,Kirklees,610,41.4333333333333
E08000034,E08000034,Hydraulics,Kirklees,516,38.4615384615385
E08000034,E08000034,Root Cause Analysis,Kirklees,495,39.2857142857143
E08000034,E08000034,Mechanical Design,Kirklees,463,41.6666666666667
E08000034,E08000034,HVAC,Kirklees,457,39.9230769230769
E08000034,E08000034,Standard Operating Procedure,Kirklees,400,39.7142857142857
E08000034,E08000034,Risk Analysis,Kirklees,394,38.5555555555556
E08000034,E08000034,Commissioning,Kirklees,386,45.5
E08000034,E08000034,Forklift Truck,Kirklees,374,38.6666666666667
E08000034,E08000034,Engineering Drawings,Kirklees,340,41.6153846153846
E08000034,E08000034,Food Safety And Sanitation,Kirklees,323,41.3125
E08000034,E08000034,Quality Management,Kirklees,271,40.1111111111111
E08000034,E08000034,Good Manufacturing Practices,Kirklees,263,49.1666666666667
E08000034,E08000034,Production Engineering,Kirklees,262,39.1666666666667
E08000036,E08000036,Medication Administration,Wakefield,5402,39.1052631578947
E08000036,E08000036,Auditing,Wakefield,3332,37.7647058823529
E08000036,E08000036,Autism Spectrum Disorders,Wakefield,3303,36.625
E08000036,E08000036,Mental Health,Wakefield,3108,43.1
E08000036,E08000036,Social Integration,Wakefield,1134,60.0
E08000036,E08000036,Risk Analysis,Wakefield,894,36.9545454545455
E08000036,E08000036,Care Standards Act 2000,Wakefield,792,57.2142857142857
E08000036,E08000036,Credit Control,Wakefield,690,36.4333333333333
E08000036,E08000036,Procurement,Wakefield,475,36.6086956521739
E08000036,E08000036,Sales Management,Wakefield,461,43.75
E08000036,E08000036,Accounts Payable,Wakefield,437,44.4
E08000036,E08000036,Machinery,Wakefield,429,36.4
E08000036,E08000036,Operations Management,Wakefield,425,40.03125
E08000036,E08000036,Infection Control,Wakefield,416,39.3333333333333
