geography_code,geography_code,skill,geography_name,count,duration
E08000032,E08000032,Communications,Bradford,2075,31.2056962025316
E08000032,E08000032,Customer Service,Bradford,1383,31.7213930348259
E08000032,E08000032,Management,Bradford,1223,31.459595959596
E08000032,E08000032,Sales,Bradford,1102,31.6857142857143
E08000032,E08000032,Detail Oriented,Bradford,1049,32.568306010929
E08000032,E08000032,Operations,Bradford,664,34.4343434343434
E08000032,E08000032,Planning,Bradford,623,28.8842105263158
E08000032,E08000032,Mathematics,Bradford,541,35.228855721393
E08000032,E08000032,Self-Motivation,Bradford,507,31.6165413533835
E08000032,E08000032,Problem Solving,Bradford,483,33.208
E08000032,E08000032,Strong Work Ethic,Bradford,483,32.6947368421053
E08000032,E08000032,Interpersonal Communications,Bradford,463,31.2888888888889
E08000032,E08000032,Professionalism,Bradford,449,33.75
E08000032,E08000032,Enthusiasm,Bradford,442,29.5544554455446
E08000032,E08000032,Loading And Unloading,Bradford,428,37.8979591836735
E08000032,E08000032,Time Management,Bradford,425,33.6451612903226
E08000032,E08000032,Leadership,Bradford,391,29.3823529411765
E08000032,E08000032,Microsoft Office,Bradford,391,34.5943396226415
E08000032,E08000032,Microsoft Excel,Bradford,373,29.390977443609
E08000032,E08000032,Collections,Bradford,330,33.25
E08000032,E08000032,Computer Literacy,Bradford,320,33.1463414634146
E08000032,E08000032,Willingness To Learn,Bradford,317,34.1649484536082
E08000032,E08000032,Teamwork,Bradford,312,30.4647887323944
E08000032,E08000032,Lifting Ability,Bradford,304,30.3571428571429
E08000032,E08000032,Administrative Functions,Bradford,297,30.9493670886076
E08000032,E08000032,Honesty,Bradford,296,35.304347826087
E08000032,E08000032,Positivity,Bradford,290,33.9649122807018
E08000032,E08000032,Verbal Communication Skills,Bradford,284,32.7142857142857
E08000032,E08000032,Writing,Bradford,259,35.4888888888889
E08000032,E08000032,Multitasking,Bradford,252,31.8028169014084
E08000032,E08000032,Microsoft Outlook,Bradford,252,30.6914893617021
E08000032,E08000032,Innovation,Bradford,248,25.6029411764706
E08000032,E08000032,Influencing Skills,Bradford,230,31.1587301587302
E08000032,E08000032,Coaching,Bradford,214,27.0350877192982
E08000032,E08000032,Mentorship,Bradford,213,30.3269230769231
E08000032,E08000032,Microsoft Word,Bradford,198,29.1086956521739
E08000032,E08000032,Prioritization,Bradford,193,30.8823529411765
E08000032,E08000032,Presentations,Bradford,185,28.6842105263158
E08000032,E08000032,Filing,Bradford,182,33.1684210526316
E08000032,E08000032,Punctuality,Bradford,178,32.2857142857143
E08000032,E08000032,Research,Bradford,173,31.3214285714286
E08000032,E08000032,Teaching,Bradford,170,33.4181818181818
E08000032,E08000032,Packaging And Labeling,Bradford,162,31.2758620689655
E08000032,E08000032,Ability To Meet Deadlines,Bradford,148,35.1458333333333
E08000032,E08000032,Budgeting,Bradford,146,31.0697674418605
E08000032,E08000032,Training And Development,Bradford,143,33.9818181818182
E08000032,E08000032,Advising,Bradford,137,34.0277777777778
E08000032,E08000032,Physical Fitness,Bradford,132,29.0434782608696
E08000032,E08000032,Analytical Skills,Bradford,131,32.4565217391304
E08000032,E08000032,Proactivity,Bradford,128,37.6376811594203
E08000032,E08000032,Forecasting,Bradford,125,30.1388888888889
E08000032,E08000032,Microsoft PowerPoint,Bradford,125,25.2272727272727
E08000032,E08000032,Resilience,Bradford,123,34.2285714285714
E08000032,E08000032,Quality Control,Bradford,120,37.0
E08000032,E08000032,Coordinating,Bradford,117,28.047619047619
E08000032,E08000032,Social Media,Bradford,116,38.4912280701754
E08000032,E08000032,English Language,Bradford,116,27.125
E08000032,E08000032,Decision Making,Bradford,115,29.8387096774194
E08000032,E08000032,Literacy,Bradford,107,30.962962962963
E08000032,E08000032,Cleanliness,Bradford,107,35.2380952380952
E08000032,E08000032,Retail Sales,Bradford,104,13.25
E08000032,E08000032,Sorting,Bradford,102,39.6785714285714
E08000032,E08000032,First Aid,Bradford,99,34.4117647058824
E08000032,E08000032,Empathy,Bradford,95,28.037037037037
E08000032,E08000032,Calmness Under Pressure,Bradford,94,26.0
E08000032,E08000032,Record Keeping,Bradford,93,27.8857142857143
E08000032,E08000032,Troubleshooting (Problem Solving),Bradford,89,37.3404255319149
E08000032,E08000032,Scheduling,Bradford,88,33.5
E08000032,E08000032,Composure,Bradford,81,25.5357142857143
E08000032,E08000032,Investigation,Bradford,79,20.0666666666667
E08000032,E08000032,Quality Assurance,Bradford,77,28.0
E08000032,E08000032,Rapport Building,Bradford,74,38.5
E08000032,E08000032,Negotiation,Bradford,69,33.6578947368421
E08000032,E08000032,Safety Assurance,Bradford,68,31.9655172413793
E08000032,E08000032,Business Administration,Bradford,65,41.4888888888889
E08000032,E08000032,People Management,Bradford,64,33.2222222222222
E08000032,E08000032,Patience,Bradford,62,33.1818181818182
E08000032,E08000032,Spreadsheets,Bradford,58,32.2307692307692
E08000032,E08000032,Editing,Bradford,57,38.7619047619048
E08000032,E08000032,Report Writing,Bradford,56,25.0285714285714
E08000032,E08000032,Motivational Skills,Bradford,54,42.4074074074074
E08000032,E08000032,Persuasive Communication,Bradford,54,31.3333333333333
E08000032,E08000032,Governance,Bradford,54,18.5172413793103
E08000032,E08000032,Security Policies,Bradford,54,17.695652173913
E08000032,E08000032,Decorating,Bradford,53,41.7837837837838
E08000032,E08000032,Accountability,Bradford,52,35.6896551724138
E08000032,E08000032,Tenacity,Bradford,52,34.0333333333333
E08000032,E08000032,Team Leadership,Bradford,50,25.5833333333333
E08000032,E08000032,Quick Learning,Bradford,50,22.7391304347826
E08000032,E08000032,Compassion,Bradford,49,35.5
E08000032,E08000032,Team Building,Bradford,47,38.5238095238095
E08000032,E08000032,Relationship Management,Bradford,40,32.7307692307692
E08000032,E08000032,Relationship Building,Bradford,40,35.35
E08000032,E08000032,Typing,Bradford,39,45.0625
E08000032,E08000032,Reliability,Bradford,37,40.8636363636364
E08000032,E08000032,Confident Communicator,Bradford,36,25.0869565217391
E08000032,E08000032,Telephone Skills,Bradford,35,43.2682926829268
E08000032,E08000032,Energetic,Bradford,33,37.3225806451613
E08000032,E08000032,Clerical Works,Bradford,32,30.0
E08000032,E08000032,Advocacy,Bradford,32,39.84375
