major_title,sub_major_title,minor_title,unit_title,count
ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,ADMINISTRATIVE OCCUPATIONS,Administrative Occupations: Finance,Bank and post office clerks,1365
ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,ADMINISTRATIVE OCCUPATIONS,Administrative Occupations: Finance,"Book-keepers, payroll managers and wages clerks",2018
ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,ADMINISTRATIVE OCCUPATIONS,Other Administrative Occupations,Other administrative occupations n.e.c.,16588
ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,All other postings,All other postings,All other postings,11057
ADMINISTRATIVE AND SECRETARIAL OCCUPATIONS,SECRETARIAL AND RELATED OCCUPATIONS,Secretarial and Related Occupations,Receptionists,8927
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,All other postings,All other postings,All other postings,32023
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS,"Business, Finance and Related Associate Professionals",Finance and investment analysts and advisers,1547
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS,Public Services and Other Associate Professionals,Human resources and industrial relations officers,4483
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS,Public Services and Other Associate Professionals,Vocational and industrial trainers and instructors,1194
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS,"Sales, Marketing and Related Associate Professionals",Business sales executives,1414
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS,"Sales, Marketing and Related Associate Professionals",Buyers and procurement officers,1301
ASSOCIATE PROFESSIONAL AND TECHNICAL OCCUPATIONS,BUSINESS AND PUBLIC SERVICE ASSOCIATE PROFESSIONALS,"Sales, Marketing and Related Associate Professionals",Marketing associate professionals,4234
