geography_code,geography_code,skill,geography_name,count,duration
E08000032,E08000032,Palletizing,Bradford,320,43.7692307692308
E08000032,E08000032,Service Quality,Bradford,232,55.0909090909091
E08000032,E08000032,Selling Techniques,Bradford,165,41.0285714285714
E08000032,E08000032,Plumbing,Bradford,163,38.6060606060606
E08000032,E08000032,Cash Handling,Bradford,99,37.875
E08000032,E08000032,Subcontracting,Bradford,88,47.25
E08000032,E08000032,Medical Prescription,Bradford,88,50.875
E08000032,E08000032,Pharmaceuticals,Bradford,82,52.4761904761905
E08000032,E08000032,Material Requirements Planning,Bradford,79,49.8095238095238
E08000032,E08000032,Computer Numerical Control (CNC),Bradford,76,46.5454545454545
E08000032,E08000032,Development Environment,Bradford,73,38.1428571428571
E08000032,E08000032,CNC Machining,Bradford,69,48.2222222222222
E08000032,E08000032,Loans,Bradford,66,43.35
E08000032,E08000032,Stock Management,Bradford,60,49.6551724137931
E08000032,E08000032,Call Center Experience,Bradford,59,44.95
E08000032,E08000032,Carpentry,Bradford,57,38.0869565217391
E08000032,E08000032,Manufacturing Processes,Bradford,57,38.4333333333333
E08000032,E08000032,Response Rate,Bradford,55,49.1
E08000032,E08000032,Cascading Style Sheets (CSS),Bradford,54,41.5675675675676
E08000032,E08000032,Milling,Bradford,53,43.5555555555556
E08000032,E08000032,Production Planning,Bradford,51,55.8571428571429
E08000032,E08000032,Surgery,Bradford,51,43.2857142857143
E08000032,E08000032,AutoCAD,Bradford,47,48.2272727272727
E08000032,E08000032,Programmable Logic Controllers,Bradford,45,40.0
E08000032,E08000032,Help Desk Support,Bradford,42,38.8928571428571
E08000032,E08000032,Inventory Management,Bradford,39,41.55
E08000032,E08000032,Cost Control,Bradford,38,45.0
E08000032,E08000032,Quality Policy,Bradford,36,40.8823529411765
E08000033,E08000033,Warehousing,Calderdale,184,32.7391304347826
E08000033,E08000033,Marketing,Calderdale,165,32.125
E08000033,E08000033,Auditing,Calderdale,119,29.6666666666667
E08000033,E08000033,Finance,Calderdale,117,30.2142857142857
E08000033,E08000033,Risk Analysis,Calderdale,102,33.9411764705882
E08000033,E08000033,Invoicing,Calderdale,99,29.2424242424242
E08000033,E08000033,Accounting,Calderdale,96,37.3
E08000033,E08000033,Key Performance Indicators (KPIs),Calderdale,96,30.85
E08000033,E08000033,Customer Relationship Management,Calderdale,93,31.84375
E08000033,E08000033,Business Development,Calderdale,88,36.9375
E08000033,E08000033,Selling Techniques,Calderdale,86,30.9333333333333
E08000033,E08000033,Machinery,Calderdale,84,21.5
E08000033,E08000033,Numeracy,Calderdale,82,28.969696969697
E08000033,E08000033,Manual Handling,Calderdale,82,26.5
E08000033,E08000033,JavaScript (Programming Language),Calderdale,76,37.0
E08000033,E08000033,Information Privacy,Calderdale,68,21.25
E08000033,E08000033,Personal Care,Calderdale,68,37.6666666666667
E08000033,E08000033,Technical Support,Calderdale,63,24.75
E08000033,E08000033,Agile Methodology,Calderdale,63,19.4615384615385
E08000033,E08000033,Booking (Sales),Calderdale,61,24.1071428571429
E08000033,E08000033,SQL (Programming Language),Calderdale,60,17.2
E08000033,E08000033,HyperText Markup Language (HTML),Calderdale,60,27.8
E08000033,E08000033,Microsoft Azure,Calderdale,59,29.6
E08000033,E08000033,Automation,Calderdale,59,26.2857142857143
E08000033,E08000033,User Experience,Calderdale,59,19.0
E08000033,E08000033,Business To Business,Calderdale,58,27.4666666666667
E08000033,E08000033,Project Management,Calderdale,58,17.3333333333333
E08000033,E08000033,Business Requirements,Calderdale,58,19.75
E08000033,E08000033,Search Engine Optimization,Calderdale,58,19.9375
E08000033,E08000033,Purchasing,Calderdale,57,28.5333333333333
E08000033,E08000033,Adobe Photoshop,Calderdale,57,24.0
E08000033,E08000033,Data Analysis,Calderdale,56,26.8888888888889
E08000033,E08000033,Digital Marketing,Calderdale,55,20.9411764705882
E08000033,E08000033,Computer Science,Calderdale,55,19.0
E08000033,E08000033,New Product Development,Calderdale,55,20.3636363636364
E08000033,E08000033,Account Management,Calderdale,55,35.8
E08000033,E08000033,Workflow Management,Calderdale,55,28.2
E08000033,E08000033,Presentation Skills,Calderdale,54,33.5333333333333
E08000033,E08000033,Operating Systems,Calderdale,54,37.75
E08000033,E08000033,Business Process,Calderdale,53,34.6666666666667
E08000033,E08000033,Stakeholder Management,Calderdale,52,19.3
E08000033,E08000033,Cascading Style Sheets (CSS),Calderdale,51,31.875
E08000033,E08000033,Power BI,Calderdale,48,18.8333333333333
E08000033,E08000033,Reconciliation,Calderdale,48,37.4210526315789
E08000033,E08000033,Administrative Support,Calderdale,47,22.2307692307692
E08000033,E08000033,Stock Control,Calderdale,47,25.9375
E08000033,E08000033,Root Cause Analysis,Calderdale,47,26.6666666666667
E08000033,E08000033,Procurement,Calderdale,46,32.25
E08000033,E08000033,Business Intelligence,Calderdale,45,12.8
E08000033,E08000033,Palletizing,Calderdale,45,27.3333333333333
E08000033,E08000033,Microsoft Office 365,Calderdale,44,19.4545454545455
E08000033,E08000033,Housekeeping,Calderdale,44,31.3571428571429
E08000033,E08000033,Google Analytics,Calderdale,43,17.9
E08000033,E08000033,Data Entry,Calderdale,43,24.0
E08000033,E08000033,Operations Management,Calderdale,42,27.3636363636364
E08000033,E08000033,Data Warehousing,Calderdale,42,11.7777777777778
E08000033,E08000033,Software Engineering,Calderdale,41,28.75
