subject_area,number_at_grade_a_star,number_at_grade_a,number_at_grade_b,number_at_grade_c,number_at_grade_d,number_at_grade_e,number_at_grade_u,total_number_of_students,pct_at_grade_a_star,pct_at_grade_a,pct_at_grade_b,pct_at_grade_c,pct_at_grade_d,pct_at_grade_e,pct_at_grade_u
Maths,444.0,606.0,489.0,445.0,378.0,259.0,66.0,2687.0,16.5,22.6,18.2,16.6,14.1,9.6,2.5
Psychology,210.0,464.0,766.0,573.0,368.0,150.0,46.0,2577.0,8.1,18.0,29.7,22.2,14.3,5.8,1.8
Science -Biology,215.0,475.0,514.0,516.0,389.0,194.0,58.0,2361.0,9.1,20.1,21.8,21.9,16.5,8.2,2.5
English,201.0,368.0,711.0,516.0,187.0,56.0,13.0,2052.0,9.8,17.9,34.6,25.1,9.1,2.7,0.6
Science -Chemistry,207.0,443.0,432.0,395.0,270.0,168.0,59.0,1974.0,10.5,22.4,21.9,20.0,13.7,8.5,3.0
Sociology,133.0,292.0,494.0,396.0,215.0,73.0,20.0,1623.0,8.2,18.0,30.4,24.4,13.2,4.5,1.2
History,99.0,277.0,458.0,355.0,173.0,51.0,12.0,1425.0,6.9,19.4,32.1,24.9,12.1,3.6,0.8
Business Studies,102.0,227.0,495.0,291.0,143.0,44.0,8.0,1310.0,7.8,17.3,37.8,22.2,10.9,3.4,0.6
Art & Design,161.0,250.0,450.0,269.0,96.0,22.0,3.0,1251.0,12.9,20.0,36.0,21.5,7.7,1.8,0.2
Science -Physics,140.0,210.0,211.0,229.0,171.0,113.0,14.0,1088.0,12.9,19.3,19.4,21.0,15.7,10.4,1.3
Economics,69.0,195.0,317.0,252.0,110.0,41.0,11.0,995.0,6.9,19.6,31.9,25.3,11.1,4.1,1.1
Geography,77.0,195.0,303.0,232.0,117.0,55.0,15.0,994.0,7.7,19.6,30.5,23.3,11.8,5.5,1.5
Law,61.0,173.0,269.0,229.0,147.0,76.0,22.0,977.0,6.2,17.7,27.5,23.4,15.0,7.8,2.3
Arts,58.0,143.0,283.0,202.0,77.0,25.0,2.0,790.0,7.3,18.1,35.8,25.6,9.7,3.2,0.3
Religious Studies,38.0,105.0,176.0,143.0,55.0,20.0,9.0,546.0,7.0,19.2,32.2,26.2,10.1,3.7,1.6
Government and politics,58.0,100.0,171.0,91.0,49.0,22.0,3.0,494.0,11.7,20.2,34.6,18.4,9.9,4.5,0.6
Computer Science,70.0,87.0,113.0,104.0,67.0,33.0,12.0,486.0,14.4,17.9,23.3,21.4,13.8,6.8,2.5
Physical Education,60.0,104.0,127.0,105.0,59.0,20.0,9.0,484.0,12.4,21.5,26.2,21.7,12.2,4.1,1.9
Modern languages,106.0,139.0,119.0,72.0,33.0,6.0,6.0,481.0,22.0,28.9,24.7,15.0,6.9,1.2,1.2
Maths - Further,127.0,83.0,58.0,43.0,14.0,10.0,2.0,337.0,37.7,24.6,17.2,12.8,4.2,3.0,0.6
Design and technology,19.0,29.0,52.0,64.0,37.0,19.0,8.0,228.0,8.3,12.7,22.8,28.1,16.2,8.3,3.5
Music,15.0,26.0,32.0,22.0,12.0,4.0,0.0,111.0,13.5,23.4,28.8,19.8,10.8,3.6,0.0
Accounting and Finance,8.0,18.0,24.0,20.0,8.0,4.0,1.0,83.0,9.6,21.7,28.9,24.1,9.6,4.8,1.2
Classical studies,8.0,11.0,18.0,21.0,4.0,1.0,1.0,64.0,12.5,17.2,28.1,32.8,6.2,1.6,1.6
Modern languages - other,17.0,23.0,10.0,4.0,1.0,0.0,0.0,55.0,30.9,41.8,18.2,7.3,1.8,0.0,0.0
Science - other,6.0,12.0,6.0,7.0,7.0,3.0,0.0,41.0,14.6,29.3,14.6,17.1,17.1,7.3,0.0
Logic/Philosophy,0.0,3.0,4.0,3.0,4.0,2.0,0.0,16.0,0.0,18.8,25.0,18.8,25.0,12.5,0.0
ICT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Anthropology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Home Economics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
General studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Citizenship studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Archaeology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Humanities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
