geography_code,apprenticeship_level,starts,achievements
E08000035,Intermediate Apprenticeship,460,90
E08000033,Intermediate Apprenticeship,130,40
E08000034,Advanced Apprenticeship,540,120
E08000035,Advanced Apprenticeship,670,210
E08000032,Higher Apprenticeship,310,60
E08000036,Higher Apprenticeship,290,50
E08000034,Higher Apprenticeship,300,70
E08000036,Advanced Apprenticeship,410,130
E08000033,Advanced Apprenticeship,200,50
E08000035,Higher Apprenticeship,580,140
E08000036,Intermediate Apprenticeship,250,50
E08000033,Higher Apprenticeship,160,30
E08000032,Advanced Apprenticeship,540,120
E08000034,Intermediate Apprenticeship,350,80
E08000032,Intermediate Apprenticeship,330,100
