ssa_t1_desc,Asian/ Asian British,Black/African/Caribbean/Black British,Mixed/ Multiple Ethnic Group,Not Provided,Other Ethnic Group,White
"Agriculture, Horticulture and Animal Care",128.0,120.0,120.0,120.0,120.0,454.0
"Arts, Media and Publishing",402.0,144.0,136.0,120.0,128.0,704.0
"Business, Administration and Law",502.0,258.0,168.0,120.0,160.0,1492.0
"Construction, Planning and the Built Environment",368.0,256.0,190.0,136.0,172.0,1408.0
Education and Training,632.0,198.0,144.0,128.0,180.0,972.0
Engineering and Manufacturing Technologies,376.0,248.0,202.0,138.0,128.0,872.0
"Health, Public Services and Care",2486.0,688.0,396.0,152.0,312.0,6364.0
"History, Philosophy and Theology",120.0,120.0,120.0,120.0,120.0,136.0
Information and Communication Technology,1098.0,374.0,196.0,152.0,374.0,1462.0
"Languages, Literature and Culture",468.0,482.0,162.0,144.0,234.0,672.0
"Leisure, Travel and Tourism",218.0,188.0,152.0,128.0,128.0,510.0
Not Applicable/ Not Known,182.0,120.0,120.0,120.0,120.0,178.0
Preparation for Life and Work,7388.0,3808.0,948.0,892.0,4036.0,7858.0
Retail and Commercial Enterprise,846.0,320.0,254.0,152.0,178.0,2198.0
Science and Mathematics,582.0,490.0,170.0,136.0,236.0,798.0
Social Sciences,128.0,120.0,120.0,120.0,120.0,152.0
