ssa_t1_desc,Asian/ Asian British,Black/African/Caribbean/Black British,Mixed/ Multiple Ethnic Group,Not Provided,Other Ethnic Group,White
"Agriculture, Horticulture and Animal Care",136.0,120.0,120.0,120.0,120.0,606.0
"Arts, Media and Publishing",536.0,152.0,144.0,120.0,136.0,864.0
"Business, Administration and Law",706.0,334.0,224.0,120.0,202.0,2112.0
"Construction, Planning and the Built Environment",466.0,274.0,216.0,136.0,172.0,1682.0
Education and Training,758.0,224.0,170.0,136.0,190.0,1238.0
Engineering and Manufacturing Technologies,414.0,286.0,202.0,146.0,136.0,1174.0
"Health, Public Services and Care",3158.0,916.0,528.0,186.0,404.0,8840.0
"History, Philosophy and Theology",120.0,120.0,120.0,120.0,120.0,146.0
Information and Communication Technology,1506.0,480.0,250.0,160.0,466.0,1916.0
"Languages, Literature and Culture",564.0,542.0,180.0,170.0,274.0,840.0
"Leisure, Travel and Tourism",256.0,212.0,168.0,202.0,128.0,646.0
Not Applicable/ Not Known,252.0,128.0,136.0,120.0,128.0,272.0
Preparation for Life and Work,9308.0,4566.0,1182.0,1036.0,4712.0,10258.0
Retail and Commercial Enterprise,1036.0,358.0,270.0,168.0,198.0,2742.0
Science and Mathematics,786.0,588.0,216.0,170.0,254.0,1044.0
Social Sciences,154.0,120.0,120.0,120.0,120.0,170.0
