geography_code,subject_level,achievements,participation
E08000032,Basic Skills (Excluding digital skills),3970,6420
E08000033,Basic Skills (Excluding digital skills),810,1540
E08000034,Basic Skills (Excluding digital skills),1990,3590
E08000035,Basic Skills (Excluding digital skills),5350,8020
E08000036,Basic Skills (Excluding digital skills),1280,2540
E08000032,Basic Skills (Including digital skills),4080,6600
E08000033,Basic Skills (Including digital skills),830,1570
E08000034,Basic Skills (Including digital skills),2090,3750
E08000035,Basic Skills (Including digital skills),5390,8080
E08000036,Basic Skills (Including digital skills),1310,2590
E08000032,ESOL,1710,1880
E08000033,ESOL,350,370
E08000034,ESOL,950,1200
E08000035,ESOL,3110,3360
E08000036,ESOL,460,540
E08000032,Maths,1710,3840
E08000033,Maths,310,970
E08000034,Maths,1000,2380
E08000035,Maths,1740,4150
E08000036,Maths,570,1680
E08000032,English,1580,3230
E08000033,English,320,810
E08000034,English,640,1600
E08000035,English,1710,3590
E08000036,English,530,1430
E08000032,Essential Digital Skills,140,280
E08000033,Essential Digital Skills,30,50
E08000034,Essential Digital Skills,110,200
E08000035,Essential Digital Skills,120,200
E08000036,Essential Digital Skills,40,70
