ssa_t1_desc,e_and_t_aims_enrolments,e_and_t_aims_ach
Preparation for Life and Work,61390,48970
"Health, Public Services and Care",27300,20070
Retail and Commercial Enterprise,8610,6860
Information and Communication Technology,8600,6370
"Business, Administration and Law",6510,4440
Science and Mathematics,4930,3660
"Construction, Planning and the Built Environment",4840,3860
Education and Training,4380,3420
"Languages, Literature and Culture",3970,3200
Engineering and Manufacturing Technologies,3630,2740
"Arts, Media and Publishing",2890,2220
"Leisure, Travel and Tourism",2050,1460
"Agriculture, Horticulture and Animal Care",1160,860
Not Applicable/ Not Known,760,320
Social Sciences,280,160
"History, Philosophy and Theology",100,70
