geography_code,apprenticeships_or_further_education,starts,participation,achievements,starts_rate_per_100000_population,participation_rate_per_100000_population,achievements_rate_per_100000_population
E08000032,Further education and skills,,19900,13460,,6409,4335
E08000032,Apprenticeships,3320,7170,1310,999,2155,392
E08000032,Education and training,,12470,9710,,4016,3126
E08000032,Community Learning,,2930,2720,,882,818
E08000033,Further education and skills,,7580,5070,,6159,4125
E08000033,Apprenticeships,1550,3320,600,1189,2553,459
E08000033,Education and training,,2960,2380,,2410,1931
E08000033,Community Learning,,2160,2060,,1659,1584
E08000034,Further education and skills,,13380,8620,,5203,3351
E08000034,Apprenticeships,2900,6260,1230,1064,2295,450
E08000034,Education and training,,6950,5450,,2702,2121
E08000034,Community Learning,,2070,1900,,759,695
E08000035,Further education and skills,,26010,16820,,5251,3396
E08000035,Apprenticeships,5370,11300,2240,1031,2170,431
E08000035,Education and training,,12870,10590,,2597,2137
E08000035,Community Learning,,4280,3520,,821,676
E08000036,Further education and skills,,10160,6010,,4928,2912
E08000036,Apprenticeships,2710,5570,1090,1247,2566,503
E08000036,Education and training,,4370,3280,,2120,1592
E08000036,Community Learning,,1880,1760,,867,812
