,geography_code,geography_name,qualification_level,number_of_pupils_completing_16_18_study,sustained_education_apprenticeship_or_employment,sustained_education_destination,uk_higher_education_institution,further_education,fe_level_3,fe_level_2,fe_entry_level_and_no_identified_level,other_education_destinations,sustained_apprenticeships,higher_and_degree_apprenticeships_level_4_and_above_,advanced_apprenticeships_level_3_,intermediate_apprenticeships_level_2_,sustained_employment_destination,not_recorded_as_a_sustained_destination,activity_not_captured
114,E08000032,Bradford,All other qualifications,894.0,434.0,237.0,0.0,224.0,37.0,108.0,79.0,13.0,78.0,0.0,29.0,49.0,119.0,342.0,118.0
124,E08000032,Bradford,Level 2,916.0,603.0,386.0,4.0,356.0,220.0,103.0,33.0,26.0,79.0,0.0,43.0,36.0,138.0,240.0,73.0
134,E08000032,Bradford,Level 3,2841.0,2453.0,2088.0,1810.0,219.0,194.0,20.0,5.0,59.0,91.0,17.0,48.0,26.0,274.0,288.0,100.0
144,E08000032,Bradford,Total,4651.0,3490.0,2711.0,1814.0,799.0,451.0,231.0,117.0,98.0,248.0,17.0,120.0,111.0,531.0,870.0,291.0
267,E08000033,Calderdale,All other qualifications,358.0,182.0,63.0,0.0,57.0,10.0,23.0,24.0,6.0,70.0,0.0,31.0,39.0,49.0,132.0,44.0
277,E08000033,Calderdale,Level 2,286.0,203.0,102.0,1.0,97.0,56.0,36.0,5.0,4.0,49.0,0.0,30.0,19.0,52.0,64.0,19.0
287,E08000033,Calderdale,Level 3,1134.0,952.0,679.0,585.0,59.0,40.0,14.0,5.0,35.0,84.0,10.0,47.0,27.0,189.0,137.0,45.0
297,E08000033,Calderdale,Total,1778.0,1337.0,844.0,586.0,213.0,106.0,73.0,34.0,45.0,203.0,10.0,108.0,85.0,290.0,333.0,108.0
421,E08000034,Kirklees,All other qualifications,683.0,416.0,206.0,0.0,186.0,38.0,98.0,50.0,20.0,89.0,0.0,40.0,49.0,121.0,208.0,59.0
431,E08000034,Kirklees,Level 2,820.0,615.0,412.0,4.0,379.0,205.0,163.0,11.0,29.0,79.0,1.0,49.0,29.0,124.0,178.0,27.0
441,E08000034,Kirklees,Level 3,3651.0,3119.0,2414.0,2163.0,127.0,94.0,30.0,3.0,124.0,161.0,41.0,75.0,45.0,544.0,401.0,131.0
451,E08000034,Kirklees,Total,5154.0,4150.0,3032.0,2167.0,692.0,337.0,291.0,64.0,173.0,329.0,42.0,164.0,123.0,789.0,787.0,217.0
567,E08000035,Leeds,All other qualifications,1222.0,702.0,249.0,0.0,226.0,26.0,126.0,74.0,23.0,190.0,1.0,102.0,87.0,263.0,387.0,133.0
577,E08000035,Leeds,Level 2,1739.0,1162.0,655.0,16.0,582.0,273.0,283.0,26.0,57.0,177.0,2.0,97.0,78.0,330.0,464.0,113.0
587,E08000035,Leeds,Level 3,5238.0,4535.0,3369.0,2880.0,388.0,340.0,39.0,9.0,101.0,311.0,101.0,145.0,65.0,855.0,532.0,171.0
597,E08000035,Leeds,Total,8199.0,6399.0,4273.0,2896.0,1196.0,639.0,448.0,109.0,181.0,678.0,104.0,344.0,230.0,1448.0,1383.0,417.0
718,E08000036,Wakefield,All other qualifications,627.0,360.0,144.0,0.0,109.0,12.0,69.0,28.0,35.0,64.0,1.0,21.0,42.0,152.0,214.0,53.0
728,E08000036,Wakefield,Level 2,634.0,439.0,211.0,1.0,168.0,90.0,73.0,5.0,42.0,66.0,0.0,46.0,20.0,162.0,161.0,34.0
738,E08000036,Wakefield,Level 3,2301.0,1976.0,1374.0,1158.0,153.0,138.0,14.0,1.0,63.0,143.0,31.0,69.0,43.0,459.0,265.0,60.0
748,E08000036,Wakefield,Total,3562.0,2775.0,1729.0,1159.0,430.0,240.0,156.0,34.0,140.0,273.0,32.0,136.0,105.0,773.0,640.0,147.0
